model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,53.23,18.31,0.0,0.010510537726238486,incorrect
2,55.35,17.46,0.0,0.010122135109976468,incorrect
3,55.36,18.47,0.02,0.016528002674950127,incorrect
4,54.8,17.72,0.0,0.010202793264187719,incorrect
5,54.2,16.95,0.0,0.010591603678715542,incorrect
6,56.13,16.26,0.0,0.010285542203696504,incorrect
7,54.06,18.63,0.0,0.010188881160333412,incorrect
8,54.08,16.91,0.0,0.010638468011313502,incorrect
9,52.22,18.2,0.0,0.010852658048798673,incorrect
10,46.62,13.92,0.0,0.014550531551784757,incorrect
11,53.9,18.51,0.0,0.010263281625526246,incorrect
12,63.58,18.98,0.0,0.00792206670419378,incorrect
13,52.9,18.32,0.0,0.010609248963800723,incorrect
14,57.74,18.31,0.0,0.009292710249205345,incorrect
15,54.19,18.38,0.0,0.010209682033980939,incorrect
16,56.18,16.47,0.0,0.010201858717016335,incorrect
17,56.36,16.48,0.0,0.010152044202668227,incorrect
18,56.54,13.82,0.0,0.011248273841808982,incorrect
19,51.79,15.72,0.0,0.011751012684499525,incorrect
20,59.61,17.9,0.0,0.008967003042807129,incorrect
21,52.53,18.19,0.0,0.010756449994057967,incorrect
22,62.38,18.5,0.0,0.008253325521535014,incorrect
23,46.7,13.92,0.0,0.014514997367693546,incorrect
24,55.63,16.84,0.0,0.01022847608973462,incorrect
25,53.36,18.4,0.0,0.010449657180333144,incorrect
26,50.81,17.3,0.0,0.011561906452627765,incorrect
27,53.9,17.82,0.0,0.010433747908083116,incorrect
28,57.04,15.12,0.0,0.010490000481565528,incorrect
29,54.83,18.35,0.0,0.010035442378830027,incorrect
30,44.89,13.21,0.07,0.039114204702908634,incorrect
31,51.92,16.83,0.0,0.011327806471200755,incorrect
32,55.99,17.96,0.0,0.00981834058631696,incorrect
33,56.93,16.17,0.0,0.010112677097888663,incorrect
34,52.27,15.8,0.0,0.011565176819925723,incorrect
35,55.17,18.35,0.02,0.016608213843134396,incorrect
36,51.12,19.27,0.0,0.01097548594903835,incorrect
37,50.75,16.18,0.0,0.011936011337495578,incorrect
38,60.04,14.97,0.0,0.009863071037245784,incorrect
39,46.56,16.36,0.0,0.013529897933143428,incorrect
40,55.23,18.42,0.02,0.016575144345852656,incorrect
41,46.41,13.77,0.02,0.02139414431295403,incorrect
42,56.47,13.9,0.0,0.011222111216366256,incorrect
43,54.04,18.33,0.0,0.010265072633587004,incorrect
44,45.01,13.08,0.07,0.03913854517327512,incorrect
45,54.08,17.06,0.0,0.010593255943563855,incorrect
46,21.61,6.28,0.21,0.13265206469692095,incorrect
47,53.21,18.38,0.0,0.01049983220474753,incorrect
48,56.46,16.81,0.0,0.010020752911649718,incorrect
49,48.83,15.38,0.07,0.03627755756422657,incorrect
