model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,55.43,25.5,0.0,0.008807728482749145,incorrect
2,49.42,22.25,0.0,0.011085559178651392,incorrect
3,27.91,13.3,0.13,0.07581279108088639,incorrect
4,53.0,19.83,0.0,0.010255075566201874,incorrect
5,20.61,10.23,0.25,0.13880430220603027,incorrect
6,27.4,13.15,0.15,0.08354399785424975,incorrect
7,32.46,17.5,0.0,0.023821383088303037,incorrect
8,31.96,16.11,0.53,0.201551868202949,incorrect
9,21.65,10.47,0.2,0.11788941372324717,incorrect
10,53.89,25.1,0.0,0.009277699883775647,incorrect
11,32.46,17.77,0.0,0.023748585511158642,incorrect
12,48.23,21.53,0.0,0.011651652654185385,incorrect
13,49.47,21.89,0.0,0.011116542101366695,incorrect
14,31.08,17.48,0.63,0.235633477859068,acceptable
15,35.63,17.66,0.03,0.03033681717217331,incorrect
16,32.09,15.99,0.5,0.19142827674641424,incorrect
17,63.77,25.86,0.0,0.006936580532481252,incorrect
18,31.35,17.77,0.68,0.2518512228838152,acceptable
19,52.64,19.97,0.0,0.010340531142154762,incorrect
20,29.66,17.06,0.0,0.027855697757679067,incorrect
21,20.2,10.48,0.2,0.1235016077982467,incorrect
22,48.96,20.78,0.05,0.02814752136710782,incorrect
23,31.98,14.79,0.17,0.08205492870219636,incorrect
24,38.95,16.08,0.0,0.018028507333661077,incorrect
25,29.3,16.98,0.0,0.028456598346091006,incorrect
26,31.29,17.67,0.68,0.2519594025813227,acceptable
27,54.03,20.75,0.0,0.009783464251615042,incorrect
28,40.75,18.37,0.0,0.016106192567242113,incorrect
29,39.69,14.1,0.05,0.03501459566423824,incorrect
30,30.43,13.02,0.1,0.06182554493505349,incorrect
31,35.79,19.48,0.0,0.019762449464323633,incorrect
32,34.8,17.03,0.0,0.02133297991887581,incorrect
33,37.61,18.26,0.0,0.018432798449712347,incorrect
34,60.03,18.74,0.0,0.008673786316464214,incorrect
35,39.45,15.57,0.03,0.027853475520645654,incorrect
