model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,22.75,12.45,0.0,0.04560158490224316,incorrect
2,22.25,12.21,0.0,0.0474075396711283,incorrect
3,22.66,12.31,0.0,0.0459939956163477,incorrect
4,20.45,9.74,0.03,0.06682690964387338,incorrect
5,22.4,12.27,0.0,0.04686457957595468,incorrect
6,24.1,12.38,0.0,0.041700377833557456,incorrect
7,22.65,12.25,0.0,0.04607301049934479,incorrect
8,23.81,11.55,0.39,0.17320813615142197,incorrect
9,21.33,9.95,0.04,0.06642050849552317,incorrect
10,25.88,11.16,0.0,0.03837128700890536,incorrect
11,49.73,17.5,0.0,0.011892917182196318,incorrect
12,24.16,13.33,0.0,0.04088296484352213,incorrect
13,26.5,11.32,0.0,0.036847199294595574,incorrect
14,24.52,11.69,0.41,0.17782551386940834,incorrect
15,23.38,11.49,0.34,0.15783382430440404,incorrect
16,23.66,13.3,0.0,0.042290460467385264,incorrect
17,49.93,17.7,0.0,0.011765158536745287,incorrect
18,23.94,12.36,0.0,0.042154984317819215,incorrect
19,23.78,11.53,0.41,0.1799780329998685,incorrect
20,59.04,18.18,0.0,0.009022698402089207,incorrect
21,43.97,18.44,0.0,0.01419914433692261,incorrect
22,24.43,11.26,0.0,0.041807232929732374,incorrect
23,23.58,11.44,0.42,0.18396685796188564,incorrect
24,26.69,11.7,0.0,0.03608506208634379,incorrect
25,26.27,11.66,0.0,0.037017077123088486,incorrect
26,57.95,20.1,0.0,0.008866562216308492,incorrect
27,23.56,13.2,0.0,0.04264013882437534,incorrect
28,20.96,9.88,0.03,0.06458733456064226,incorrect
29,24.47,12.45,0.0,0.040659450696164244,incorrect
30,28.44,13.23,0.01,0.03489762623335818,incorrect
31,37.5,12.94,0.0,0.02070876229661362,incorrect
32,26.51,13.59,0.01,0.03841941850528673,incorrect
33,24.77,11.71,0.41,0.17716485697298048,incorrect
34,43.35,18.38,0.0,0.01454650799110121,incorrect
35,22.23,11.08,0.28,0.14185083660468642,incorrect
36,22.31,12.17,0.01,0.05057389091204419,incorrect
37,23.44,12.13,0.0,0.04375941172826481,incorrect
38,24.28,11.6,0.44,0.18854111151416084,incorrect
39,23.14,11.39,0.37,0.16864559610642918,incorrect
40,22.56,12.26,0.01,0.04968650884368775,incorrect
41,23.45,11.72,0.0,0.04408186428531654,incorrect
42,19.65,9.28,0.07,0.08436149479528299,incorrect
43,50.03,17.37,0.0,0.01181921350959121,incorrect
44,24.44,13.74,0.0,0.03989463032174722,incorrect
45,52.51,18.72,0.0,0.010637887890833593,incorrect
46,23.36,11.32,0.46,0.19805880641574092,incorrect
47,39.07,12.58,0.0,0.01973689356666908,incorrect
48,21.78,12.31,0.0,0.04893567181498291,incorrect
49,59.9,22.28,0.0,0.008083744101293514,incorrect
50,51.77,18.71,0.0,0.01087877605128603,incorrect
51,24.89,13.74,0.0,0.03874040226768427,incorrect
52,25.36,11.83,0.39,0.16893941297291892,incorrect
53,58.89,21.99,0.0,0.008346472514879735,incorrect
54,23.55,12.26,0.0,0.04333563398270574,incorrect
55,56.28,16.31,0.0,0.01022957405737851,incorrect
56,47.86,21.04,0.0,0.011878233883843377,incorrect
57,24.53,11.71,0.45,0.19111469202975973,incorrect
58,23.12,13.19,0.0,0.043945995962073,incorrect
59,23.19,12.33,0.0,0.04434051094524446,incorrect
60,26.82,12.69,0.0,0.035018224775105126,incorrect
61,50.69,18.21,0.0,0.011363004443905029,incorrect
62,23.14,12.64,0.0,0.044258743567160565,incorrect
63,18.15,6.62,0.31,0.17956898870160912,incorrect
64,25.67,10.09,0.0,0.04014428652480249,incorrect
65,23.91,12.06,0.0,0.04247815571894605,incorrect
66,21.22,10.46,0.04,0.06613917277048255,incorrect
67,26.26,11.45,0.0,0.03723635313451474,incorrect
68,26.75,11.89,0.0,0.03579191723287826,incorrect
69,26.78,13.09,0.01,0.038161349023206406,incorrect
70,22.41,11.18,0.34,0.16115116319443776,incorrect
71,64.15,19.24,0.0,0.007765095779295717,incorrect
72,20.38,7.16,0.07,0.08674008347653027,incorrect
73,29.26,13.33,0.0,0.030108835043736473,incorrect
74,24.12,13.46,0.0,0.040912235321878966,incorrect
75,57.75,20.21,0.0,0.008894308362260536,incorrect
76,35.54,13.0,0.04,0.03574823055528362,incorrect
77,26.24,11.21,0.0,0.03751910092566957,incorrect
78,26.26,11.68,0.0,0.037020591840411655,incorrect
79,54.03,13.65,0.04,0.02536119572864944,incorrect
80,23.2,12.31,0.0,0.044326089326205236,incorrect
81,57.0,21.59,0.0,0.008852556338035127,incorrect
82,25.92,11.92,0.46,0.19089540582033668,incorrect
83,59.39,22.08,0.0,0.008222199911083673,incorrect
84,26.33,13.05,0.0,0.03580664528471402,incorrect
85,48.68,17.12,0.0,0.012401573785046825,incorrect
86,26.3,11.56,0.0,0.037044593272221045,incorrect
