model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,19.44,8.6,0.34,0.17667363015351012,incorrect
2,47.31,17.69,0.0,0.012803038539988418,incorrect
3,35.68,13.41,0.09,0.05202077758572343,incorrect
4,16.52,8.81,0.13,0.12249837432791573,incorrect
5,47.07,17.86,0.0,0.012861470610636076,incorrect
6,50.72,18.05,0.0,0.011392246761875268,incorrect
7,53.71,17.97,0.0,0.010450956456779785,incorrect
8,50.57,17.98,0.0,0.011462573610254973,incorrect
9,49.72,17.43,0.0,0.011916037931308852,incorrect
10,46.28,17.48,0.0,0.01331395736686655,incorrect
11,53.66,18.67,0.0,0.010297145479418039,incorrect
12,49.55,18.48,0.0,0.011710450866883526,incorrect
13,50.43,18.14,0.0,0.011471899933376729,incorrect
14,33.07,12.14,0.11,0.06233591997619789,incorrect
15,50.65,18.34,0.0,0.011345490801404139,incorrect
16,47.17,17.73,0.0,0.012852406629825043,incorrect
17,50.56,18.28,0.0,0.011391598002848143,incorrect
18,50.79,18.19,0.0,0.011333027413992586,incorrect
19,55.31,20.92,0.0,0.00939574934057529,incorrect
20,50.13,18.17,0.0,0.011571933279144473,incorrect
21,47.16,17.92,0.0,0.012807093771002398,incorrect
22,20.08,8.69,0.3,0.16029738993574702,incorrect
23,50.2,18.47,0.0,0.011474469844802269,incorrect
24,50.71,18.28,0.0,0.011338953974058307,incorrect
25,50.65,18.4,0.0,0.011331164133297723,incorrect
26,50.76,18.02,0.0,0.011385858399548842,incorrect
27,39.55,14.92,0.0,0.018052255488318143,incorrect
28,17.54,8.5,0.14,0.12012738935120178,incorrect
29,52.62,18.14,0.0,0.010740464371287709,incorrect
30,35.61,13.44,0.09,0.052069286856100024,incorrect
31,48.4,18.07,0.0,0.01225437543458476,incorrect
32,46.16,17.35,0.0,0.013405107609647316,incorrect
33,45.23,16.3,0.0,0.014169908618968226,incorrect
34,50.49,18.34,0.0,0.011401853325663363,incorrect
35,17.19,8.24,0.27,0.16618076586121158,incorrect
36,45.56,16.42,0.0,0.01397087809156705,incorrect
37,19.46,8.6,0.37,0.18658132934250052,incorrect
38,33.8,13.28,0.0,0.02402586280978793,incorrect
39,51.0,17.86,0.0,0.01134378762218787,incorrect
40,53.72,17.99,0.0,0.010442908475737783,incorrect
41,50.76,18.33,0.0,0.011309440449984566,incorrect
42,53.6,19.42,0.0,0.010153995577612375,incorrect
43,31.18,12.31,0.06,0.04793545947355332,incorrect
44,50.69,18.36,0.0,0.011326689429136389,incorrect
45,51.85,18.31,0.0,0.010945901852459305,incorrect
46,50.72,18.16,0.0,0.011364821267088038,incorrect
47,19.71,8.6,0.46,0.21544621524107968,incorrect
48,49.66,18.48,0.0,0.011669484490051748,incorrect
49,17.67,9.08,0.08,0.0981607193239124,incorrect
50,47.22,17.79,0.0,0.012815073892648028,incorrect
51,50.98,17.63,0.0,0.011411541920553733,incorrect
52,51.23,18.69,0.0,0.011063771534723642,incorrect
53,16.45,8.76,0.14,0.12640583470896624,incorrect
54,42.03,14.58,0.01,0.019922041475145046,incorrect
55,34.37,13.5,0.0,0.02327719245209285,incorrect
56,50.6,17.95,0.0,0.011459668889738544,incorrect
57,49.43,18.47,0.0,0.011757789441500835,incorrect
58,25.8,10.97,0.07,0.06208935033226314,incorrect
59,18.17,9.32,0.07,0.09159907196377104,incorrect
60,19.69,8.6,0.42,0.2022024360166589,incorrect
61,34.99,13.25,0.02,0.029459527468545823,incorrect
62,51.09,17.79,0.0,0.011331209188488655,incorrect
63,52.36,17.85,0.0,0.010896324176560765,incorrect
64,52.97,18.44,0.0,0.010559038995646511,incorrect
65,17.47,9.1,0.07,0.09595584715966904,incorrect
66,15.78,8.49,0.15,0.13505573938455398,incorrect
67,51.61,18.85,0.0,0.010900372682345156,incorrect
68,35.21,13.13,0.11,0.059317327516766584,incorrect
69,33.7,11.62,0.15,0.07540103407445505,incorrect
70,33.91,12.6,0.07,0.04769733086180247,incorrect
71,20.1,10.09,0.15,0.10777512908516167,incorrect
72,17.47,8.88,0.06,0.09305254885975785,incorrect
73,18.98,8.42,0.43,0.2092719866602176,incorrect
74,51.46,18.91,0.0,0.010937195329587352,incorrect
75,51.39,18.99,0.0,0.010943271450842049,incorrect
76,24.91,9.68,0.27,0.13258079531143488,incorrect
77,50.65,18.21,0.0,0.011377014788896881,incorrect
78,17.87,8.39,0.07,0.0951598118707152,incorrect
79,56.66,20.62,0.0,0.009091306727682392,incorrect
80,49.51,18.57,0.0,0.011704453052124359,incorrect
81,35.09,13.32,0.09,0.05264933857289256,incorrect
82,16.96,9.55,0.15,0.12494376547469084,incorrect
83,50.75,18.68,0.0,0.011231139962232406,incorrect
84,35.45,14.41,0.0,0.02169520464096684,incorrect
85,36.2,13.69,0.04,0.034705389799331986,incorrect
86,51.55,18.43,0.0,0.011016385150370074,incorrect
87,47.57,18.93,0.0,0.01239327351719652,incorrect
88,50.6,18.22,0.0,0.0113921240686523,incorrect
89,50.64,18.04,0.0,0.011422769403105874,incorrect
90,38.0,13.12,0.02,0.026850994564490943,incorrect
91,20.42,8.75,0.43,0.20207696911636686,incorrect
92,33.41,13.47,0.0,0.024346956896836264,incorrect
93,33.54,13.3,0.0,0.02430336149188549,incorrect
94,38.52,12.68,0.04,0.03341096470721657,incorrect
95,43.17,14.53,0.01,0.01928872730517542,incorrect
96,48.62,18.28,0.0,0.012115232281468847,incorrect
97,40.98,16.7,0.0,0.016416962344799634,incorrect
98,38.35,13.66,0.01,0.02291323262683985,incorrect
99,19.43,10.42,0.08,0.08697931036931557,incorrect
100,51.02,18.28,0.0,0.011231571020338497,incorrect
125384,3.93,2.19,0.73,0.6244015793712142,medium
