model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,56.95,18.52,0.0,0.009436145930982605,incorrect
2,38.69,16.86,0.07,0.04129890138585187,incorrect
3,57.5,19.97,0.0,0.00899849685832191,incorrect
4,57.89,18.77,0.0,0.009149987283267646,incorrect
5,62.45,19.91,0.0,0.007944202178475098,incorrect
6,34.93,14.77,0.05,0.038704757661284166,incorrect
7,50.77,13.61,0.0,0.013088971016590989,incorrect
8,41.17,16.63,0.0,0.01631784947721022,incorrect
9,62.16,19.7,0.0,0.008039955215709115,incorrect
10,46.52,15.56,0.02,0.020504849326051636,incorrect
11,42.5,17.0,0.0,0.01539562011665016,incorrect
12,63.81,16.68,0.0,0.008485722636432278,incorrect
13,47.09,17.13,0.02,0.019721167671081116,incorrect
14,45.73,16.63,0.05,0.030488442461145075,incorrect
15,56.91,18.52,0.0,0.009446137482382039,incorrect
16,56.81,18.49,0.0,0.009478215085889703,incorrect
17,34.32,14.45,0.0,0.022818552539341102,incorrect
18,51.43,13.96,0.0,0.012667546169140889,incorrect
19,34.57,14.61,0.0,0.022480150351058503,incorrect
20,45.99,15.31,0.02,0.020846335136824354,incorrect
21,43.43,17.32,0.0,0.014778894220042747,incorrect
22,55.69,19.54,0.0,0.009541397339944776,incorrect
23,58.05,18.59,0.0,0.009152969837198073,incorrect
24,33.74,14.25,0.0,0.02354606679154384,incorrect
25,27.13,13.62,0.0,0.0337901061399444,incorrect
26,56.72,18.59,0.0,0.009477654169414576,incorrect
27,60.58,19.52,0.0,0.008392423622574063,incorrect
28,58.23,19.0,0.0,0.009019199153028654,incorrect
29,24.6,10.39,0.16,0.09569108952391908,incorrect
30,44.19,15.14,0.0,0.015133134600751127,incorrect
31,24.3,10.6,0.0,0.042882968521604725,incorrect
32,44.36,15.42,0.0,0.0149298669460329,incorrect
33,34.28,14.73,0.14,0.06939515606905602,incorrect
34,49.32,17.82,0.0,0.011960407208748261,incorrect
35,51.67,16.53,0.0,0.011505415042118605,incorrect
36,43.97,15.66,0.0,0.01503845823141281,incorrect
37,43.68,17.38,0.0,0.014626674242417351,incorrect
38,40.32,15.82,0.0,0.017153784126566585,incorrect
39,42.08,16.99,0.0,0.015645745861498892,incorrect
40,48.91,17.3,0.0,0.012259574768898858,incorrect
41,36.2,15.35,0.09,0.050570688436380594,incorrect
42,27.26,13.41,0.28,0.1269895870062895,incorrect
43,34.25,14.56,0.0,0.02283987662588866,incorrect
44,36.19,14.98,0.02,0.02740259026319314,incorrect
45,46.64,15.33,0.02,0.020543191558718945,incorrect
46,37.71,13.87,0.0,0.01997038995573221,incorrect
47,50.57,13.39,0.0,0.01328991445174707,incorrect
48,43.56,17.09,0.0,0.014775021027818067,incorrect
49,43.85,15.27,0.02,0.021923830619703277,incorrect
50,50.38,18.15,0.0,0.011487203399158449,incorrect
51,27.3,14.26,0.0,0.03310619608462527,incorrect
52,47.51,15.11,0.0,0.013591554282467687,incorrect
53,31.76,13.01,0.05,0.04331942120311332,incorrect
54,57.88,18.39,0.0,0.009240104211091393,incorrect
55,61.9,19.98,0.0,0.008037333653475658,incorrect
56,60.87,19.39,0.0,0.008358587780582818,incorrect
57,44.73,15.65,0.0,0.014651813214213832,incorrect
58,38.34,11.72,0.0,0.020988332131760382,incorrect
59,27.28,12.29,0.07,0.05772356916213031,incorrect
60,62.54,20.17,0.0,0.007879156868532007,incorrect
61,52.86,17.22,0.0,0.010912079227228989,incorrect
62,38.03,11.86,0.0,0.021107699691207977,incorrect
63,44.06,15.88,0.02,0.02157522793557859,incorrect
64,37.06,13.68,0.0,0.020618702691965966,incorrect
65,42.46,17.01,0.0,0.015415852269943147,incorrect
66,43.22,17.35,0.0,0.014885715395508132,incorrect
67,53.63,15.97,0.0,0.011083185976898025,incorrect
68,58.0,18.91,0.0,0.009092879867394585,incorrect
69,60.19,21.64,0.0,0.008111579727671254,incorrect
70,39.66,16.11,0.0,0.017503828703977643,incorrect
71,24.59,9.64,0.16,0.09679108622460868,incorrect
72,57.11,20.89,0.0,0.008933806290126434,incorrect
73,34.21,14.41,0.0,0.022954970970390027,incorrect
74,62.05,19.76,0.0,0.00804968404086962,incorrect
75,58.08,18.73,0.0,0.009113986983057121,incorrect
76,51.88,16.47,0.0,0.01145601833184926,incorrect
77,35.89,13.86,0.0,0.021562905205820635,incorrect
78,61.41,19.66,0.0,0.00819527415072008,incorrect
79,44.64,15.28,0.0,0.01484437403947534,incorrect
80,53.88,14.07,0.0,0.01184038483057704,incorrect
81,41.33,16.62,0.0,0.01622002496464421,incorrect
82,50.04,18.08,0.02,0.018293564239363843,incorrect
83,29.89,14.56,0.07,0.051773731957940716,incorrect
84,54.71,15.75,0.0,0.010852673233700106,incorrect
85,58.04,19.05,0.0,0.009053091278009573,incorrect
86,30.92,15.04,0.09,0.05670358536147488,incorrect
87,46.47,15.47,0.02,0.020562766906430874,incorrect
88,60.17,16.52,0.0,0.00924759667189469,incorrect
89,55.14,15.73,0.0,0.010741005568378892,incorrect
90,52.86,18.89,0.0,0.010490516437957306,incorrect
91,44.4,15.59,0.02,0.02150887224066622,incorrect
92,27.34,13.5,0.23,0.11011145748387696,incorrect
93,34.32,14.46,0.02,0.029480358113754476,incorrect
94,44.55,15.39,0.0,0.014844994657434466,incorrect
95,42.33,17.0,0.0,0.015494803631594672,incorrect
96,40.78,16.3,0.0,0.01667795087634475,incorrect
97,33.76,14.86,0.02,0.029899786378173362,incorrect
98,54.83,15.62,0.0,0.010868751748971223,incorrect
99,54.54,18.85,0.0,0.010001785002503122,incorrect
100,34.2,14.27,0.0,0.023035332573351764,incorrect
4243,4.1,2.22,0.74,0.6215637210305968,medium
13275,3.81,2.32,0.65,0.5924981183380992,medium
16083,4.2,2.67,0.56,0.5345534509373993,medium
21925,3.95,2.39,0.74,0.6149966493577095,medium
39081,2.74,1.95,0.77,0.6825389991152746,medium
45916,4.89,2.62,0.7,0.5660658712241138,medium
54104,4.12,2.1,0.86,0.6691979711767124,medium
64285,4.23,2.14,0.86,0.6636511498758068,medium
68021,4.23,2.01,0.91,0.6897367102106132,medium
69350,3.34,2.24,1.0,0.7252806841002424,medium
