model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,44.9,18.32,0.0,0.013752500314582132,incorrect
2,50.3,20.02,0.0,0.01111530093750169,incorrect
3,19.7,9.49,0.12,0.10044119189591254,incorrect
4,51.23,20.32,0.0,0.010737025539075686,incorrect
5,49.43,19.9,0.0,0.011456881514585163,incorrect
6,49.33,19.81,0.0,0.01151166778680828,incorrect
7,18.9,10.69,0.53,0.23918116864243966,acceptable
8,21.83,11.65,0.01,0.05265291201402414,incorrect
9,44.97,18.4,0.0,0.013698728972519286,incorrect
10,4.5,2.11,1.14,0.7522655840962044,medium
11,43.9,17.83,0.0,0.014387505554003603,incorrect
12,2.82,1.36,1.14,0.8632266308542701,high
13,46.19,18.73,0.0,0.01304262056513529,incorrect
14,22.5,11.97,0.0,0.04678419870132775,incorrect
15,21.63,11.59,0.01,0.05341463515863295,incorrect
16,21.66,11.67,0.01,0.05323386365799692,incorrect
17,46.14,18.77,0.0,0.013056532927998327,incorrect
18,57.23,23.42,0.0,0.00855616277621781,incorrect
19,19.72,9.09,0.12,0.10106315903072698,incorrect
20,45.79,18.66,0.0,0.013243692114505302,incorrect
21,22.36,12.13,0.05,0.0637747587157191,incorrect
22,43.74,17.88,0.0,0.014459582331482755,incorrect
23,44.66,18.27,0.0,0.013884525878673516,incorrect
24,21.03,11.62,0.04,0.06560505112670552,incorrect
25,47.66,18.89,0.0,0.012364321365227878,incorrect
26,22.22,11.83,0.0,0.047825985176471554,incorrect
27,46.56,18.96,0.0,0.012824447318793342,incorrect
28,27.27,11.04,0.03,0.04555937612233407,incorrect
29,54.55,21.49,0.0,0.009517614365606704,incorrect
30,51.4,20.31,0.0,0.010681389797317004,incorrect
31,48.9,19.95,0.0,0.011650039755819498,incorrect
32,8.1,3.18,1.16,0.6220286323014497,medium
33,45.47,18.48,0.0,0.013436851181615623,incorrect
34,46.02,18.74,0.0,0.0131185172551634,incorrect
35,56.93,21.93,0.0,0.008820972809357498,incorrect
36,57.06,23.49,0.0,0.008590092065981068,incorrect
37,47.34,21.25,0.0,0.01206336254872664,incorrect
38,16.66,8.27,0.1,0.11279787534798764,incorrect
39,8.33,3.05,0.99,0.5649543392997994,medium
40,18.49,10.69,0.41,0.20125702071299398,incorrect
41,32.3,13.07,0.01,0.029255663778523372,incorrect
42,49.47,19.3,0.0,0.011560045287343624,incorrect
43,46.8,19.0,0.0,0.012709308004267379,incorrect
44,22.27,10.14,0.05,0.06618988626213147,incorrect
45,46.28,18.65,0.0,0.013019726717139338,incorrect
46,51.1,20.35,0.0,0.010776003325394003,incorrect
47,57.09,23.22,0.0,0.00861418696014391,incorrect
48,21.99,11.99,0.05,0.0651334446190085,incorrect
49,46.23,18.94,0.0,0.01297779923385084,incorrect
50,20.31,9.39,0.05,0.07464346547503413,incorrect
51,44.21,18.22,0.0,0.014126635410165992,incorrect
52,52.09,20.7,0.0,0.010386787242990232,incorrect
53,30.92,14.81,0.0,0.026805303104918892,incorrect
54,2.25,1.28,0.97,0.8277210566616745,high
55,18.14,9.08,0.11,0.10553367914070029,incorrect
56,56.69,23.15,0.0,0.008722664439096936,incorrect
57,45.93,18.68,0.0,0.013173792569449365,incorrect
58,44.59,18.34,0.0,0.013902965243558675,incorrect
59,44.76,18.48,0.0,0.013784221294950048,incorrect
60,44.94,18.26,0.0,0.01374720201634054,incorrect
61,53.19,20.23,0.0,0.010123103249457083,incorrect
62,56.89,23.22,0.0,0.008663991940788195,incorrect
63,18.37,10.52,0.38,0.19209037274896337,incorrect
64,2.24,1.27,1.1,0.8725086653566686,high
65,22.33,10.23,0.07,0.07253545922193928,incorrect
66,52.61,21.4,0.0,0.010109552319366073,incorrect
67,49.52,19.91,0.0,0.011421228269449095,incorrect
68,45.75,18.76,0.0,0.013239857976254939,incorrect
69,49.52,20.0,0.0,0.011404429059596299,incorrect
70,49.96,20.36,0.0,0.011176838583417559,incorrect
71,52.33,21.94,0.0,0.010119335966348111,incorrect
72,21.58,9.84,0.07,0.07567233055789398,incorrect
73,22.15,12.09,0.04,0.06117310600746453,incorrect
