model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,3.98,1.22,0.89,0.7706806458617201,medium
2,49.91,15.51,0.0,0.012484427973799615,incorrect
3,15.04,9.24,0.0,0.08925321497296641,incorrect
4,18.04,10.57,0.0,0.06713820867913521,incorrect
5,49.9,15.68,0.0,0.01242207783089938,incorrect
6,3.86,1.27,1.06,0.8238327214626352,high
7,2.73,0.98,1.0,0.8691129097310272,high
8,3.81,1.16,0.94,0.7994877694834224,medium
9,47.96,16.46,0.0,0.012896840908448013,incorrect
10,15.04,9.26,0.0,0.08921722750902444,incorrect
11,38.07,14.56,0.0,0.01932858667011929,incorrect
12,15.07,9.33,0.0,0.08884953342945445,incorrect
13,18.2,10.66,0.0,0.06615945925143087,incorrect
14,20.7,9.6,0.0,0.05603955906935525,incorrect
15,18.08,10.58,0.0,0.06690681215274452,incorrect
16,3.01,1.12,1.17,0.9002078308473948,high
17,2.96,0.93,1.0,0.8713940575463522,high
18,5.34,1.55,0.78,0.660207176315588,medium
19,38.79,12.45,0.0,0.02004184419736108,incorrect
20,18.69,11.32,0.0,0.06288011845448686,incorrect
21,18.28,10.72,0.0,0.06565998904796828,incorrect
22,15.21,9.18,0.0,0.0879956844743775,incorrect
23,14.86,9.16,0.0,0.09088133649284791,incorrect
24,38.67,12.39,0.0,0.02017803789819299,incorrect
25,3.35,1.45,0.83,0.7374996029462504,medium
26,14.7,9.01,0.0,0.09251364168947758,incorrect
27,18.14,10.57,0.0,0.06659225073167226,incorrect
28,15.74,8.75,0.39,0.21477723806296245,incorrect
29,15.09,9.31,0.0,0.08872296080317632,incorrect
30,15.28,9.19,0.0,0.08742353217333522,incorrect
31,37.77,14.04,0.06,0.03982998441736436,incorrect
32,12.98,6.21,0.22,0.19175209450399497,incorrect
33,3.82,1.18,1.0,0.8165638168421321,high
34,35.09,15.07,0.0,0.021745116066303177,incorrect
35,3.39,0.93,0.89,0.8250341786761424,high
36,50.2,15.69,0.0,0.012309376490239167,incorrect
37,13.99,6.17,0.22,0.18180824227520995,incorrect
38,49.07,16.49,0.0,0.012446099661898509,incorrect
39,13.59,6.87,0.39,0.23889983020050784,acceptable
40,15.01,9.28,0.0,0.08942594737546745,incorrect
41,3.56,1.02,1.0,0.8448573757146334,high
42,17.97,10.55,0.0,0.06754897056767944,incorrect
43,18.13,10.55,0.0,0.06667101615655895,incorrect
44,46.66,15.89,0.0,0.013650686238802301,incorrect
45,13.69,6.97,0.28,0.2008354520722699,incorrect
46,20.84,9.8,0.0,0.055173797961341975,incorrect
47,50.9,15.71,0.0,0.012054875218467572,incorrect
48,45.07,13.72,0.0,0.01538612082908026,incorrect
49,48.08,16.63,0.0,0.012792372714907652,incorrect
50,17.98,10.48,0.0,0.06758032864924052,incorrect
51,15.38,9.3,0.0,0.08644313996263409,incorrect
53,47.8,16.73,0.0,0.01287562827896486,incorrect
54,48.32,16.74,0.0,0.012660316235202527,incorrect
55,45.5,15.56,0.0,0.014309959234577592,incorrect
56,46.85,16.38,0.0,0.01339471519694987,incorrect
59,13.2,6.23,0.28,0.20930310871693528,incorrect
60,12.72,5.95,0.22,0.1961512739647221,incorrect
61,46.98,16.23,0.0,0.013388909737557096,incorrect
62,17.94,10.53,0.06,0.08774018233373908,incorrect
63,46.94,16.33,0.0,0.013372171058627277,incorrect
64,18.12,11.29,0.0,0.0659024438909059,incorrect
65,14.69,9.03,0.0,0.09256015454890539,incorrect
66,46.9,16.25,0.0,0.013416952217500971,incorrect
67,18.14,10.65,0.0,0.06649567738358893,incorrect
68,18.11,10.54,0.0,0.06679208560340007,incorrect
69,18.18,10.73,0.0,0.06618473271364704,incorrect
70,17.84,10.71,0.0,0.06808337723978158,incorrect
71,33.04,13.46,0.06,0.04478101635775128,incorrect
72,47.31,16.28,0.0,0.013229449889170278,incorrect
73,50.89,17.18,0.0,0.01156877505026485,incorrect
74,5.27,1.55,0.94,0.7153151824094722,medium
76,18.14,10.67,0.0,0.06647186404799023,incorrect
77,18.24,10.69,0.0,0.0659090415998367,incorrect
78,14.96,9.19,0.0,0.08999834204683259,incorrect
79,15.55,6.96,0.0,0.09148104285706822,incorrect
80,46.95,16.16,0.0,0.013426289360327965,incorrect
81,15.11,9.08,0.0,0.08898280323214276,incorrect
82,50.26,15.54,0.0,0.012345847267230625,incorrect
83,50.64,16.56,0.0,0.011846670356226689,incorrect
84,40.39,16.82,0.0,0.01676679289877029,incorrect
85,49.25,16.41,0.0,0.012403813219544849,incorrect
87,23.08,10.92,0.11,0.08265103673843795,incorrect
88,18.71,10.85,0.0,0.06327849691485293,incorrect
89,43.11,13.89,0.0,0.016316309544756817,incorrect
90,5.13,1.65,1.17,0.7851644593327611,medium
91,15.43,9.29,0.0,0.08607373326068403,incorrect
