model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,60.73,15.37,0.38,0.13621598313152736,incorrect
2,60.17,15.27,0.36,0.12970767011702952,incorrect
3,46.75,17.95,0.12,0.052978253108441654,incorrect
4,60.35,15.13,0.25,0.09306156532133976,incorrect
5,49.82,15.94,0.49,0.17568781834797886,incorrect
6,61.05,15.39,0.34,0.12280886804061619,incorrect
7,32.8,15.33,0.19,0.0874713059181278,incorrect
8,58.94,14.73,0.15,0.06021253311951225,incorrect
9,60.9,15.23,0.27,0.099571817523351,incorrect
10,57.78,19.55,0.01,0.01234510880159182,incorrect
11,59.23,21.05,0.0,0.008410415186680816,incorrect
12,56.5,14.64,0.36,0.1308402721413186,incorrect
13,62.8,15.83,0.44,0.1556296939331216,incorrect
14,62.05,15.61,0.33,0.11918961239169902,incorrect
15,37.09,9.41,0.4,0.1582264951304195,incorrect
16,47.61,18.2,0.12,0.052545532810424365,incorrect
17,49.9,16.88,0.01,0.015344150103961238,incorrect
18,35.86,16.67,0.01,0.02374251432952369,incorrect
19,61.58,15.59,0.41,0.14595635900336115,incorrect
20,41.75,13.94,0.08,0.04374880145160693,incorrect
21,32.66,15.58,0.15,0.07420705427954592,incorrect
22,57.99,20.66,0.0,0.008758878715983959,incorrect
23,68.86,24.18,0.0,0.006280674139931288,incorrect
24,34.83,16.73,0.01,0.02472792974507079,incorrect
25,57.49,21.26,0.01,0.012115288685116592,incorrect
26,61.11,15.46,0.41,0.14610191979860734,incorrect
27,49.37,16.92,0.0,0.012195628924301115,incorrect
28,62.46,15.75,0.4,0.14239057294910923,incorrect
29,58.9,20.62,0.0,0.008555052040424225,incorrect
30,62.2,16.33,0.11,0.045566442177352166,incorrect
31,58.93,14.35,0.05,0.027063063805340293,incorrect
32,57.43,21.37,0.04,0.022113005717206254,incorrect
33,41.52,18.31,0.08,0.0422970796008971,incorrect
34,50.25,15.21,0.21,0.08248310250034062,incorrect
35,46.72,17.98,0.23,0.08965052960959569,incorrect
36,49.14,15.92,0.0,0.012616895060104494,incorrect
37,46.47,19.52,0.0,0.012748213601294288,incorrect
38,44.65,15.75,0.22,0.08798729357683628,incorrect
39,59.56,14.77,0.15,0.060056368606996834,incorrect
40,57.37,26.53,0.0,0.00822224396072163,incorrect
41,56.39,21.29,0.0,0.009052003391536341,incorrect
42,47.46,16.58,0.0,0.013065903524956199,incorrect
43,46.72,17.7,0.15,0.0630568083861437,incorrect
44,41.71,10.44,0.26,0.10669984034265241,incorrect
45,32.14,15.93,0.14,0.07138652779565886,incorrect
46,54.32,19.25,0.0,0.00997866573234446,incorrect
47,34.77,16.23,0.01,0.02495389891442743,incorrect
48,62.48,16.66,0.0,0.00873760819681454,incorrect
49,46.68,17.51,0.18,0.07312601655835677,incorrect
