model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,26.92,9.15,0.0,0.038943613543901655,incorrect
2,26.45,8.89,0.03,0.05042911296088657,incorrect
3,25.53,8.87,0.03,0.052530475918973724,incorrect
4,45.31,13.78,0.2,0.08190212389167574,incorrect
5,26.98,8.99,0.03,0.04912627513139465,incorrect
6,26.74,9.16,0.0,0.03929582970022403,incorrect
7,42.08,16.35,0.0,0.01584981270504286,incorrect
8,37.57,14.52,0.0,0.01975114023298218,incorrect
9,29.9,14.73,0.0,0.028345453923342312,incorrect
10,44.72,14.0,0.22,0.08873894561368957,incorrect
11,44.39,13.94,0.2,0.08227185515103914,incorrect
12,61.99,18.06,0.0,0.008435243651540733,incorrect
13,51.25,20.09,0.0,0.01077161436000005,incorrect
14,57.13,12.6,0.0,0.011877132340909279,incorrect
15,70.07,15.26,0.0,0.008023909104711395,incorrect
16,26.67,9.19,0.0,0.03938652522317516,incorrect
17,38.69,8.58,0.2,0.09190032063311694,incorrect
18,25.77,10.41,0.75,0.28948676626351744,acceptable
19,40.2,15.07,0.0,0.01753496815943049,incorrect
20,58.34,20.1,0.0,0.008774957742278546,incorrect
21,28.38,9.35,0.0,0.0358037086779494,incorrect
22,58.04,18.16,0.0,0.009257948845512077,incorrect
23,62.1,21.09,0.0,0.007807874172556431,incorrect
24,44.86,13.72,0.2,0.08215650436539841,incorrect
25,33.59,6.62,0.35,0.15300513556968806,incorrect
26,48.79,15.38,0.0,0.01295983163498522,incorrect
27,42.1,17.88,0.0,0.015385297928269441,incorrect
28,26.5,8.73,0.05,0.05732065464589133,incorrect
29,33.15,16.2,0.0,0.023396941550402135,incorrect
30,40.14,15.97,0.0,0.017220761076735026,incorrect
31,31.77,12.06,0.0,0.027344828065607504,incorrect
32,64.89,23.06,0.0,0.007027514052482096,incorrect
33,59.2,18.72,0.0,0.008859560188672457,incorrect
34,43.41,13.76,0.25,0.09955626730249324,incorrect
35,35.83,12.58,0.0,0.02243277168644392,incorrect
36,51.36,17.7,0.0,0.01126338999787869,incorrect
37,28.05,12.76,0.0,0.03257835615540252,incorrect
38,26.56,8.82,0.03,0.0503380693830269,incorrect
39,61.88,20.85,0.0,0.007889377558747827,incorrect
40,46.31,14.42,0.05,0.031098612230665665,incorrect
41,71.14,16.15,0.0,0.007542651494006667,incorrect
42,27.95,9.06,0.03,0.04711196806191963,incorrect
43,24.94,8.75,0.03,0.054205790177703904,incorrect
44,59.96,21.36,0.0,0.00820254628892699,incorrect
45,61.66,18.16,0.0,0.008475122087370912,incorrect
46,26.82,9.05,0.03,0.04933745096664032,incorrect
47,55.55,17.9,0.0,0.009950436096909003,incorrect
48,33.07,16.04,0.0,0.023546697588568723,incorrect
49,42.18,16.44,0.0,0.015760212366617895,incorrect
50,48.38,16.51,0.0,0.012710138574057894,incorrect
51,41.87,17.85,0.0,0.015531216113641508,incorrect
52,61.49,18.04,0.0,0.008538839901578575,incorrect
53,58.54,19.01,0.0,0.008945097247701716,incorrect
54,52.84,19.0,0.0,0.010472752309039808,incorrect
55,58.64,18.29,0.0,0.009086602553258563,incorrect
56,70.67,15.61,0.0,0.00780319310984752,incorrect
57,66.27,14.58,0.0,0.008886247812182016,incorrect
58,57.56,18.23,0.0,0.009355470536814391,incorrect
59,40.17,13.71,0.0,0.018228253531959327,incorrect
60,57.92,17.87,0.0,0.009359759451575337,incorrect
61,54.0,17.65,0.0,0.010449610373430193,incorrect
62,40.05,16.23,0.0,0.017190492695329438,incorrect
63,43.27,16.61,0.0,0.015081550602100069,incorrect
64,37.64,13.17,0.0,0.020442619657604116,incorrect
65,61.32,17.62,0.0,0.008682505745791692,incorrect
66,59.04,19.65,0.0,0.008699973690881041,incorrect
67,70.14,19.45,0.0,0.006795330452466026,incorrect
68,24.94,8.72,0.03,0.05426949655389369,incorrect
69,42.66,18.24,0.0,0.014967345787606244,incorrect
70,43.14,14.19,0.28,0.10947396596002142,incorrect
71,55.5,12.17,0.0,0.012627504820813186,incorrect
72,62.28,17.76,0.0,0.008456387014535988,incorrect
73,38.65,16.34,0.0,0.018163733520425007,incorrect
74,31.61,7.41,0.4,0.16893232713520503,incorrect
75,43.55,16.18,0.0,0.01507262028041372,incorrect
76,26.15,8.86,0.03,0.05114117802241841,incorrect
77,61.49,19.52,0.0,0.008206894510974233,incorrect
78,57.84,21.13,0.0,0.008718012371450002,incorrect
79,34.43,16.38,0.0,0.021921178530672932,incorrect
80,70.33,14.97,0.0,0.008112293817892776,incorrect
81,24.86,10.42,0.68,0.26832375665814173,acceptable
82,32.12,6.33,0.43,0.1828716234050423,incorrect
83,42.74,14.26,0.25,0.09966363239777247,incorrect
84,39.62,16.88,0.0,0.01727868516393954,incorrect
85,65.02,18.36,0.0,0.007811145348877206,incorrect
86,46.29,14.24,0.0,0.014530811594409727,incorrect
87,58.45,18.22,0.0,0.00914737559658154,incorrect
88,43.5,14.09,0.25,0.09932806918416826,incorrect
89,29.52,9.26,0.03,0.04404360561937526,incorrect
90,59.23,21.06,0.0,0.008408824340222248,incorrect
91,39.48,16.62,0.0,0.017459958685107673,incorrect
92,71.38,15.94,0.0,0.007586544661814211,incorrect
93,35.57,13.32,0.65,0.23884749894075152,acceptable
94,43.36,16.71,0.0,0.015000170686617858,incorrect
95,62.12,15.12,0.0,0.009374950941130002,incorrect
96,25.16,8.99,0.0,0.04317592681554331,incorrect
97,70.88,15.5,0.0,0.007818504243302146,incorrect
98,43.21,14.03,0.3,0.11618534730716867,incorrect
99,38.04,13.4,0.0,0.019976871598926752,incorrect
100,36.39,14.5,0.0,0.02077512750523226,incorrect
386,4.98,2.12,1.17,0.749356218511478,medium
443,4.47,2.0,1.35,0.8311200078643202,high
5520,4.2,2.0,1.12,0.7612533837653429,medium
10907,3.91,1.95,1.23,0.8090340381680107,high
11010,4.31,1.83,1.2,0.7991136140664192,medium
12676,4.88,1.95,1.08,0.7346156150195547,medium
18640,4.27,1.9,1.25,0.8108174871189276,high
26140,4.51,1.94,1.02,0.7248243095169733,medium
41248,2.82,1.63,1.1,0.8197946123695016,high
49838,4.25,1.64,1.15,0.8018341566118714,high
