model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,53.68,18.73,0.0,0.010277627555311275,incorrect
2,20.69,12.65,0.02,0.05942379472106834,incorrect
3,19.87,11.24,0.04,0.07072885334210037,incorrect
4,43.52,17.68,0.0,0.01463063737763539,incorrect
5,20.33,12.34,0.0,0.054452765417942445,incorrect
6,20.6,12.52,0.0,0.053212435191128636,incorrect
7,52.36,18.5,0.0,0.01073601539582922,incorrect
8,14.5,8.76,0.04,0.1080792320622791,incorrect
9,16.24,8.16,0.09,0.11257475759657627,incorrect
10,53.39,19.02,0.0,0.010300359626357647,incorrect
11,16.26,9.08,0.02,0.08706265467885416,incorrect
12,20.48,12.54,0.0,0.05368382986962675,incorrect
13,15.41,8.78,0.02,0.0938787269059368,incorrect
14,15.32,9.28,0.07,0.11028003501886086,incorrect
15,43.65,17.87,0.0,0.014510414847705601,incorrect
16,52.56,18.32,0.0,0.010715364396007237,incorrect
17,19.38,10.92,0.04,0.07328367462186391,incorrect
18,15.11,8.81,0.07,0.1128516963268454,incorrect
19,15.97,9.29,0.04,0.09538660927952948,incorrect
20,20.69,12.62,0.0,0.05277882165222784,incorrect
21,43.98,17.88,0.0,0.014332310254072748,incorrect
22,15.91,9.29,0.07,0.10581918676385306,incorrect
23,20.79,12.58,0.0,0.0524121950841189,incorrect
24,20.3,12.47,0.04,0.06781168743962425,incorrect
25,20.04,12.33,0.0,0.055685958116643265,incorrect
26,34.51,15.27,0.11,0.05891790915433456,incorrect
27,18.96,11.71,0.53,0.23783098196715013,acceptable
28,20.48,12.44,0.0,0.05375864320942821,incorrect
29,17.35,9.53,0.42,0.21257781448700155,incorrect
30,17.25,9.58,0.42,0.21309957485727093,incorrect
31,53.05,18.7,0.0,0.01047433115866675,incorrect
32,19.15,10.93,0.04,0.07435824004458857,incorrect
33,16.35,9.11,0.0,0.07972097725827652,incorrect
34,43.87,18.22,0.0,0.01430484335234277,incorrect
35,15.86,9.59,0.07,0.10567316378641106,incorrect
36,39.95,16.05,0.02,0.023989183339588962,incorrect
37,39.51,15.93,0.0,0.017674805250892402,incorrect
38,44.12,16.91,0.0,0.014531761539147751,incorrect
39,18.6,11.78,0.18,0.12290515376406112,incorrect
40,40.86,14.11,0.0,0.017551778615692435,incorrect
41,21.89,12.64,0.0,0.048304020815118455,incorrect
42,15.95,8.81,0.0,0.0831184048838803,incorrect
43,54.44,20.5,0.0,0.009707829774498864,incorrect
