model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,31.71,19.34,0.45,0.17433860396804848,incorrect
2,32.45,19.4,0.35,0.14005020062341725,incorrect
3,54.93,20.86,0.0,0.009509800263742032,incorrect
4,31.83,19.27,0.48,0.18419604953608704,incorrect
5,55.35,20.68,0.0,0.009424488042586094,incorrect
6,32.26,19.34,0.54,0.2036322062711805,incorrect
7,31.64,19.23,0.44,0.17112032041623518,incorrect
8,31.54,19.46,0.48,0.1845394203451843,incorrect
9,33.2,19.44,0.32,0.1291448556168275,incorrect
10,32.89,19.41,0.39,0.1528483033942202,incorrect
11,55.08,20.62,0.0,0.009508324253456353,incorrect
12,32.69,19.4,0.33,0.13309025336950311,incorrect
13,53.74,20.27,0.0,0.00995104860695258,incorrect
14,55.11,20.49,0.0,0.00952229757869826,incorrect
15,32.19,19.23,0.49,0.18707634258427355,incorrect
16,55.09,20.71,0.0,0.009490437093438732,incorrect
17,31.74,19.27,0.56,0.2109802946848527,incorrect
18,33.05,19.43,0.36,0.14265518691203607,incorrect
19,62.44,23.03,0.0,0.007472902219750517,incorrect
20,32.24,19.33,0.5,0.1903260337249603,incorrect
21,32.37,19.24,0.57,0.21351550607693803,incorrect
22,31.52,19.22,0.42,0.16461530635561386,incorrect
23,54.73,20.23,0.0,0.009673400265178028,incorrect
24,53.62,23.01,0.0,0.009581712899813896,incorrect
25,31.73,19.13,0.44,0.17102272698326484,incorrect
26,52.47,20.15,0.0,0.010361023328682441,incorrect
27,32.3,19.35,0.35,0.14024673273263422,incorrect
28,30.81,19.35,0.59,0.2222340853607485,incorrect
29,31.97,19.41,0.57,0.2139862610630733,incorrect
30,31.62,19.34,0.53,0.2011240704938482,incorrect
31,56.7,21.12,0.0,0.00899950148674012,incorrect
32,31.8,19.39,0.55,0.20754384998060263,incorrect
33,32.83,19.29,0.4,0.1562777405212408,incorrect
34,33.59,19.52,0.21,0.09201724095134477,incorrect
35,54.68,20.68,0.0,0.009609379699541608,incorrect
36,55.3,20.49,0.0,0.009470391789796197,incorrect
37,56.45,20.78,0.0,0.009118004933662507,incorrect
38,53.96,20.06,0.0,0.009924444280937153,incorrect
39,32.44,19.56,0.39,0.15336379671924016,incorrect
40,31.62,19.47,0.55,0.20776436603527396,incorrect
41,53.91,20.51,0.0,0.009859048599329602,incorrect
42,53.64,20.53,0.0,0.009935218136376467,incorrect
43,53.32,20.46,0.0,0.010043150462279228,incorrect
44,55.26,20.94,0.0,0.009406112649794287,incorrect
45,33.53,19.45,0.19,0.08543212026641894,incorrect
46,31.98,19.34,0.3,0.12398767316701102,incorrect
47,53.59,20.42,0.0,0.009969105823368312,incorrect
48,32.43,19.51,0.43,0.16671943284570334,incorrect
49,56.71,20.83,0.0,0.009043639852497494,incorrect
50,52.89,19.97,0.0,0.010262655712151228,incorrect
51,32.52,19.36,0.38,0.14997219177686263,incorrect
52,53.8,19.41,0.0,0.010096815420526676,incorrect
53,53.79,20.15,0.0,0.00995786716117446,incorrect
54,55.14,20.26,0.0,0.009554418741140767,incorrect
55,32.51,19.44,0.31,0.12663489439692763,incorrect
56,55.17,20.77,0.0,0.009458511988779278,incorrect
57,32.52,19.5,0.37,0.1466105672901403,incorrect
58,38.84,12.43,0.12,0.06001948399486662,incorrect
59,33.4,19.59,0.25,0.10555165621468503,incorrect
60,40.24,12.88,0.06,0.0386982438249572,incorrect
61,32.79,19.2,0.39,0.15301102259972443,incorrect
62,32.59,19.56,0.41,0.15984631328386353,incorrect
63,53.59,20.79,0.0,0.009906321229976955,incorrect
64,32.28,19.24,0.58,0.21696111921612038,incorrect
65,32.06,19.26,0.47,0.18056840247001252,incorrect
66,45.01,21.04,0.06,0.03316401767137086,incorrect
67,16.32,5.35,0.62,0.30208793415998203,acceptable
68,32.6,19.4,0.29,0.11986620585181264,incorrect
69,54.27,20.13,0.0,0.009821906193879468,incorrect
70,56.26,20.86,0.0,0.00915372923056732,incorrect
71,50.01,14.38,0.0,0.012947037204272338,incorrect
72,32.08,19.49,0.59,0.2204960300791219,incorrect
73,52.25,20.35,0.0,0.010395364374254043,incorrect
74,23.75,12.03,0.27,0.13295133048697788,incorrect
75,53.81,20.58,0.0,0.009876416741106233,incorrect
76,33.07,17.28,0.21,0.09314982601693406,incorrect
77,55.19,20.03,0.0,0.009582469640646166,incorrect
78,32.68,19.3,0.27,0.11312281281658022,incorrect
79,40.93,15.73,0.07,0.04011861861024323,incorrect
80,32.65,19.32,0.34,0.13648839673587224,incorrect
81,32.63,19.55,0.41,0.15979958119727547,incorrect
82,73.08,24.6,0.0,0.005683968692346706,incorrect
83,53.38,19.78,0.0,0.010148969956764587,incorrect
84,31.61,19.3,0.44,0.17114554825737663,incorrect
85,31.89,19.49,0.39,0.15407336594704196,incorrect
86,53.42,20.63,0.0,0.009983918564044068,incorrect
87,63.38,26.86,0.0,0.006925717663319032,incorrect
88,31.71,19.39,0.53,0.20099506560521765,incorrect
89,31.42,19.37,0.52,0.19805193657306697,incorrect
90,64.13,26.02,0.0,0.006858900763047463,incorrect
91,53.82,20.76,0.0,0.009843219862809994,incorrect
92,51.57,18.56,0.0,0.010979302055132013,incorrect
93,15.03,4.93,0.47,0.2656856936836384,acceptable
94,52.49,20.33,0.0,0.010322484733692685,incorrect
95,54.65,20.52,0.0,0.009644979058919702,incorrect
96,51.44,18.84,0.0,0.010959316981080524,incorrect
97,67.39,21.14,0.0,0.0068898259815104125,incorrect
98,33.06,16.15,0.08,0.05018619138024855,incorrect
99,29.88,15.21,0.0,0.0281658542364096,incorrect
100,31.91,19.37,0.27,0.11407174358664,incorrect
6650,3.22,1.77,0.75,0.6808309449161912,medium
13223,3.76,1.7,0.8,0.6913633579263211,medium
19043,4.13,2.51,0.5,0.5240542851584448,medium
21405,4.74,2.55,0.47,0.49662107650991266,medium
21863,3.91,1.84,0.7,0.6415341808703202,medium
24569,3.07,1.56,0.88,0.7483347958331468,medium
26368,2.39,1.53,0.82,0.745610776183261,medium
29742,4.18,2.17,0.61,0.5795295083082315,medium
30124,4.79,2.31,0.45,0.5018568990559379,medium
34031,4.11,2.76,0.44,0.4928408833786439,medium
