model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,20.35,12.54,0.29,0.1508850454129326,incorrect
2,19.35,9.02,0.52,0.23622071559744648,acceptable
3,30.34,13.06,0.08,0.055265434298773626,incorrect
4,20.37,12.51,0.18,0.1141578648300353,incorrect
5,20.65,12.75,0.29,0.14951218197625274,incorrect
6,22.16,13.74,0.35,0.16334542050288264,incorrect
7,20.8,9.48,0.29,0.1525083449195718,incorrect
8,53.47,23.65,0.0,0.00955148338949823,incorrect
9,19.04,8.11,0.52,0.23975223092299813,acceptable
10,54.01,23.74,0.0,0.009381900201147939,incorrect
11,20.02,9.47,0.35,0.17573568156336586,incorrect
12,31.77,13.62,0.06,0.046261327652459994,incorrect
13,23.1,13.14,0.0,0.04403858677510405,incorrect
14,20.07,12.52,0.13,0.09874619760660347,incorrect
15,53.17,24.02,0.0,0.009601472147134691,incorrect
16,23.42,13.2,0.0,0.043046911534742216,incorrect
17,20.38,12.56,0.24,0.13407953958970512,incorrect
18,23.89,14.33,0.27,0.13106841831628424,incorrect
19,20.0,12.07,0.98,0.3827334644365277,acceptable
20,20.47,8.58,0.26,0.14557497739029038,incorrect
21,23.02,12.28,0.0,0.044894627065556504,incorrect
22,18.98,8.87,0.37,0.18828620006272687,incorrect
23,55.95,22.83,0.0,0.008952585694272748,incorrect
24,19.63,11.51,0.1,0.09153118684490717,incorrect
25,53.9,23.78,0.0,0.009409580701912156,incorrect
26,19.6,11.63,0.16,0.11155448865950642,incorrect
27,23.67,14.39,0.34,0.15499160674706156,incorrect
28,54.22,23.96,0.0,0.009296973733528913,incorrect
29,20.56,8.36,0.4,0.1923866189707056,incorrect
30,23.11,13.08,0.0,0.04404720857900939,incorrect
31,50.78,22.41,0.0,0.010571851319419588,incorrect
32,22.36,12.99,0.06,0.06647379035936152,incorrect
33,23.39,13.31,0.0,0.043065808255348,incorrect
34,19.63,9.07,0.55,0.24483867689286035,acceptable
35,25.2,15.29,0.52,0.21056099418590357,incorrect
36,23.08,13.18,0.0,0.044073621874358086,incorrect
37,22.49,12.96,0.69,0.27606933557100954,acceptable
38,51.48,22.08,0.0,0.01037754080001811,incorrect
39,27.11,14.84,0.08,0.05987339110855097,incorrect
40,53.75,23.81,0.0,0.009450372413993898,incorrect
41,24.05,13.42,0.02,0.04779384299528138,incorrect
42,23.15,13.2,0.0,0.04384904310694979,incorrect
43,52.11,21.74,0.0,0.01021848882354826,incorrect
44,56.95,19.23,0.0,0.009279643194382339,incorrect
45,50.23,21.69,0.0,0.010866194319907804,incorrect
46,55.79,20.08,0.0,0.009411789802493473,incorrect
47,21.25,13.51,0.27,0.14003610980074294,incorrect
48,20.44,12.65,0.11,0.09043380881572231,incorrect
49,20.98,13.14,0.15,0.10128801621698554,incorrect
50,21.28,12.87,0.06,0.07033258619115342,incorrect
51,21.81,10.98,0.1,0.08339392387298096,incorrect
52,23.37,14.25,0.4,0.17593045502230986,incorrect
53,19.62,11.82,0.21,0.12795944145122864,incorrect
54,55.87,22.63,0.0,0.008998974652972136,incorrect
55,42.46,19.46,0.0,0.014812554201728362,incorrect
56,35.88,14.85,0.02,0.027746555276052045,incorrect
57,18.82,10.53,0.69,0.29310448566557334,acceptable
58,53.95,23.57,0.0,0.009418507237929405,incorrect
59,23.13,12.44,0.0,0.04443683089293992,incorrect
60,20.47,12.7,0.21,0.12360854547432487,incorrect
61,51.54,22.01,0.0,0.010367211928706743,incorrect
62,24.01,13.41,0.02,0.04790958874518175,incorrect
63,23.47,13.06,0.82,0.316324665884603,acceptable
64,54.04,22.92,0.0,0.009469300020700941,incorrect
65,24.91,14.09,0.0,0.038499886856851434,incorrect
66,20.61,12.09,0.32,0.16017521516751396,incorrect
67,24.22,14.02,0.05,0.05699222994978204,incorrect
68,20.77,13.01,0.85,0.33552452594367027,acceptable
69,22.0,13.42,0.0,0.047408930914730495,incorrect
70,20.38,11.87,0.1,0.08796485136920057,incorrect
71,20.35,12.75,0.16,0.10740019060214238,incorrect
72,23.43,13.35,0.13,0.08625721040227902,incorrect
73,21.54,13.66,0.32,0.15555118859707054,incorrect
74,30.79,13.36,0.03,0.03775438426242,incorrect
75,23.13,13.25,0.0,0.043877796550938035,incorrect
76,22.96,14.47,0.9,0.3437221963220077,acceptable
77,24.37,14.38,0.15,0.08974111302990695,incorrect
78,23.33,13.24,0.0,0.0432863666166319,incorrect
79,17.95,10.21,0.77,0.3247644014720609,acceptable
80,53.97,23.57,0.0,0.009412669147343433,incorrect
81,22.93,13.16,0.0,0.04454585543133598,incorrect
82,25.33,13.82,0.11,0.07428462825318792,incorrect
83,54.02,23.73,0.0,0.009380102690315554,incorrect
84,31.1,13.58,0.03,0.03718694426466088,incorrect
85,23.93,14.18,0.21,0.11103330936773809,incorrect
86,35.37,14.47,0.06,0.04174353695791349,incorrect
87,47.46,22.36,0.0,0.011853123181144084,incorrect
88,56.77,19.17,0.0,0.009337328696934467,incorrect
89,51.24,22.05,0.0,0.010462529475007575,incorrect
90,37.7,18.49,0.03,0.02830440886894321,incorrect
91,21.65,14.34,0.74,0.29479301090969356,acceptable
92,54.23,22.86,0.0,0.009421797007539553,incorrect
93,19.1,8.42,0.34,0.17868977989288082,incorrect
94,43.67,17.24,0.05,0.03133859637622483,incorrect
95,20.05,11.9,0.24,0.13599507061470814,incorrect
96,52.38,24.15,0.0,0.009833596669539051,incorrect
97,23.5,13.12,0.0,0.04286502810514595,incorrect
98,18.12,9.5,0.27,0.15822860539490544,incorrect
99,19.43,8.33,0.4,0.1973478088770735,incorrect
100,41.59,19.16,0.0,0.015395505800861395,incorrect
123949,4.26,2.07,0.69,0.6111840249276329,medium
149576,4.69,2.59,0.48,0.4992597679704667,medium
211605,4.9,2.23,0.68,0.580693532267986,medium
214867,4.3,2.69,0.56,0.5311400466939679,medium
220107,4.84,2.63,1.21,0.736868087403279,medium
239998,4.25,1.79,0.73,0.6475112300837902,medium
274005,4.77,2.67,0.68,0.5601344339826134,medium
307434,4.76,2.84,0.55,0.5097943329944232,medium
325068,4.14,2.69,0.58,0.5418162414206134,medium
330420,4.2,2.71,0.45,0.49609309428187554,medium
