model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,48.99,15.07,0.12,0.0530114256994543,incorrect
2,47.92,14.68,0.11,0.050278797179452384,incorrect
3,32.55,12.38,0.29,0.12276905321498273,incorrect
4,49.0,14.94,0.11,0.04973081836948313,incorrect
5,26.62,14.97,0.09,0.064154933713102,incorrect
6,48.04,14.57,0.11,0.050281259538995954,incorrect
7,48.16,18.7,0.0,0.012200862278013822,incorrect
8,33.73,12.77,0.2,0.09110743482194239,incorrect
9,32.51,12.27,0.32,0.13290367668580536,incorrect
10,32.09,12.02,0.32,0.13363192742228927,incorrect
11,46.53,18.01,0.0,0.013060822906254758,incorrect
12,50.15,15.89,0.11,0.0489192076304568,incorrect
13,32.94,12.6,0.21,0.09546814201397215,incorrect
14,33.83,12.55,0.27,0.11448843298612676,incorrect
15,48.03,14.7,0.11,0.05022442040664726,incorrect
16,49.08,15.37,0.11,0.04951822368071055,incorrect
17,48.49,18.34,0.0,0.012152261233327804,incorrect
18,33.71,12.54,0.29,0.12129521826607322,incorrect
19,32.25,14.96,0.0,0.02496941576849331,incorrect
20,51.6,16.51,0.07,0.034868510165047197,incorrect
21,49.01,15.12,0.11,0.04964899450867771,incorrect
22,47.01,18.93,0.0,0.012632625165153006,incorrect
23,34.17,12.9,0.23,0.10053804938427192,incorrect
24,50.62,16.17,0.14,0.05865165715007715,incorrect
25,48.16,19.34,0.0,0.012062984105895935,incorrect
26,46.31,17.87,0.04,0.02652920213366339,incorrect
27,34.32,15.52,0.0,0.022349825635747497,incorrect
28,32.49,12.45,0.3,0.12612270998877853,incorrect
29,32.09,12.23,0.25,0.11012714510454774,incorrect
30,52.46,18.64,0.0,0.010671879753205183,incorrect
31,48.95,14.9,0.11,0.04976784437509634,incorrect
32,52.02,18.13,0.09,0.04093450008024659,incorrect
33,49.97,15.37,0.07,0.0358518392052539,incorrect
34,48.09,14.71,0.11,0.05019532074813518,incorrect
35,25.94,14.88,0.09,0.06567406402213226,incorrect
36,32.69,12.4,0.2,0.092583373933369,incorrect
37,53.61,18.59,0.0,0.010330319253894495,incorrect
38,47.05,14.49,0.14,0.06073626030841183,incorrect
39,50.91,15.59,0.07,0.03543086291707417,incorrect
40,15.6,9.61,0.09,0.11423519924949993,incorrect
41,28.81,15.05,0.12,0.06997070433133605,incorrect
42,48.26,19.37,0.0,0.01201641771483671,incorrect
43,48.23,14.89,0.12,0.05339026898070087,incorrect
44,49.88,15.04,0.11,0.04935621832419946,incorrect
45,34.51,16.25,0.0,0.021881726450939293,incorrect
46,33.32,15.23,0.0,0.023569282087419513,incorrect
47,32.3,12.0,0.32,0.13338381825428458,incorrect
48,50.08,15.6,0.11,0.04905398600344154,incorrect
49,46.71,18.13,0.0,0.012950582000657407,incorrect
50,15.28,10.33,0.29,0.18232361779759546,incorrect
51,47.91,14.33,0.11,0.050451369636301376,incorrect
52,46.34,17.77,0.02,0.019875067855228558,incorrect
53,24.74,11.84,0.05,0.05712541469685841,incorrect
54,34.23,12.73,0.11,0.06059188791048878,incorrect
55,49.92,15.27,0.07,0.035911026210612304,incorrect
56,33.42,16.39,0.09,0.05302135489262677,incorrect
57,28.22,12.22,0.18,0.09267395706991916,incorrect
58,48.2,19.37,0.0,0.012040649107362468,incorrect
59,50.04,15.32,0.11,0.04918006637416127,incorrect
60,36.44,14.25,0.05,0.037520497065157345,incorrect
61,32.48,16.19,0.16,0.07753592642819769,incorrect
62,15.66,9.88,0.04,0.09669997593420053,incorrect
63,48.99,15.32,0.14,0.05957324371748716,incorrect
