model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,26.64,16.64,0.0,0.03348630800112576,incorrect
2,5.87,2.47,1.3,0.7488401326664601,medium
3,32.71,12.06,0.71,0.26282989671316337,acceptable
4,57.15,21.99,0.0,0.008757907200474813,incorrect
5,61.22,23.17,0.0,0.0076955195212327415,incorrect
6,6.4,2.32,1.12,0.684330125341039,medium
7,67.24,16.92,0.0,0.007842278118179008,incorrect
8,58.54,22.01,0.0,0.008423583409688391,incorrect
9,28.9,17.71,0.0,0.02891349151517063,incorrect
10,67.08,25.36,0.0,0.006429704677214434,incorrect
11,67.93,17.17,0.0,0.007663368334927377,incorrect
12,62.18,15.77,0.0,0.009103417873003264,incorrect
13,64.45,16.22,0.0,0.008525356793294943,incorrect
14,36.47,18.82,0.21,0.08927815953965539,incorrect
15,65.28,24.02,0.0,0.006852051915751683,incorrect
16,16.41,4.53,0.55,0.2867844468086947,acceptable
17,15.07,5.67,0.98,0.42892046319602634,acceptable
18,60.8,23.67,0.0,0.00772332202834284,incorrect
19,64.84,25.8,0.0,0.0067545238196102,incorrect
20,33.06,17.76,0.0,0.023029558024177683,incorrect
21,33.49,19.23,0.45,0.17218906301476555,incorrect
22,37.62,21.49,0.0,0.017806454605847195,incorrect
23,53.63,24.37,0.0,0.009426276708636118,incorrect
24,33.52,17.48,0.0,0.022575897818199155,incorrect
25,68.08,26.76,0.0,0.006160407694933034,incorrect
26,55.45,22.04,0.0,0.009189755243134447,incorrect
27,35.61,19.45,0.82,0.29327246979220606,acceptable
28,33.91,19.31,0.3,0.12170522945076129,incorrect
29,6.05,2.24,1.08,0.6844451610757218,medium
30,26.59,16.6,0.0,0.033604357881661544,incorrect
31,68.43,24.65,0.0,0.006294699908536146,incorrect
32,58.19,22.26,0.0,0.008470627493145479,incorrect
33,51.31,22.95,0.0,0.010321273829872638,incorrect
34,65.25,16.67,0.0,0.008239454929271797,incorrect
35,65.35,25.43,0.0,0.006701224743246127,incorrect
36,14.44,5.12,1.0,0.4454600115393641,acceptable
37,67.35,17.07,0.0,0.007780301069404156,incorrect
38,60.89,22.71,0.0,0.007819411298073021,incorrect
39,62.01,22.7,0.0,0.007596807049758116,incorrect
40,40.24,22.54,0.0,0.01570751105901076,incorrect
41,15.64,7.34,0.73,0.33270254315778963,acceptable
42,31.2,18.18,0.0,0.025284905304322203,incorrect
43,24.61,9.17,0.55,0.22754630234841167,incorrect
44,67.98,24.71,0.0,0.0063549988326977004,incorrect
45,34.72,17.86,0.0,0.021183333073839933,incorrect
46,60.87,23.45,0.0,0.007733946309257041,incorrect
47,66.03,24.13,0.0,0.006716839377740587,incorrect
48,40.0,17.18,0.0,0.016923589858703257,incorrect
49,50.35,22.84,0.0,0.010668157624144222,incorrect
50,22.35,9.18,0.61,0.25412209090012106,acceptable
51,58.57,22.58,0.0,0.008340197720898834,incorrect
52,63.86,19.24,0.0,0.007816538252931831,incorrect
53,36.92,17.99,0.0,0.01908026662887612,incorrect
54,64.44,16.18,0.0,0.008540969094677902,incorrect
55,35.81,18.86,0.0,0.019874113110191927,incorrect
56,66.61,27.68,0.0,0.0063170141768742515,incorrect
57,62.48,16.04,0.0,0.008946997291520823,incorrect
58,50.9,22.85,0.0,0.01047376226332527,incorrect
59,64.28,22.61,0.0,0.0071891142020522976,incorrect
60,28.17,15.17,0.0,0.031043800678396433,incorrect
61,67.16,23.34,0.0,0.00662635488489799,incorrect
62,39.45,22.2,0.0,0.016303059659246673,incorrect
63,66.1,15.61,0.0,0.008472137376428714,incorrect
64,66.36,24.37,0.0,0.006638747975602952,incorrect
65,65.7,23.89,0.0,0.006796469345029393,incorrect
66,61.3,22.48,0.0,0.007765715304432253,incorrect
67,55.31,21.24,0.0,0.009345016194124213,incorrect
68,61.21,20.8,0.0,0.00803090423369655,incorrect
69,61.04,18.66,0.0,0.00848096943619095,incorrect
70,16.17,7.78,0.48,0.24411330922481733,acceptable
71,35.48,18.84,0.0,0.020192761781320744,incorrect
72,30.74,20.58,0.0,0.02543760678515097,incorrect
73,26.92,16.49,0.0,0.03295542180335111,incorrect
74,68.05,17.27,0.0,0.007616603867147343,incorrect
75,62.38,23.46,0.0,0.007433424670438774,incorrect
76,28.28,17.58,0.0,0.03002743747703418,incorrect
77,55.91,21.95,0.0,0.009079747722172729,incorrect
78,31.93,12.19,0.77,0.28369750320024456,acceptable
79,37.5,16.92,0.0,0.01888835709931465,incorrect
80,61.26,23.32,0.0,0.0076696786578127054,incorrect
81,66.04,15.42,0.0,0.008556744182103114,incorrect
82,33.89,19.22,0.33,0.1317457724552258,incorrect
83,66.0,15.66,0.0,0.008469046126797755,incorrect
84,65.14,16.16,0.0,0.008428126153119228,incorrect
85,54.97,23.51,0.0,0.009135430469390735,incorrect
86,33.68,19.49,0.45,0.17192257707209044,incorrect
87,63.36,14.7,0.0,0.009328052897156663,incorrect
88,29.32,18.05,0.0,0.02812913485271897,incorrect
89,22.16,8.82,0.59,0.2487895256672277,acceptable
90,62.3,22.65,0.0,0.007547127632675718,incorrect
91,26.23,16.44,0.0,0.034429693764012566,incorrect
92,29.12,18.35,0.0,0.028383721612572323,incorrect
93,64.06,22.1,0.0,0.007295726814260546,incorrect
94,61.75,21.3,0.0,0.007843510885407237,incorrect
95,65.41,25.24,0.0,0.006708628862455432,incorrect
96,29.44,18.0,0.0,0.02794769716826891,incorrect
97,3.89,1.45,1.02,0.787924220929356,medium
98,58.86,22.5,0.0,0.00828438014698339,incorrect
99,61.07,21.44,0.0,0.007958372262159062,incorrect
100,28.25,17.74,0.0,0.03003829975732457,incorrect
101,34.62,19.91,0.0,0.020832711597654062,incorrect
206,3.09,1.24,1.17,0.8824386904882227,high
348,4.69,2.04,1.09,0.7358454723152451,medium
386,2.03,1.01,1.02,0.8846977730014394,high
398,2.79,1.35,1.11,0.8550754649440252,high
466,2.62,1.33,1.03,0.8343630641956666,high
496,2.99,1.67,1.0,0.7788042828941589,medium
517,4.5,1.42,1.0,0.7694859307085071,medium
767,3.09,1.27,1.03,0.8319121005999843,high
885,3.03,1.38,1.06,0.8296165944793111,high
