model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,96.89,32.23,0.0,0.003266273117019857,incorrect
2,88.24,31.44,0.0,0.003821626051592504,incorrect
3,99.12,32.1,0.0,0.003159671031361598,incorrect
4,86.96,32.02,0.0,0.0038845312234729603,incorrect
5,89.77,33.44,0.0,0.0036313045147562833,incorrect
6,97.5,41.79,0.0,0.0029432128562599373,incorrect
7,90.67,32.22,0.0,0.0036248425162865045,incorrect
8,97.09,32.19,0.0,0.0032576628016134173,incorrect
9,87.38,30.92,0.0,0.003907295145681542,incorrect
10,96.39,40.12,0.0,0.003037403471916266,incorrect
11,99.44,38.62,0.0,0.002919959107656111,incorrect
12,91.76,34.19,0.0,0.0034763187375043323,incorrect
13,97.41,41.82,0.0,0.0029472116292730264,incorrect
14,86.46,29.56,0.0,0.004046989339485089,incorrect
15,93.06,27.36,0.0,0.003756832425885015,incorrect
16,93.48,32.5,0.0,0.0034419499318226084,incorrect
17,45.62,26.8,0.0,0.012224643856959866,incorrect
18,92.09,34.2,0.0,0.003455827834517406,incorrect
19,45.35,25.06,0.0,0.012502714738591804,incorrect
20,87.14,30.5,0.0,0.003946018872422266,incorrect
21,92.09,31.33,0.0,0.003578171452170278,incorrect
22,92.05,41.61,0.0,0.003250878329873986,incorrect
23,87.6,33.33,0.0,0.003782897943303436,incorrect
24,99.13,31.97,0.0,0.0031650892582099008,incorrect
25,93.36,26.87,0.0,0.003775931997642225,incorrect
26,100.28,33.14,0.0,0.003059321620812481,incorrect
27,90.8,33.84,0.0,0.0035493680634755935,incorrect
28,100.6,39.22,0.0,0.0028496910642659165,incorrect
29,86.94,26.36,0.0,0.004231950068266638,incorrect
30,93.03,42.09,0.0,0.003182505070877048,incorrect
31,92.41,32.04,0.0,0.0035255280485473554,incorrect
32,80.32,24.4,0.0,0.004946750422591074,incorrect
33,88.17,33.49,0.0,0.00373678748174882,incorrect
34,45.58,17.93,0.09,0.04351937372929602,incorrect
35,97.66,28.29,0.0,0.0034406347767175385,incorrect
36,90.66,32.34,0.0,0.0036201491376872635,incorrect
37,45.33,26.78,0.0,0.012364871944361528,incorrect
38,46.72,24.73,0.0,0.011901781450415524,incorrect
39,93.93,28.01,0.0,0.00366070072863129,incorrect
40,99.93,31.54,0.0,0.0031466253412521807,incorrect
41,93.26,31.68,0.0,0.0034918265108606437,incorrect
42,94.72,28.16,0.0,0.0036059861944216557,incorrect
43,48.78,17.06,0.17,0.06904679330806997,incorrect
44,97.77,28.52,0.0,0.0034200706784895036,incorrect
45,90.82,34.12,0.0,0.0035374403366759013,incorrect
46,93.28,35.09,0.0,0.003353034607807694,incorrect
47,93.99,31.29,0.0,0.0034683383869165527,incorrect
48,104.48,44.3,0.0,0.0025734509670790693,incorrect
49,93.69,32.47,0.0,0.0034311172283171833,incorrect
50,101.09,35.31,0.0,0.00294059116513268,incorrect
51,39.15,17.88,0.35,0.13400171067697378,incorrect
52,97.6,28.47,0.0,0.003431947243368304,incorrect
53,87.49,31.34,0.0,0.0038787275954547604,incorrect
54,89.77,32.5,0.0,0.003670500509710923,incorrect
55,92.4,41.79,0.0,0.0032260331559336663,incorrect
56,87.2,31.66,0.0,0.0038840096507138018,incorrect
57,92.68,34.7,0.0,0.0034021123303108083,incorrect
58,101.48,41.11,0.0,0.0027654942667734235,incorrect
59,51.83,19.99,0.09,0.04059664487494627,incorrect
60,90.05,30.13,0.0,0.0037678372823113566,incorrect
61,96.14,31.67,0.0,0.0033314854577641763,incorrect
62,95.9,29.19,0.0,0.003476155276601923,incorrect
63,99.96,31.66,0.0,0.003139519829793646,incorrect
64,91.04,31.19,0.0,0.003649776949092289,incorrect
65,94.79,33.05,0.0,0.003344180889595738,incorrect
66,85.33,28.14,0.0,0.004219556746951725,incorrect
67,96.43,33.48,0.0,0.003237745400174994,incorrect
68,86.41,31.88,0.0,0.003930841950468378,incorrect
69,81.78,26.15,0.0,0.004655687105626672,incorrect
70,97.54,28.27,0.0,0.003448077494671421,incorrect
71,91.78,38.67,0.0,0.0033355228479768685,incorrect
72,92.14,30.87,0.0,0.003597976803546224,incorrect
73,87.29,31.59,0.0,0.003880908832425633,incorrect
74,92.14,31.47,0.0,0.003568389674847466,incorrect
75,92.3,41.65,0.0,0.0032349308745885847,incorrect
76,90.27,34.03,0.0,0.0035759066181787033,incorrect
77,90.13,33.98,0.0,0.003586834263092614,incorrect
78,95.66,36.82,0.0,0.003163499385034841,incorrect
79,91.63,34.87,0.0,0.0034596164192815977,incorrect
80,90.63,39.87,0.0,0.003377637437730057,incorrect
81,90.84,33.79,0.0,0.0035487726725116474,incorrect
82,73.89,27.75,0.0,0.00532458224395024,incorrect
83,87.25,31.77,0.0,0.0038752992099177434,incorrect
84,92.86,31.92,0.0,0.0035041937557147864,incorrect
85,95.76,37.02,0.0,0.003152149517158502,incorrect
86,100.78,39.16,0.0,0.0028428087275823486,incorrect
87,86.63,33.34,0.0,0.003851842892957058,incorrect
88,90.92,34.47,0.0,0.003518165253321557,incorrect
89,88.16,35.94,0.0,0.00364974466410887,incorrect
90,89.88,33.1,0.0,0.003637916561471293,incorrect
91,47.88,25.82,0.0,0.011305534594083207,incorrect
92,101.26,34.01,0.0,0.0029794856306705297,incorrect
93,100.95,39.16,0.0,0.0028349413850728387,incorrect
94,91.98,38.48,0.0,0.0033282631055570337,incorrect
95,100.98,39.46,0.0,0.0028261703855774396,incorrect
96,92.2,32.07,0.0,0.003536813884870007,incorrect
97,96.74,31.79,0.0,0.0032941500907378604,incorrect
98,92.11,34.7,0.0,0.0034363389398476556,incorrect
99,95.63,31.27,0.0,0.003378084058023107,incorrect
100,97.02,32.44,0.0,0.0032502295966945565,incorrect
23231,4.64,2.88,0.5,0.4946022752063242,medium
72380,4.38,2.5,0.52,0.5249632943742973,medium
103796,4.21,2.16,0.58,0.5694534151248624,medium
140680,4.92,2.85,0.52,0.4953209435559948,medium
143949,4.13,2.82,0.58,0.536514794320721,medium
157159,4.75,3.0,0.5,0.48734344100197763,acceptable
157235,3.72,2.45,0.56,0.557299419189975,medium
190374,3.62,2.14,0.65,0.6086396663275727,medium
193193,4.45,2.91,0.53,0.5082678203712191,medium
242629,4.61,2.92,0.51,0.497166498323156,medium
