model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,60.4,13.76,0.0,0.01038795924164847,incorrect
2,56.18,17.74,0.0,0.009825984747716796,incorrect
3,58.5,15.47,0.0,0.009996460909650135,incorrect
4,54.21,19.95,0.0,0.009872336081840715,incorrect
5,60.23,13.81,0.0,0.010395872882265145,incorrect
6,55.47,20.26,0.0,0.009464738725550483,incorrect
7,60.04,13.81,0.0,0.010436324645594248,incorrect
8,58.85,14.21,0.0,0.010485056616690254,incorrect
9,60.31,13.68,0.0,0.010452290992965145,incorrect
10,59.97,13.63,0.0,0.010553420304723714,incorrect
11,58.54,15.6,0.0,0.00993618331573918,incorrect
12,54.27,19.15,0.0,0.010013937698239389,incorrect
13,60.54,13.99,0.0,0.010232425212360886,incorrect
14,56.74,18.3,0.0,0.009541026518224223,incorrect
15,57.47,15.46,0.0,0.010244353669105616,incorrect
16,57.84,15.61,0.0,0.010096363382749678,incorrect
17,55.3,20.01,0.0,0.009556179395431406,incorrect
18,54.07,19.2,0.0,0.010061155345641932,incorrect
19,55.04,19.55,0.0,0.00971550655785694,incorrect
20,60.34,13.73,0.0,0.010417512400347648,incorrect
21,54.11,19.86,0.0,0.009918139867274972,incorrect
22,53.68,16.95,0.0,0.010743564028767581,incorrect
23,60.04,13.69,0.0,0.010503949208281937,incorrect
24,59.63,15.82,0.0,0.009608242009770243,incorrect
25,56.55,17.85,0.0,0.009701967280952984,incorrect
26,59.82,13.87,0.0,0.010450467086954544,incorrect
27,55.42,20.1,0.0,0.009507112056251993,incorrect
28,56.66,18.11,0.0,0.00960785019760056,incorrect
29,55.09,19.62,0.0,0.009687931316056752,incorrect
30,58.52,14.33,0.0,0.01049990562986027,incorrect
31,56.45,18.12,0.0,0.009658836435964385,incorrect
32,59.67,16.16,0.0,0.009476916470444173,incorrect
33,53.92,17.84,0.0,0.01042267563235706,incorrect
34,54.02,19.23,0.0,0.010069417680374526,incorrect
35,55.23,20.2,0.0,0.009540558107478973,incorrect
36,53.9,18.97,0.0,0.01015973843654665,incorrect
37,54.89,17.44,0.0,0.01025393277881801,incorrect
38,57.47,15.65,0.0,0.01017001299042842,incorrect
39,54.16,19.99,0.0,0.009879306466692831,incorrect
40,52.26,18.51,0.0,0.010765620650588332,incorrect
41,52.27,18.24,0.0,0.010826842859928756,incorrect
42,56.48,19.91,0.0,0.00926376338064085,incorrect
43,55.32,17.78,0.0,0.010043773791738651,incorrect
44,59.22,13.61,0.0,0.010728963816444193,incorrect
45,53.78,19.14,0.0,0.010158588892758667,incorrect
46,60.3,13.86,0.0,0.010353395526566866,incorrect
47,57.72,17.0,0.0,0.009650432194077371,incorrect
48,60.6,14.74,0.0,0.009848048926049117,incorrect
49,51.83,16.89,0.0,0.011338772429897852,incorrect
50,51.74,17.16,0.0,0.011287549861207067,incorrect
51,22.11,11.29,0.0,0.04870342797680943,incorrect
52,59.4,13.58,0.0,0.010706544337562884,incorrect
53,53.96,19.16,0.0,0.010101570668628776,incorrect
54,57.26,17.65,0.0,0.009577267150418298,incorrect
55,58.16,20.23,0.0,0.008793493143899043,incorrect
56,58.86,14.1,0.0,0.010539683675450655,incorrect
57,53.46,17.92,0.0,0.010538224790670271,incorrect
58,56.75,17.96,0.0,0.009622940550078278,incorrect
59,56.28,17.81,0.0,0.009781656424914369,incorrect
60,58.88,20.27,0.0,0.008620363506854661,incorrect
61,55.29,20.19,0.0,0.009526015553723672,incorrect
62,51.88,16.98,0.0,0.0112950273489976,incorrect
63,56.83,15.04,0.0,0.010576753876147961,incorrect
64,59.07,15.8,0.0,0.009739593944600312,incorrect
65,55.42,19.65,0.0,0.009592139353672244,incorrect
66,58.5,16.15,0.0,0.00974270744980846,incorrect
67,55.84,18.02,0.0,0.009842578399364756,incorrect
68,43.98,16.52,0.0,0.014728398365241493,incorrect
69,60.77,14.14,0.0,0.010105612628064786,incorrect
70,54.71,15.54,0.0,0.010933447668132474,incorrect
71,60.56,14.81,0.0,0.009824489830958329,incorrect
72,53.38,18.99,0.0,0.010309845490388062,incorrect
73,56.0,17.62,0.0,0.009905043022334517,incorrect
74,24.78,8.94,0.04,0.057551987782805895,incorrect
75,56.2,17.88,0.0,0.009784142692876635,incorrect
76,60.57,14.04,0.0,0.010199535467292556,incorrect
77,53.9,18.88,0.0,0.010179407847534601,incorrect
78,55.6,17.8,0.0,0.009963045377968714,incorrect
79,58.77,15.9,0.0,0.009770382703866097,incorrect
80,55.14,19.79,0.0,0.009641260613123577,incorrect
81,59.64,14.29,0.0,0.010268795604195904,incorrect
82,54.07,19.71,0.0,0.00995845634160846,incorrect
83,59.12,13.77,0.0,0.010659943528686627,incorrect
84,54.35,20.12,0.0,0.009800808133453234,incorrect
85,53.91,19.19,0.0,0.010109880218499635,incorrect
86,56.98,18.18,0.0,0.009510126793197994,incorrect
87,57.04,15.35,0.0,0.01039428981338981,incorrect
88,51.64,17.11,0.0,0.011335295428344218,incorrect
89,59.5,16.25,0.0,0.00948290698584057,incorrect
90,52.12,17.85,0.0,0.010973282578468678,incorrect
91,61.04,13.8,0.0,0.010233099170454606,incorrect
92,59.43,15.75,0.0,0.009678320342038986,incorrect
93,53.9,19.38,0.0,0.010073546349905219,incorrect
94,56.16,13.96,0.0,0.011269497865967279,incorrect
95,54.48,20.41,0.0,0.00971206780945749,incorrect
96,60.91,14.07,0.0,0.010113389692193817,incorrect
97,54.83,19.94,0.0,0.009698560013883526,incorrect
98,57.62,17.73,0.0,0.009468279349798535,incorrect
99,58.19,15.59,0.0,0.010021374305297552,incorrect
100,54.69,20.09,0.0,0.009709966702994531,incorrect
54772,4.81,2.8,0.76,0.580146983515847,medium
95584,4.54,2.92,0.64,0.5422763848005078,medium
157846,5.0,3.02,0.78,0.5736042705873323,medium
260638,4.08,2.72,0.69,0.5786477033584488,medium
311683,4.8,2.72,0.67,0.5538036871704183,medium
315351,4.9,2.84,0.64,0.5362292067744034,medium
387893,5.0,2.74,0.76,0.5778400268261,medium
398061,4.37,2.72,0.64,0.5547133982036978,medium
