model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,26.16,15.19,0.13,0.07838359293259624,incorrect
2,6.0,2.27,1.01,0.6604571446736887,medium
3,23.27,12.42,0.72,0.28403223721341647,acceptable
4,5.03,2.18,1.15,0.7373191315366282,medium
5,55.64,23.81,0.0,0.008919636544590501,incorrect
6,12.8,7.18,0.35,0.23261568607405927,acceptable
7,4.42,1.88,1.1,0.7587103005152804,medium
8,6.52,2.47,1.04,0.6463348691981942,medium
9,29.16,15.22,0.04,0.04264487479475154,incorrect
10,21.29,11.86,0.32,0.15774287878755935,incorrect
11,20.55,10.86,0.19,0.11827069682149438,incorrect
12,29.41,15.11,0.03,0.038950083773277334,incorrect
13,56.02,23.97,0.0,0.008801702859237879,incorrect
14,20.47,11.49,0.28,0.14794160068551612,incorrect
15,19.34,11.1,0.21,0.12994194990158017,incorrect
16,22.8,11.86,0.09,0.07592319549597355,incorrect
17,63.12,17.22,0.0,0.008447364397508388,incorrect
18,16.06,9.73,0.25,0.1640128690653843,incorrect
19,29.31,15.05,0.06,0.04913783706751749,incorrect
20,4.96,1.86,0.99,0.7100199278194039,medium
21,22.84,12.47,0.71,0.28197109157793265,acceptable
22,56.02,24.04,0.0,0.008794171019251111,incorrect
23,59.87,23.09,0.0,0.00798697039555323,incorrect
24,26.02,15.17,0.1,0.0687023421305649,incorrect
25,20.96,11.12,0.19,0.1163673847172737,incorrect
26,59.19,23.02,0.0,0.00814458947968749,incorrect
27,10.13,5.6,0.46,0.31337191700265465,acceptable
28,60.29,23.25,0.0,0.007878175485453895,incorrect
29,25.21,15.69,0.0,0.0370449093761815,incorrect
30,22.01,11.85,0.47,0.20518511299312006,incorrect
31,28.91,14.88,0.03,0.03987562012702616,incorrect
32,17.03,10.13,0.25,0.15696405259848342,incorrect
33,26.35,15.29,0.04,0.047927742605631686,incorrect
34,24.15,14.54,0.0,0.04025216679633604,incorrect
35,19.59,12.53,0.0,0.057521780732582316,incorrect
36,25.61,16.02,0.1,0.06930626647179311,incorrect
37,28.85,15.03,0.06,0.04991129258768023,incorrect
38,23.64,14.79,0.0,0.041554663061956106,incorrect
39,30.31,15.31,0.03,0.03747266314823341,incorrect
40,48.68,20.35,0.0,0.011663437253015857,incorrect
41,3.72,1.68,1.06,0.7809435364675248,medium
42,28.9,14.84,0.06,0.04991043433932681,incorrect
43,28.44,14.99,0.03,0.04063845764384006,incorrect
44,26.4,15.9,0.32,0.14091632993968514,incorrect
45,58.27,24.14,0.0,0.008227233662086558,incorrect
46,48.3,16.57,0.0,0.012722668847496565,incorrect
47,6.0,2.49,0.74,0.5579018426145413,medium
48,24.01,14.99,0.0,0.04042850176184484,incorrect
49,24.51,15.43,0.0,0.038906213914200745,incorrect
50,23.46,13.43,0.51,0.2127875330853516,incorrect
51,64.02,23.71,0.0,0.007103069118171779,incorrect
52,59.28,24.31,0.0,0.007979515889818307,incorrect
53,63.88,23.79,0.0,0.007119079288981073,incorrect
54,5.44,2.03,1.12,0.7275298081805666,medium
55,20.72,11.57,0.31,0.15685943395442015,incorrect
56,37.41,11.75,0.32,0.1283755275007353,incorrect
57,60.64,19.08,0.0,0.008470670011217108,incorrect
58,63.86,23.62,0.0,0.007141640580204708,incorrect
59,18.45,10.26,0.24,0.14533786416639655,incorrect
60,59.19,24.4,0.0,0.007990265530490393,incorrect
61,13.75,8.49,0.32,0.20891975108273173,incorrect
62,62.16,19.13,0.0,0.008155451637401171,incorrect
63,30.0,15.32,0.03,0.03793591350815584,incorrect
64,29.26,15.27,0.03,0.03912650990086356,incorrect
65,40.74,19.49,0.0,0.01586773120627687,incorrect
66,43.4,19.06,0.09,0.044365533688718206,incorrect
67,7.95,2.78,0.76,0.5062947894782729,medium
68,20.77,11.13,0.18,0.11376466438442101,incorrect
69,26.47,13.21,0.18,0.09540244516980846,incorrect
70,4.18,1.94,1.06,0.7464711615464877,medium
71,20.24,11.61,0.24,0.135447772899785,incorrect
72,49.9,16.81,0.0,0.012032439956721847,incorrect
73,22.74,14.8,0.0,0.04425291976090043,incorrect
74,24.98,15.78,0.0,0.03757502078733847,incorrect
75,24.56,15.74,0.0,0.03865560882699275,incorrect
76,25.49,13.07,0.01,0.041023592064807705,incorrect
77,25.79,10.72,0.31,0.14239531946012576,incorrect
78,42.92,11.82,0.13,0.06119667218190967,incorrect
79,26.29,16.95,0.0,0.03413708428173775,incorrect
80,45.71,19.54,0.1,0.04642730467220754,incorrect
81,25.79,16.16,0.12,0.07550837081734278,incorrect
82,20.9,11.33,0.15,0.10305131490919883,incorrect
83,52.73,17.87,0.18,0.07077447040329658,incorrect
84,24.89,16.08,0.0,0.03769005959442267,incorrect
85,62.92,24.99,0.0,0.007170918471931169,incorrect
86,20.45,10.69,0.62,0.2622073064825236,acceptable
87,65.05,18.05,0.0,0.007882111233514434,incorrect
88,43.71,19.11,0.09,0.04418717486480953,incorrect
89,2.59,1.46,1.07,0.8328511093707719,high
90,26.21,12.09,0.81,0.3067746909396522,acceptable
91,26.57,15.08,0.12,0.07421264142746802,incorrect
92,61.16,23.66,0.0,0.0076508614488077316,incorrect
93,7.27,2.95,0.68,0.4876523771368304,acceptable
94,26.72,11.94,0.09,0.0658113229429698,incorrect
95,21.9,11.69,0.53,0.22570629282554255,incorrect
96,24.06,12.96,0.71,0.2780597239616846,acceptable
97,24.0,14.08,0.0,0.04089202033898053,incorrect
98,24.03,14.58,0.0,0.040560100770393605,incorrect
99,23.73,12.66,0.74,0.28918617101167315,acceptable
100,24.43,13.48,0.46,0.19340527128076593,incorrect
101,36.75,13.17,0.21,0.09119523501437822,incorrect
102,28.55,14.99,0.06,0.050445352143587245,incorrect
103,64.18,23.72,0.0,0.007073694642441283,incorrect
104,21.2,10.23,0.76,0.3065131150615524,acceptable
105,3.42,1.61,1.07,0.798447551348779,medium
106,6.5,2.36,0.76,0.5595809566868251,medium
151,4.0,2.12,1.1,0.7507689966716136,medium
163,2.61,1.39,0.96,0.8039486122401915,high
253,4.45,1.81,1.06,0.7506789834104702,medium
267,4.85,2.62,0.75,0.5837513422200967,medium
