model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,40.5,14.33,0.19,0.08100932957959935,incorrect
2,51.2,15.11,0.03,0.022193567423559168,incorrect
3,27.39,12.34,0.3,0.13413556243234315,incorrect
4,25.47,13.02,0.09,0.06777032327849714,incorrect
5,30.18,13.73,0.06,0.0484293590085837,incorrect
6,33.86,17.71,0.0,0.022134903629779448,incorrect
7,53.38,20.22,0.0,0.010067370893371204,incorrect
8,53.25,21.48,0.0,0.009899918485483812,incorrect
9,39.71,16.23,0.25,0.10076008333525847,incorrect
10,46.5,18.26,0.0,0.013012238524652312,incorrect
11,25.09,15.58,0.04,0.050713296130735656,incorrect
12,19.62,10.96,0.1,0.09213855878043521,incorrect
13,50.29,18.45,0.0,0.0114468764984898,incorrect
14,55.21,17.47,0.03,0.020157456099606574,incorrect
15,34.37,14.84,0.01,0.02591664134271167,incorrect
16,52.38,19.77,0.0,0.010460477452610454,incorrect
17,43.85,13.71,0.19,0.07934766629719893,incorrect
18,49.42,18.09,0.0,0.011853642258021832,incorrect
19,45.17,15.76,0.0,0.01439245635758587,incorrect
20,55.17,19.83,0.0,0.009625413240165743,incorrect
21,46.59,21.34,0.0,0.012376514304346756,incorrect
22,55.22,19.85,0.0,0.009607948777231938,incorrect
23,40.56,12.39,0.15,0.06883846820853308,incorrect
24,52.65,14.71,0.0,0.011897697663843342,incorrect
25,50.46,19.16,0.0,0.011228076014286936,incorrect
26,49.49,18.83,0.0,0.011653061412693073,incorrect
27,52.36,14.5,0.0,0.012088358945731037,incorrect
28,40.27,16.02,0.21,0.08711446964991798,incorrect
29,12.15,4.57,0.39,0.27195173021091873,acceptable
30,45.33,12.56,0.01,0.019343091029223877,incorrect
31,55.39,17.31,0.0,0.010153494231712228,incorrect
32,22.77,15.64,0.0,0.04380742053893006,incorrect
33,37.22,19.97,0.0,0.018392925883199216,incorrect
34,55.14,15.5,0.0,0.010829979040888124,incorrect
35,43.09,12.14,0.1,0.05083060276393655,incorrect
36,47.08,10.41,0.22,0.0906357790319564,incorrect
37,40.27,20.2,0.0,0.01604546618568711,incorrect
38,41.49,14.36,0.07,0.04035799939459869,incorrect
39,45.2,17.67,0.1,0.047103588737301284,incorrect
40,41.09,16.05,0.0,0.01656500557413996,incorrect
41,24.55,15.19,0.06,0.05890059942716577,incorrect
42,50.94,17.96,0.0,0.011338699740080385,incorrect
43,32.77,17.68,0.0,0.023395091471269395,incorrect
44,30.51,17.39,0.39,0.1564704076700572,incorrect
45,7.99,3.37,0.7,0.4654185206189368,acceptable
46,45.0,18.2,0.0,0.013732234608823135,incorrect
47,40.55,20.27,0.0,0.015845499673802933,incorrect
48,52.38,14.8,0.0,0.011941797823292577,incorrect
