model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,73.01,19.94,0.0,0.006333325887339667,incorrect
2,71.39,19.15,0.0,0.006692054402569574,incorrect
3,72.88,29.71,0.0,0.005320863366250767,incorrect
4,52.87,16.69,0.0,0.011069641820811674,incorrect
5,73.36,20.63,0.0,0.006168731753540537,incorrect
6,71.1,18.99,0.0,0.0067637877935081804,incorrect
7,67.26,14.69,0.0,0.008679523743533707,incorrect
8,64.69,19.16,0.0,0.007687850916903822,incorrect
9,67.16,16.65,0.0,0.00793888093860131,incorrect
10,68.35,16.85,0.0,0.007697414295861761,incorrect
11,42.82,9.94,0.0,0.020058650870339523,incorrect
12,66.41,18.44,0.0,0.0075638656517013,incorrect
13,70.41,16.75,0.0,0.007440045886734955,incorrect
14,57.55,20.12,0.0,0.008958753591375712,incorrect
15,73.82,18.02,0.0,0.00665541057870202,incorrect
16,63.74,24.37,0.0,0.007082290624111374,incorrect
17,63.16,14.4,0.0,0.009507832326683964,incorrect
18,71.42,19.12,0.0,0.00669454016429568,incorrect
19,72.01,19.64,0.0,0.006513683350837314,incorrect
20,73.38,18.09,0.0,0.0066895825259938755,incorrect
21,76.41,18.49,0.0,0.006253913546351737,incorrect
22,58.01,14.2,0.0,0.010684697906815121,incorrect
23,63.59,24.45,0.0,0.007101128614395588,incorrect
24,53.23,16.61,0.0,0.010984819094327825,incorrect
25,63.23,23.45,0.0,0.0072751900355169825,incorrect
26,65.18,23.26,0.0,0.006954474905225776,incorrect
27,67.2,14.85,0.0,0.00861576114536676,incorrect
28,68.74,16.75,0.0,0.007671974677976429,incorrect
29,66.89,14.72,0.0,0.00872286680851037,incorrect
30,64.38,22.55,0.0,0.00717938599395103,incorrect
31,53.75,16.81,0.0,0.010765840795639048,incorrect
32,69.46,29.84,0.0,0.005758206473835321,incorrect
33,68.01,15.1,0.0,0.008383907885082966,incorrect
34,53.73,16.84,0.0,0.010762448777885543,incorrect
35,64.07,23.49,0.0,0.007119121503875157,incorrect
36,76.2,18.96,0.0,0.006170078162249115,incorrect
37,51.39,16.58,0.0,0.011582567094536327,incorrect
38,54.11,16.73,0.0,0.010685624991033864,incorrect
39,71.54,21.19,0.0,0.006302126417298214,incorrect
40,67.66,17.18,0.0,0.007700907313930082,incorrect
41,75.57,18.39,0.0,0.00636746900372457,incorrect
42,60.52,22.11,0.0,0.007975329044348793,incorrect
43,63.4,22.17,0.0,0.007404700828142231,incorrect
44,86.42,19.21,0.0,0.005213864650775768,incorrect
45,55.97,16.07,0.0,0.010393691433503405,incorrect
46,77.48,23.25,0.0,0.0053457660085184525,incorrect
47,67.52,16.71,0.0,0.00786477918913305,incorrect
48,63.95,24.66,0.0,0.007015457676361144,incorrect
49,63.1,23.4,0.0,0.007304947524567457,incorrect
50,62.72,23.88,0.0,0.007321776576519913,incorrect
51,62.78,22.9,0.0,0.007424532816800544,incorrect
