model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,69.4,21.51,0.0,0.00653956311138959,incorrect
2,67.75,18.93,0.0,0.007245430218028619,incorrect
3,68.07,21.23,0.0,0.006773589936121098,incorrect
4,83.83,31.96,0.0,0.004124795606261964,incorrect
5,58.5,24.71,0.0,0.008115604562956624,incorrect
6,80.04,30.42,0.0,0.004525852465641558,incorrect
7,84.1,32.06,0.0,0.004098716340834502,incorrect
8,84.49,32.32,0.0,0.0040563399474521245,incorrect
9,67.21,22.87,0.0,0.0066753517254191175,incorrect
10,68.34,20.21,0.0,0.006904257275932083,incorrect
11,71.75,19.4,0.0,0.006594319449671871,incorrect
12,67.28,19.12,0.0,0.007275834716163008,incorrect
13,72.13,23.6,0.0,0.005906749892556313,incorrect
14,84.25,32.09,0.0,0.004085487886653569,incorrect
15,69.92,22.72,0.0,0.006301101023773982,incorrect
16,80.7,30.78,0.0,0.004447204022737295,incorrect
17,84.08,31.89,0.0,0.00410806998057777,incorrect
18,70.19,17.83,0.0,0.0071603267220379276,incorrect
19,80.05,32.37,0.0,0.004430659178824145,incorrect
20,83.58,23.12,0.0,0.004809477246179791,incorrect
21,85.2,23.18,0.0,0.004675021547397146,incorrect
22,56.36,24.5,0.0,0.008658035889706017,incorrect
23,70.54,21.41,0.0,0.006398908746291617,incorrect
24,66.53,16.26,0.0,0.00816645382311093,incorrect
25,84.08,31.94,0.0,0.004105772982337974,incorrect
26,60.19,15.59,0.0,0.009575169314799062,incorrect
27,73.35,18.64,0.0,0.0065616543116833155,incorrect
28,68.55,21.13,0.0,0.006718880891740387,incorrect
29,84.67,32.4,0.0,0.00403876993316539,incorrect
30,67.34,19.3,0.0,0.007229024327150488,incorrect
31,59.42,28.38,0.0,0.007612861858415855,incorrect
32,84.67,32.11,0.0,0.004051677343688142,incorrect
33,83.01,25.9,0.0,0.004573116586366221,incorrect
34,75.48,28.14,0.0,0.005118717841743295,incorrect
35,65.51,20.74,0.0,0.007253392205574779,incorrect
36,75.62,22.71,0.0,0.005606907594664127,incorrect
37,33.85,14.6,0.0,0.02325340729409661,incorrect
38,84.4,32.0,0.0,0.004077764194004103,incorrect
39,85.46,37.18,0.0,0.003806915549467077,incorrect
40,79.56,30.18,0.0,0.004583213193895072,incorrect
41,80.47,30.75,0.0,0.004469448436672896,incorrect
42,67.16,19.45,0.0,0.0072260724918907495,incorrect
43,84.03,32.09,0.0,0.004102919747964947,incorrect
44,80.91,30.33,0.0,0.0044520012005132,incorrect
45,68.9,21.61,0.0,0.006595424086835004,incorrect
46,63.7,21.99,0.0,0.007375213401978407,incorrect
47,70.58,21.25,0.0,0.006418068804973473,incorrect
48,69.95,17.53,0.0,0.007273239209653326,incorrect
49,46.41,19.67,0.0,0.012745669669427627,incorrect
50,83.82,22.69,0.0,0.00484338970934772,incorrect
51,80.03,30.57,0.0,0.004518875225087001,incorrect
52,47.63,18.77,0.0,0.012403491850231478,incorrect
