model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,41.81,15.29,0.04,0.029741070507399298,incorrect
2,42.03,15.08,0.04,0.02969659875755711,incorrect
3,48.44,19.76,0.0,0.011867024915018294,incorrect
4,47.25,18.59,0.0,0.012605326311610236,incorrect
5,41.62,15.32,0.04,0.02984497931751473,incorrect
6,37.35,11.82,0.03,0.03169676362203532,incorrect
7,41.59,15.18,0.03,0.026588220038777036,incorrect
8,48.24,19.6,0.01,0.015311727626608618,incorrect
9,43.11,15.73,0.03,0.02547755409624386,incorrect
10,48.49,19.07,0.0,0.011986951813728169,incorrect
11,43.45,15.99,0.04,0.02852755688309656,incorrect
12,40.76,15.31,0.04,0.030394495190308554,incorrect
13,50.9,17.42,0.0,0.01149681561877528,incorrect
14,30.54,10.31,0.13,0.07420774832761488,incorrect
15,61.64,21.84,0.0,0.007785279723348293,incorrect
16,48.55,19.31,0.0,0.011912806009837344,incorrect
17,26.82,11.78,0.0,0.03574351466874879,incorrect
18,41.86,14.87,0.04,0.029890931636834192,incorrect
19,40.35,15.31,0.03,0.027332852680257088,incorrect
20,43.95,16.25,0.01,0.018168089652728477,incorrect
21,42.28,15.1,0.03,0.026206271620950728,incorrect
22,48.36,19.66,0.0,0.011918372864824549,incorrect
23,45.29,17.04,0.03,0.023904815592158138,incorrect
24,26.42,11.64,0.01,0.04004462949869669,incorrect
25,55.45,18.55,0.0,0.009818330482802352,incorrect
26,48.06,19.6,0.0,0.012051437189023795,incorrect
27,28.88,8.86,0.29,0.1325277558953649,incorrect
28,43.79,16.79,0.01,0.0180760544536568,incorrect
29,43.41,15.93,0.01,0.0185711259355139,incorrect
30,47.51,18.33,0.0,0.01255600223544495,incorrect
31,41.71,16.4,0.0,0.016056597547345244,incorrect
32,41.66,15.67,0.03,0.026348507941357475,incorrect
33,46.88,18.33,0.0,0.012826838520381105,incorrect
34,41.89,15.42,0.01,0.019639731283343422,incorrect
35,26.32,11.58,0.01,0.040315822863008006,incorrect
36,46.5,18.37,0.05,0.029652404076875014,incorrect
37,43.02,16.67,0.0,0.015201270388891209,incorrect
38,61.13,22.1,0.0,0.007851087113970806,incorrect
39,41.06,15.08,0.03,0.026963675142680273,incorrect
40,47.08,18.04,0.0,0.01281109912548381,incorrect
41,59.79,22.07,0.0,0.008136123392001144,incorrect
42,19.25,7.78,0.05,0.08300065392198525,incorrect
43,48.05,19.44,0.0,0.01208740953533992,incorrect
44,48.09,19.02,0.0,0.012158645827241818,incorrect
45,46.3,18.6,0.0,0.01302209713362649,incorrect
46,46.93,19.09,0.0,0.012632984331287274,incorrect
47,23.97,8.19,0.27,0.13805239967847713,incorrect
48,44.34,15.74,0.0,0.014815513996920826,incorrect
49,42.82,15.5,0.03,0.025729630501114625,incorrect
50,61.1,22.23,0.0,0.007839434688931333,incorrect
51,54.45,17.98,0.0,0.010233769964496793,incorrect
52,28.63,12.05,0.0,0.03208784915479621,incorrect
53,26.58,11.5,0.03,0.046501979820315065,incorrect
54,47.89,18.81,0.0,0.012286555895143554,incorrect
55,45.19,17.36,0.01,0.017193754553035945,incorrect
56,46.98,19.05,0.0,0.012619719505189817,incorrect
57,30.63,10.23,0.09,0.06085005077314038,incorrect
58,37.57,11.76,0.03,0.031567612488858525,incorrect
59,34.38,14.04,0.0,0.022963440429501072,incorrect
60,41.98,15.48,0.0,0.016228211641634366,incorrect
61,49.19,17.15,0.0,0.01219522229212417,incorrect
62,49.69,20.23,0.0,0.011299192467529568,incorrect
63,30.47,10.42,0.11,0.06750119395811092,incorrect
64,53.6,18.71,0.0,0.01030590147490919,incorrect
65,42.74,16.0,0.0,0.01558655919284809,incorrect
66,43.37,16.22,0.01,0.018490062153251764,incorrect
67,56.43,19.06,0.0,0.009447044933969147,incorrect
68,56.89,20.81,0.0,0.009001667188637234,incorrect
69,47.85,19.54,0.01,0.01548285693011228,incorrect
70,62.04,23.35,0.0,0.007511740985649387,incorrect
71,41.49,15.13,0.04,0.030004589087048023,incorrect
72,61.16,21.99,0.0,0.007860263255592612,incorrect
73,60.66,22.26,0.0,0.007925752086637114,incorrect
74,48.98,18.42,0.0,0.0119411410874658,incorrect
75,46.47,19.02,0.01,0.01618513568047252,incorrect
76,43.65,15.65,0.04,0.028545881768131515,incorrect
77,48.1,18.93,0.0,0.012174090152331075,incorrect
78,44.11,16.8,0.0,0.014570897297094473,incorrect
79,17.29,6.9,0.14,0.12658948537668788,incorrect
80,20.15,8.85,0.46,0.2129965562578928,incorrect
81,56.97,19.81,0.0,0.00915900279610658,incorrect
