model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,51.87,19.06,0.0,0.010768964580933635,incorrect
2,51.2,18.93,0.0,0.011020544015945892,incorrect
3,52.75,19.51,0.0,0.010394833925196656,incorrect
4,51.74,19.19,0.0,0.010784135067709913,incorrect
5,51.93,19.15,0.0,0.010730234701495265,incorrect
6,51.99,20.22,0.0,0.010502402383009484,incorrect
7,50.99,19.62,0.0,0.010949458929257411,incorrect
8,55.82,21.1,0.0,0.009230208000137113,incorrect
9,51.51,20.09,0.0,0.010684138072219414,incorrect
10,52.01,20.16,0.0,0.010506718831903626,incorrect
11,52.96,22.85,0.0,0.009801235501348647,incorrect
12,52.47,20.21,0.0,0.010350191667184675,incorrect
13,51.51,19.9,0.0,0.010719393449059563,incorrect
14,51.45,19.9,0.0,0.010739466800632777,incorrect
15,51.6,19.97,0.0,0.010676304918538623,incorrect
16,50.58,19.49,0.0,0.01111790475648046,incorrect
17,53.11,20.56,0.0,0.01008977298749091,incorrect
18,58.95,21.35,0.0,0.008426396104162725,incorrect
19,52.63,20.57,0.0,0.010236732241334682,incorrect
20,51.92,19.31,0.0,0.010700153814805746,incorrect
21,51.05,18.73,0.0,0.011116113420247778,incorrect
22,52.1,18.61,0.0,0.010793938647491876,incorrect
23,48.1,19.45,0.0,0.012065012591441373,incorrect
24,50.92,19.56,0.0,0.010985414819083496,incorrect
25,52.54,21.26,0.0,0.010153013892038437,incorrect
26,51.79,18.85,0.0,0.01084089102339759,incorrect
27,52.57,19.74,0.0,0.010406109593185706,incorrect
28,56.29,21.55,0.0,0.009038452000062064,incorrect
29,51.94,20.01,0.0,0.010556960892541203,incorrect
30,52.76,19.07,0.0,0.010482587522019143,incorrect
31,49.54,21.9,0.0,0.01108890461453406,incorrect
32,52.83,22.89,0.0,0.009836469488716564,incorrect
33,23.97,13.31,0.0,0.0414144231937256,incorrect
34,52.73,19.66,0.0,0.010371468886959717,incorrect
35,52.48,20.28,0.0,0.010334510016216018,incorrect
36,52.09,21.81,0.0,0.01021487793384205,incorrect
37,55.98,25.66,0.0,0.008647116800221927,incorrect
38,58.97,21.6,0.0,0.008384385298978192,incorrect
39,51.15,19.88,0.0,0.01084462702518188,incorrect
40,49.42,22.69,0.0,0.01102788853891023,incorrect
41,52.88,20.21,0.0,0.010221840145036217,incorrect
42,52.21,23.09,0.0,0.010007752856892814,incorrect
43,51.94,20.14,0.0,0.010533124473204536,incorrect
44,52.52,19.05,0.0,0.0105621430849598,incorrect
45,52.04,19.03,0.0,0.010720016327165557,incorrect
46,50.6,21.52,0.0,0.010759736555188837,incorrect
47,55.23,22.05,0.0,0.009248044255908187,incorrect
48,57.98,21.32,0.0,0.008655227175038666,incorrect
49,51.2,19.8,0.0,0.01084280094872087,incorrect
50,54.21,23.15,0.0,0.009392124139143842,incorrect
51,87.87,35.6,0.0,0.003680959422097487,incorrect
52,49.23,20.77,0.0,0.011378912384738697,incorrect
53,55.16,20.79,0.0,0.009457940819214979,incorrect
54,20.69,11.61,0.0,0.053608043617999,incorrect
55,50.18,21.24,0.0,0.01095178428590367,incorrect
56,51.37,18.87,0.0,0.010976205821471114,incorrect
57,54.47,18.98,0.0,0.009993174192213319,incorrect
58,52.95,20.79,0.0,0.010100262116642923,incorrect
59,51.56,20.12,0.0,0.010661985695223947,incorrect
60,54.9,23.81,0.0,0.009121121175119819,incorrect
61,51.03,22.65,0.0,0.010454245909524108,incorrect
62,22.14,13.26,0.0,0.04703182105471842,incorrect
63,20.64,11.62,0.0,0.053798420407988046,incorrect
64,47.43,19.03,0.0,0.012430683306957952,incorrect
65,55.91,23.95,0.0,0.00883274586396284,incorrect
66,53.92,21.01,0.0,0.009773141145107536,incorrect
67,52.52,20.37,0.0,0.010305962110433126,incorrect
68,26.04,13.86,0.03,0.04595594517225241,incorrect
69,50.91,21.68,0.0,0.010628091813560128,incorrect
70,57.87,23.81,0.0,0.00835718457783046,incorrect
71,48.37,22.39,0.0,0.011474572938708509,incorrect
72,24.57,11.46,0.0,0.041244209657379884,incorrect
73,53.94,19.81,0.0,0.009977092671076602,incorrect
74,28.35,11.45,0.0,0.03311744425966454,incorrect
75,55.62,21.45,0.0,0.00922940145905704,incorrect
76,52.4,23.15,0.0,0.009939825178690092,incorrect
77,52.83,20.25,0.0,0.010230170248252284,incorrect
78,47.87,20.21,0.0,0.012014630386299454,incorrect
79,52.74,19.73,0.0,0.010354762491093123,incorrect
80,50.65,19.59,0.0,0.011073438556496116,incorrect
81,51.48,20.46,0.0,0.010628288297224356,incorrect
82,51.91,20.01,0.0,0.010566750590344341,incorrect
83,52.8,23.13,0.0,0.009816487134376746,incorrect
84,53.73,20.04,0.0,0.009995680692420498,incorrect
85,52.12,20.39,0.0,0.01043015494196739,incorrect
86,53.07,20.56,0.0,0.010102013057505096,incorrect
87,21.18,11.44,0.0,0.05187305713312054,incorrect
88,26.46,13.94,0.03,0.044995979869953816,incorrect
89,23.23,11.82,0.03,0.054642471914321346,incorrect
90,53.9,20.12,0.0,0.009931010056711128,incorrect
91,52.78,19.75,0.0,0.010338443639508392,incorrect
92,21.31,11.59,0.0,0.05124532326182468,incorrect
93,22.56,11.81,0.0,0.046728897127689815,incorrect
94,25.33,14.44,0.0,0.03729531499632948,incorrect
95,96.27,39.16,0.0,0.003066829329818508,incorrect
96,56.35,25.72,0.0,0.008545707619215798,incorrect
97,51.84,19.98,0.0,0.010595223440472604,incorrect
98,51.46,20.22,0.0,0.010677305385618079,incorrect
