model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,64.02,27.82,0.0,0.006740500349314363,incorrect
2,33.9,21.58,0.23,0.09798625592572335,incorrect
3,62.6,22.42,0.0,0.007519819470540104,incorrect
4,43.72,20.27,0.0,0.013956124047576802,incorrect
5,74.19,24.31,0.0,0.005583064589943701,incorrect
6,68.79,26.48,0.0,0.006079044110331163,incorrect
7,54.55,23.97,0.0,0.009201732038217648,incorrect
8,42.93,19.93,0.0,0.014452169377908539,incorrect
9,61.55,23.95,0.0,0.0075405678722090955,incorrect
10,52.05,23.11,0.0,0.010056958988838412,incorrect
11,51.28,21.36,0.0,0.010549289143675035,incorrect
12,84.54,20.88,0.0,0.005047434852849169,incorrect
13,58.73,24.54,0.0,0.00807978739724481,incorrect
14,53.98,23.91,0.0,0.00937193334741899,incorrect
15,57.82,24.34,0.0,0.008312560316848532,incorrect
16,82.24,28.44,0.0,0.004447875620985023,incorrect
17,50.32,18.21,0.13,0.054827164106407145,incorrect
18,65.86,26.45,0.0,0.006529934473372347,incorrect
19,57.64,24.22,0.0,0.008368211113421854,incorrect
20,68.54,27.03,0.0,0.006072308919537258,incorrect
21,59.25,21.34,0.12,0.048360729958691805,incorrect
22,66.29,26.79,0.0,0.006433587576811125,incorrect
23,28.78,13.28,0.55,0.2142757247916577,incorrect
24,67.55,27.28,0.0,0.00620044762512791,incorrect
25,65.66,26.41,0.0,0.006565935314479043,incorrect
26,62.94,24.96,0.0,0.007170058200007321,incorrect
27,61.31,22.5,0.0,0.007761088927065881,incorrect
28,82.44,27.77,0.0,0.00447600778136473,incorrect
29,73.01,25.2,0.0,0.0056344976452714695,incorrect
30,59.65,17.86,0.04,0.02230195828964457,incorrect
31,67.11,28.27,0.0,0.006198775931025968,incorrect
32,64.21,27.55,0.0,0.0067259416511295175,incorrect
33,65.39,26.19,0.0,0.006628668207974887,incorrect
34,40.7,19.55,0.0,0.015881974487143312,incorrect
35,46.14,24.35,0.0,0.012201391262566691,incorrect
36,73.74,32.43,0.0,0.0050825751256343525,incorrect
37,53.96,23.88,0.0,0.009381040768047277,incorrect
38,53.62,18.1,0.08,0.03711152835974766,incorrect
39,69.23,29.35,0.0,0.005818666519486927,incorrect
40,38.0,20.12,0.5,0.18439261144891494,incorrect
41,44.02,24.78,0.0,0.013198638843832518,incorrect
42,51.16,22.97,0.0,0.010369697273625097,incorrect
43,61.03,27.72,0.0,0.007316082013672526,incorrect
44,19.55,6.7,0.48,0.22890422579608735,incorrect
45,29.32,14.21,0.54,0.20951625106972904,incorrect
46,63.03,25.88,0.0,0.007069837917317753,incorrect
47,64.55,30.53,0.0,0.006484148527003496,incorrect
48,60.74,29.94,0.0,0.007237003363752097,incorrect
49,33.47,21.37,0.16,0.07516340201077878,incorrect
50,71.65,32.06,0.0,0.00535418609279623,incorrect
51,49.67,16.69,0.04,0.025488236561416838,incorrect
