model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,17.98,10.01,0.5,0.23487600744636009,acceptable
2,17.93,10.01,0.48,0.22848700391676544,incorrect
3,14.54,7.77,0.21,0.16687808347541422,incorrect
4,18.54,9.49,0.13,0.10935331036564801,incorrect
5,37.4,17.11,0.01,0.022247659301901188,incorrect
6,52.94,23.77,0.0,0.009699259909513588,incorrect
7,13.76,7.34,0.22,0.17876225518156633,incorrect
8,17.97,9.96,0.55,0.25167011724840554,acceptable
9,16.54,8.81,0.52,0.2523649680208682,acceptable
10,18.47,9.46,0.13,0.1097664839077494,incorrect
11,13.62,7.35,0.21,0.17676319987627573,incorrect
12,13.03,6.99,0.23,0.1908460709241051,incorrect
13,18.66,9.56,0.13,0.10862292107687412,incorrect
14,13.48,7.31,0.47,0.2649660763834391,acceptable
15,17.79,9.85,0.52,0.24284152626887398,acceptable
16,19.2,10.32,0.14,0.10818742449994985,incorrect
17,13.11,6.96,0.25,0.19678150299371744,incorrect
18,17.4,9.76,0.16,0.12524555114215072,incorrect
19,15.62,8.42,0.2,0.15307666559876573,incorrect
20,36.83,16.89,0.01,0.022798657670084047,incorrect
21,17.84,9.95,0.45,0.219077829562641,incorrect
22,18.1,9.95,0.45,0.21763663814107817,incorrect
23,15.06,8.13,0.32,0.198171926649087,incorrect
24,18.15,9.99,0.44,0.21397363349452403,incorrect
25,16.36,8.06,0.3,0.18201271220514958,incorrect
26,15.98,8.57,0.32,0.19008697871293379,incorrect
27,13.39,7.11,0.19,0.17328006758805292,incorrect
28,13.53,7.23,0.23,0.18475179115941218,incorrect
29,21.22,10.3,0.03,0.06301176768173145,incorrect
30,18.05,10.01,0.6,0.26782354393223384,acceptable
31,37.64,17.2,0.01,0.02202330519149651,incorrect
32,13.14,7.03,0.23,0.18951720996906876,incorrect
33,12.62,7.09,0.49,0.28163933092979915,acceptable
34,14.04,7.56,0.18,0.16203111159744,incorrect
35,16.34,8.88,0.57,0.2702381899654604,acceptable
36,33.3,15.42,0.01,0.026847895418365828,incorrect
37,39.39,17.99,0.0,0.017132652766340132,incorrect
38,16.37,8.97,0.55,0.26318715603767406,acceptable
39,15.16,8.07,0.23,0.1675245875273872,incorrect
40,15.03,7.94,0.29,0.18892889618922373,incorrect
41,15.7,9.09,0.49,0.24772746089798728,acceptable
42,19.26,9.43,0.38,0.18923256009936576,incorrect
43,53.01,23.76,0.0,0.00967881338315449,incorrect
44,16.98,9.13,0.09,0.10555329547151676,incorrect
45,37.91,16.63,0.01,0.021978743192696996,incorrect
46,14.0,7.5,0.23,0.1792666140942003,incorrect
47,15.86,8.52,0.25,0.16773423524533415,incorrect
48,16.66,7.63,0.21,0.15125124407580973,incorrect
49,13.2,7.59,0.5,0.2769014123692809,acceptable
50,17.58,9.95,0.4,0.2039006132068618,incorrect
51,19.47,9.59,0.33,0.17132095520148594,incorrect
52,14.17,7.55,0.23,0.17752913028023334,incorrect
53,15.86,9.04,0.49,0.2466445010219349,acceptable
54,15.74,9.1,0.48,0.24407828655548525,acceptable
55,16.02,7.82,0.31,0.18838855344442093,incorrect
56,39.08,16.8,0.02,0.02435978566550563,incorrect
57,16.16,7.75,0.23,0.1609392812122796,incorrect
58,37.52,15.71,0.0,0.01928391203454252,incorrect
59,13.21,7.07,0.25,0.19529208947542118,incorrect
60,33.29,15.43,0.01,0.026855386381856736,incorrect
61,13.98,7.48,0.22,0.17618695894515468,incorrect
62,14.13,7.5,0.3,0.2013924958534308,incorrect
63,14.05,7.55,0.19,0.16530350643449743,incorrect
64,18.33,9.66,0.3,0.1668412471807248,incorrect
65,17.77,9.96,0.39,0.19945947126013827,incorrect
66,16.46,8.79,0.09,0.10960893442466264,incorrect
67,43.8,19.78,0.06,0.03400396257208888,incorrect
68,38.75,16.39,0.0,0.018071275149620283,incorrect
69,14.31,7.62,0.26,0.18603675836219483,incorrect
70,39.31,16.96,0.01,0.020809499403166103,incorrect
71,25.12,12.96,0.14,0.0853180093515463,incorrect
72,17.78,9.99,0.41,0.20602596905618772,incorrect
73,13.33,7.07,0.2,0.17738176606369224,incorrect
74,38.98,17.17,0.0,0.0176554162644092,incorrect
75,16.2,9.28,0.42,0.22044433124348636,incorrect
76,38.69,16.19,0.0,0.018184829656759615,incorrect
77,49.03,20.69,0.03,0.021468824180685478,incorrect
78,17.69,9.95,0.57,0.2599311144802748,acceptable
79,38.24,16.23,0.0,0.018517219983294326,incorrect
80,16.08,9.03,0.54,0.2617505486023592,acceptable
81,36.58,15.61,0.03,0.030125929321287687,incorrect
82,18.62,9.81,0.15,0.11509966641304638,incorrect
83,38.18,17.32,0.01,0.02155599499260591,incorrect
84,10.96,5.24,0.24,0.23043779459775185,acceptable
85,14.95,8.15,0.26,0.17901876975775388,incorrect
86,17.16,9.68,0.48,0.2334894294338508,acceptable
87,33.02,15.36,0.01,0.027197808980395966,incorrect
88,35.9,15.97,0.0,0.020609530442170617,incorrect
89,14.76,7.85,0.21,0.16475731806839508,incorrect
90,18.3,10.24,0.4,0.19948809944686507,incorrect
91,12.61,6.31,0.35,0.23863444510003287,acceptable
92,53.89,24.25,0.0,0.009361992524474,incorrect
93,17.31,9.95,0.38,0.19883386293801966,incorrect
94,18.38,9.57,0.18,0.1267219419557508,incorrect
95,15.42,7.66,0.37,0.21332498616329054,incorrect
96,16.61,8.95,0.37,0.20161725865566346,incorrect
97,37.08,15.27,0.01,0.02316069145480729,incorrect
98,18.73,10.2,0.18,0.12398229635670917,incorrect
99,18.3,9.84,0.45,0.21672243875477212,incorrect
100,47.93,19.58,0.0,0.012108626193281685,incorrect
10063,3.85,2.53,0.42,0.5032856140783147,medium
15213,4.69,2.73,0.48,0.4928331354153716,medium
16733,4.52,2.76,0.37,0.4591932327166002,acceptable
18892,4.98,2.94,0.38,0.4436672802820593,acceptable
21083,4.37,2.78,0.43,0.4821426532383603,acceptable
22465,4.8,2.85,0.38,0.45171050475972147,acceptable
32528,4.59,2.8,0.4,0.4657421904214399,acceptable
33508,4.98,2.96,0.38,0.44292950955561566,acceptable
35669,4.97,2.87,0.3,0.41992532564270385,acceptable
35971,4.66,2.67,0.35,0.4529328689633503,acceptable
