model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,40.67,11.49,0.14,0.06620327041306763,incorrect
2,46.47,16.31,0.0,0.013587153206339235,incorrect
3,65.24,19.04,0.0,0.007619969545389377,incorrect
4,47.45,16.45,0.0,0.013112721700510444,incorrect
5,43.66,18.2,0.0,0.014421798966818349,incorrect
6,71.81,21.78,0.0,0.006179375490338669,incorrect
7,41.52,17.84,0.0,0.015748210583587312,incorrect
8,48.1,16.27,0.0,0.01290357297859914,incorrect
9,48.94,16.3,0.0,0.012559850279534704,incorrect
10,72.32,27.62,0.0,0.005522186232064946,incorrect
11,68.63,22.54,0.0,0.006505621864349189,incorrect
12,51.38,11.0,0.02,0.021631638971869774,incorrect
13,48.46,16.09,0.0,0.012821278644240505,incorrect
14,46.48,16.1,0.0,0.013655436546610016,incorrect
15,61.87,18.05,0.0,0.008461200515600521,incorrect
16,71.25,21.19,0.0,0.006339444507550615,incorrect
17,58.05,16.11,0.04,0.02319510580258025,incorrect
18,46.79,16.25,0.0,0.013465259652088968,incorrect
19,64.78,19.71,0.0,0.0075613085754994485,incorrect
20,53.93,18.8,0.0,0.01018834906996689,incorrect
21,47.58,15.96,0.0,0.01322778701814638,incorrect
22,40.24,11.65,0.2,0.08634032448473522,incorrect
23,52.49,18.93,0.0,0.010597582729406342,incorrect
24,45.51,16.29,0.0,0.01403853239459673,incorrect
25,72.39,24.15,0.0,0.005814296956738266,incorrect
26,47.15,16.04,0.0,0.0133819456996567,incorrect
27,77.4,20.58,0.0,0.005733621021494175,incorrect
28,42.53,14.29,0.14,0.06310256227937873,incorrect
29,49.74,17.74,0.0,0.011824349780784347,incorrect
30,47.48,15.86,0.0,0.01330650152266425,incorrect
31,31.88,13.4,0.0,0.026248719034469056,incorrect
32,82.11,28.91,0.0,0.004429180668189249,incorrect
33,45.01,16.2,0.0,0.01431186865845271,incorrect
34,42.78,16.69,0.02,0.021997140269475583,incorrect
35,62.78,19.98,0.0,0.007868689970904926,incorrect
36,72.73,17.79,0.04,0.02017795650064515,incorrect
37,46.39,16.0,0.0,0.013731626169919324,incorrect
38,48.13,16.16,0.0,0.01292942256971861,incorrect
39,60.41,22.96,0.0,0.007887866646482588,incorrect
40,45.85,14.91,0.0,0.014415375940723873,incorrect
41,38.78,17.66,0.0,0.017667541032034044,incorrect
42,58.77,22.46,0.0,0.008310059216687087,incorrect
43,76.0,19.96,0.0,0.005989991601903614,incorrect
44,32.38,13.42,0.0,0.02560231987159947,incorrect
45,48.97,17.72,0.0,0.012120663757416291,incorrect
46,47.38,16.57,0.0,0.013103066434464452,incorrect
47,40.75,14.12,0.0,0.017618194856064945,incorrect
48,65.19,19.85,0.0,0.007464920858458787,incorrect
49,50.93,20.21,0.0,0.01085929577438563,incorrect
50,42.76,18.07,0.0,0.01495218245221113,incorrect
51,56.08,15.53,0.0,0.010566723746758946,incorrect
52,64.06,19.6,0.0,0.0077081169945379694,incorrect
53,49.85,17.85,0.0,0.011754962854427585,incorrect
54,53.2,18.92,0.0,0.010379555089732604,incorrect
55,71.79,21.76,0.0,0.006184786885210426,incorrect
56,59.57,22.83,0.0,0.008084097726111966,incorrect
57,42.81,14.88,0.12,0.05599576559101216,incorrect
58,50.36,10.84,0.02,0.022162484872122398,incorrect
59,59.24,18.73,0.0,0.008848398419621829,incorrect
60,68.25,18.55,0.0,0.00725670139771093,incorrect
61,61.16,17.62,0.0,0.00871480468529163,incorrect
62,42.62,9.77,0.16,0.07376084428855345,incorrect
63,66.29,19.69,0.0,0.007315197238567526,incorrect
64,63.13,19.43,0.0,0.007910149538683952,incorrect
65,43.97,16.64,0.0,0.014694806548468291,incorrect
66,45.11,14.54,0.0,0.014939497799986018,incorrect
67,41.85,17.41,0.0,0.015662085658121553,incorrect
68,41.81,14.85,0.16,0.06993022682853817,incorrect
69,64.27,19.35,0.0,0.007721313358403844,incorrect
70,42.07,15.02,0.12,0.05636523264601761,incorrect
71,68.36,17.9,0.0,0.007399583050674133,incorrect
72,50.8,11.36,0.02,0.02145694373332864,incorrect
73,49.48,17.41,0.0,0.012011037795255884,incorrect
74,58.04,17.08,0.0,0.009550380109348522,incorrect
75,66.36,19.29,0.0,0.007384119544383082,incorrect
76,47.02,10.51,0.11,0.05386928892399434,incorrect
77,72.16,20.99,0.0,0.006255480492625809,incorrect
78,39.45,14.57,0.0,0.018284118270185692,incorrect
79,86.89,23.18,0.0,0.004549677811332258,incorrect
80,45.61,9.31,0.12,0.059622394913388665,incorrect
81,63.41,21.08,0.0,0.007563210831758058,incorrect
82,39.67,17.3,0.0,0.017119027287045768,incorrect
83,50.21,16.78,0.0,0.011929307689956455,incorrect
84,47.76,16.39,0.0,0.013002729131322518,incorrect
85,47.83,16.81,0.0,0.012838165634786772,incorrect
86,62.07,18.05,0.0,0.008422202306708796,incorrect
87,38.87,13.9,0.0,0.019049611927195034,incorrect
88,57.9,15.32,0.0,0.010197520941665287,incorrect
89,43.07,16.65,0.02,0.021846348952033485,incorrect
90,39.5,17.56,0.0,0.01716707798158982,incorrect
91,39.52,13.8,0.0,0.018630419089462415,incorrect
92,39.2,17.72,0.0,0.0173404658146368,incorrect
93,45.05,20.13,0.0,0.013299331724665084,incorrect
94,73.31,22.72,0.0,0.00586833799227595,incorrect
95,48.47,16.71,0.0,0.012609796215748084,incorrect
96,50.85,19.22,0.0,0.011078773114186985,incorrect
97,43.04,17.77,0.0,0.014871147900516852,incorrect
98,71.59,20.73,0.0,0.006369926479831183,incorrect
99,46.92,15.17,0.0,0.013819451186785252,incorrect
100,74.32,23.15,0.0,0.0056974956913253645,incorrect
89198,4.6,2.05,0.71,0.6107246148321487,medium
350936,5.0,2.33,0.7,0.578647102980186,medium
434878,4.9,2.29,0.71,0.5869358516692965,medium
451934,3.13,1.37,0.5,0.6419324418908525,medium
