model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,58.26,23.14,0.0,0.00834229921842749,incorrect
2,68.18,19.3,0.0,0.007102964724297397,incorrect
3,73.14,20.98,0.0,0.006137276833579575,incorrect
4,58.49,20.33,0.0,0.008698888659422397,incorrect
5,58.82,16.56,0.0,0.0095311672335917,incorrect
6,75.57,21.45,0.0,0.005786590174268906,incorrect
7,72.76,20.93,0.0,0.0061912377767553905,incorrect
8,67.62,21.85,0.0,0.006748672126022944,incorrect
9,57.4,23.71,0.0,0.008481547503292617,incorrect
10,55.84,23.25,0.0,0.008930485357922529,incorrect
11,55.94,23.18,0.0,0.008912451855070802,incorrect
12,70.16,18.79,0.0,0.00693260974325876,incorrect
13,36.98,11.98,0.02,0.028538948227754327,incorrect
14,58.08,14.29,0.0,0.010622488343959633,incorrect
15,59.17,18.73,0.0,0.008863995682166587,incorrect
16,59.9,17.31,0.0,0.00906405900919647,incorrect
17,73.24,20.9,0.0,0.006138252440774113,incorrect
18,55.66,20.31,0.0,0.009404916892738311,incorrect
19,74.74,21.01,0.0,0.0059467162599747625,incorrect
20,65.56,17.94,0.0,0.007824748040767904,incorrect
21,31.65,6.47,0.37,0.16276046805579644,incorrect
22,73.83,21.44,0.0,0.005984104089270803,incorrect
23,54.83,23.04,0.0,0.009229761184461326,incorrect
24,66.6,18.63,0.0,0.0074895656121523576,incorrect
25,55.95,23.12,0.0,0.008917017460243128,incorrect
26,59.61,20.56,0.0,0.00840743188930945,incorrect
27,32.24,6.64,0.32,0.14451567772202542,incorrect
28,63.98,17.64,0.0,0.008174312788570079,incorrect
29,78.34,20.8,0.0,0.005603098785198063,incorrect
30,60.22,16.94,0.0,0.009104538624078864,incorrect
31,36.87,12.0,0.02,0.02861698996753947,incorrect
32,72.17,20.91,0.0,0.0062671515553659645,incorrect
33,63.3,15.83,0.0,0.00887033795843264,incorrect
34,73.03,21.32,0.0,0.006097114519129068,incorrect
35,57.24,14.07,0.0,0.010937890126368385,incorrect
36,49.06,11.17,0.0,0.015619048373397027,incorrect
37,58.48,16.26,0.0,0.009709206123653516,incorrect
38,56.09,23.5,0.0,0.008835728141797151,incorrect
39,49.64,11.79,0.02,0.02147140832696619,incorrect
40,48.0,10.85,0.0,0.01638644927787476,incorrect
41,77.03,20.19,0.0,0.005839741818320687,incorrect
42,73.28,20.91,0.0,0.00613185654099924,incorrect
43,40.0,16.45,0.0,0.017150491994879797,incorrect
44,63.59,24.43,0.0,0.007103168247644044,incorrect
45,35.85,18.86,0.0,0.019836571808716955,incorrect
46,21.78,5.05,0.27,0.16108336049468883,incorrect
47,49.87,11.87,0.02,0.021316286515714735,incorrect
48,69.04,23.94,0.0,0.006280659418417296,incorrect
49,66.07,22.87,0.0,0.006855027459137576,incorrect
50,35.38,18.78,0.0,0.020302948451659107,incorrect
51,35.51,12.27,0.0,0.022972453389623216,incorrect
52,55.64,23.07,0.0,0.009005165712357625,incorrect
53,60.0,16.97,0.0,0.0091423448540665,incorrect
54,67.32,22.86,0.0,0.006659729805130306,incorrect
55,66.94,23.94,0.0,0.006592805423362071,incorrect
56,76.91,20.65,0.0,0.005771924459451064,incorrect
57,65.66,22.66,0.0,0.0069483674493420544,incorrect
58,63.85,17.81,0.0,0.008152324043607198,incorrect
59,72.03,20.87,0.0,0.0062911676045093986,incorrect
60,58.17,16.69,0.0,0.009639441466407439,incorrect
61,63.31,21.5,0.0,0.007516829704517353,incorrect
62,55.95,23.34,0.0,0.008890909587250664,incorrect
63,67.2,23.21,0.0,0.006635537101485123,incorrect
64,58.35,23.87,0.0,0.008237651112637101,incorrect
65,58.34,23.97,0.0,0.008229102159951639,incorrect
66,56.12,23.33,0.0,0.008847611190070069,incorrect
67,67.72,15.13,0.0,0.008414449721849801,incorrect
68,50.11,16.03,0.0,0.012216234558929897,incorrect
69,35.48,18.99,0.0,0.020159927192748922,incorrect
70,56.19,23.35,0.0,0.008827073924388121,incorrect
71,65.3,23.33,0.0,0.006926110744245303,incorrect
72,65.9,13.91,0.0,0.00928646506366337,incorrect
73,85.08,22.37,0.0,0.004786229461949627,incorrect
74,83.15,21.72,0.0,0.005029536252258091,incorrect
75,59.77,13.93,0.0,0.01042854499506443,incorrect
76,73.02,20.63,0.0,0.006209398356740413,incorrect
77,57.25,23.3,0.0,0.008565250495535406,incorrect
78,21.26,5.08,0.27,0.16267159777465545,incorrect
79,35.82,12.21,0.0,0.022725371817456378,incorrect
80,67.45,23.13,0.0,0.006606872274001099,incorrect
81,90.13,25.09,0.0,0.0041257079270151315,incorrect
82,46.13,16.1,0.0,0.013814348393861281,incorrect
83,55.73,23.11,0.0,0.008976357092419188,incorrect
84,68.33,25.11,0.0,0.006264823950216518,incorrect
85,52.8,12.8,0.0,0.012936104999821452,incorrect
86,62.47,15.42,0.0,0.009183736199793098,incorrect
87,66.35,23.97,0.0,0.006682517458357594,incorrect
88,73.84,21.0,0.0,0.006051340812910037,incorrect
89,76.49,25.17,0.0,0.005245746028422041,incorrect
90,68.27,19.14,0.0,0.00712312378665661,incorrect
91,60.17,20.34,0.0,0.008324947473530147,incorrect
92,65.89,20.05,0.0,0.007311719356097264,incorrect
93,72.78,21.23,0.0,0.006141243068102029,incorrect
94,53.79,22.11,0.0,0.009648036133092248,incorrect
95,68.29,21.79,0.0,0.006657554589748466,incorrect
96,52.59,9.81,0.0,0.016101436152356537,incorrect
97,76.08,19.99,0.0,0.005975859416259087,incorrect
98,72.38,24.94,0.0,0.005735950821964406,incorrect
99,46.46,15.49,0.0,0.013892658098530903,incorrect
100,79.03,26.09,0.0,0.00491006194523893,incorrect
103208,4.86,1.86,0.73,0.6259003281545144,medium
171110,4.11,2.06,0.73,0.6289995631431262,medium
194284,3.46,1.95,0.5,0.5765343846131817,medium
224988,1.28,1.56,0.63,0.6960752370808888,medium
250164,3.24,1.86,0.74,0.6690700820220247,medium
320045,4.34,2.42,0.61,0.5602561253230798,medium
330709,4.85,2.15,0.5,0.527261232392278,medium
376762,4.19,1.9,0.56,0.5828233655043885,medium
397733,2.92,1.7,0.69,0.6740625358650458,medium
415493,4.65,2.27,0.5,0.5245319735793151,medium
