model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,31.03,17.67,0.04,0.03898465911930967,incorrect
2,31.7,16.98,0.02,0.031606388326297453,incorrect
3,30.84,17.31,0.09,0.05601807058438393,incorrect
4,68.13,28.2,0.0,0.006049403701450663,incorrect
5,31.48,17.68,0.04,0.03836643567235088,incorrect
6,30.46,17.35,0.09,0.05655487332739878,incorrect
7,28.82,14.57,0.0,0.030170948332483776,incorrect
8,31.04,17.7,0.06,0.04562936257922595,incorrect
9,68.85,28.71,0.0,0.005911679151326348,incorrect
10,31.0,17.71,0.06,0.04568254470057751,incorrect
11,40.67,17.61,0.0,0.01635190741029797,incorrect
12,61.39,22.63,0.0,0.007728200934274305,incorrect
13,30.36,17.26,0.07,0.05006122351560266,incorrect
14,31.0,17.65,0.02,0.032365264817162544,incorrect
15,34.1,10.98,0.06,0.0456067020622673,incorrect
16,32.0,15.49,0.04,0.038398907425160736,incorrect
17,38.76,11.52,0.04,0.03418552915257022,incorrect
18,34.75,11.62,0.06,0.04428137027295285,incorrect
19,33.57,11.66,0.11,0.062176282691513235,incorrect
20,60.98,21.07,0.0,0.008033962872154958,incorrect
21,51.23,19.13,0.0,0.010967358322985262,incorrect
22,37.19,10.8,0.04,0.03618986841458142,incorrect
23,31.1,17.42,0.02,0.03228908235897187,incorrect
24,33.43,20.31,0.2,0.08871624562192697,incorrect
25,52.33,18.63,0.02,0.017382163863450584,incorrect
26,32.8,15.91,0.04,0.037247024074145395,incorrect
27,43.24,15.56,0.02,0.022137502676177746,incorrect
28,61.85,23.47,0.0,0.007534917013151118,incorrect
29,31.97,11.4,0.2,0.09434681927195669,incorrect
30,30.37,17.03,0.02,0.03344718748003257,incorrect
31,32.04,16.06,0.02,0.03146697569276575,incorrect
32,30.84,17.57,0.02,0.03261228188315322,incorrect
33,36.89,16.44,0.0,0.019556857375108986,incorrect
34,62.14,23.1,0.0,0.0075220395063395834,incorrect
35,36.09,16.65,0.26,0.10686878216657487,incorrect
36,69.58,28.56,0.0,0.0058182919294708785,incorrect
37,70.78,29.46,0.0,0.005600822142782447,incorrect
38,68.1,28.53,0.0,0.006032266400687971,incorrect
39,51.11,18.76,0.0,0.011088836454693116,incorrect
40,30.84,17.9,0.02,0.03252478474316747,incorrect
41,70.13,29.17,0.0,0.0057049743184626545,incorrect
42,61.46,23.15,0.0,0.007649696348372238,incorrect
43,30.87,17.12,0.0,0.026030601405913244,incorrect
44,30.32,17.53,0.02,0.03337804450870106,incorrect
45,42.72,19.15,0.07,0.038059827067937535,incorrect
46,33.17,11.36,0.17,0.08291896937208311,incorrect
47,40.16,19.08,0.15,0.06633966035910792,incorrect
48,67.37,25.18,0.0,0.006401776816575853,incorrect
49,39.69,17.37,0.0,0.017085073130142583,incorrect
50,33.82,20.19,0.63,0.23163445886256998,acceptable
51,55.01,21.39,0.0,0.009404161649602357,incorrect
52,33.18,20.38,0.19,0.08565789324872514,incorrect
53,34.18,17.85,0.52,0.19508457446653651,incorrect
54,49.26,20.96,0.0,0.011336447607909137,incorrect
55,33.95,20.13,0.63,0.23150287174597642,acceptable
56,35.99,16.43,0.17,0.0770328703013973,incorrect
57,21.24,7.51,0.24,0.13880203883905193,incorrect
58,31.17,17.91,0.02,0.03206084722624461,incorrect
59,30.93,17.08,0.04,0.03929109422810737,incorrect
60,33.87,11.21,0.09,0.05561302449845825,incorrect
61,50.6,18.73,0.0,0.011272349823550168,incorrect
62,31.0,17.66,0.02,0.03236257798355557,incorrect
63,66.65,29.66,0.0,0.006185068182914202,incorrect
64,68.85,28.97,0.0,0.005895507668253957,incorrect
65,32.17,15.49,0.04,0.038182447255010944,incorrect
66,33.12,10.79,0.06,0.04691823345084204,incorrect
67,30.75,16.95,0.07,0.04958539369655086,incorrect
68,55.01,26.16,0.0,0.00886530023332683,incorrect
69,68.94,28.63,0.0,0.005903881638169847,incorrect
70,51.08,20.86,0.0,0.010696289991582128,incorrect
71,50.44,18.56,0.0,0.01136771262393555,incorrect
72,36.15,17.96,0.44,0.16643912551830758,incorrect
73,68.74,27.56,0.0,0.006004546694065644,incorrect
74,32.8,16.49,0.02,0.030379063548754425,incorrect
75,55.32,26.0,0.0,0.008793873297319342,incorrect
76,33.81,20.15,0.59,0.2183193777571102,incorrect
