model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,16.26,7.95,0.29,0.17966618814389015,incorrect
2,16.03,8.26,0.53,0.26046307217338277,acceptable
3,22.09,9.37,0.02,0.05798486928833666,incorrect
4,16.05,8.04,0.35,0.2008912691291703,incorrect
5,16.32,7.83,0.25,0.16626121412126954,incorrect
6,40.15,14.16,0.0,0.017997987709784845,incorrect
7,16.25,7.73,0.2,0.15037286082216048,incorrect
8,17.43,7.68,0.14,0.1229571517876708,incorrect
9,16.64,8.01,0.22,0.1536058903564839,incorrect
10,20.07,8.9,0.06,0.07990286775514467,incorrect
11,20.11,9.91,0.57,0.2479907587487715,acceptable
12,20.75,10.08,0.55,0.23845208769868884,acceptable
13,43.06,14.73,0.0,0.01592281751796985,incorrect
14,45.48,15.31,0.0,0.014419606611242884,incorrect
15,10.95,5.29,0.2,0.21680757210385973,incorrect
16,38.38,12.09,0.02,0.02730510869604505,incorrect
17,42.99,14.6,0.0,0.016022587273581454,incorrect
18,17.28,7.54,0.14,0.12429786015858091,incorrect
19,17.58,7.61,0.12,0.11562637551892557,incorrect
20,18.76,7.93,0.12,0.10828975850876228,incorrect
21,43.09,14.81,0.0,0.015869581041471428,incorrect
22,16.09,7.87,0.33,0.19441359842255848,incorrect
23,16.28,8.15,0.31,0.18565752723853127,incorrect
24,43.03,14.61,0.0,0.01599544286838672,incorrect
25,19.04,9.63,0.0,0.06328889485408264,incorrect
26,18.13,7.52,0.12,0.11282115703125868,incorrect
27,42.17,14.55,0.0,0.016519537333278045,incorrect
28,18.73,8.01,0.08,0.09488625882527878,incorrect
29,45.58,17.2,0.0,0.013718682011260223,incorrect
30,46.0,17.02,0.0,0.013574855922204311,incorrect
31,45.35,15.29,0.0,0.014490224548062897,incorrect
32,39.44,13.65,0.0,0.01877260083825384,incorrect
33,18.78,9.43,0.0,0.06490082934082639,incorrect
34,18.33,7.77,0.14,0.11763635110161969,incorrect
35,38.65,13.78,0.0,0.019281608952339203,incorrect
36,28.04,10.37,0.0,0.034884495900455136,incorrect
37,42.16,14.37,0.0,0.016612887308528383,incorrect
38,44.19,14.95,0.0,0.015215190634762198,incorrect
39,10.37,5.58,0.43,0.29975245426320357,acceptable
40,45.3,15.17,0.0,0.014564341948400998,incorrect
41,39.88,13.71,0.0,0.01842770854566605,incorrect
42,10.68,5.0,0.18,0.21678611597251077,incorrect
43,48.17,15.81,0.0,0.013039521304758508,incorrect
44,27.35,10.46,0.0,0.0360768844853521,incorrect
45,19.25,9.3,0.25,0.14617219286906838,incorrect
46,15.76,8.1,0.57,0.2761652673217199,acceptable
47,45.3,15.32,0.0,0.014502047098551891,incorrect
48,18.41,8.84,0.39,0.19790040583062563,incorrect
49,14.57,6.44,0.2,0.16846092677938074,incorrect
50,15.26,7.33,0.02,0.0989958867380621,incorrect
51,14.43,6.33,0.14,0.15025551395758815,incorrect
52,27.75,10.81,0.0,0.03488882874756778,incorrect
53,20.78,10.06,0.53,0.23169514880687456,acceptable
54,14.66,6.46,0.14,0.14758491494006987,incorrect
55,14.24,6.28,0.2,0.17222425179763146,incorrect
56,42.14,14.58,0.0,0.016523089072878645,incorrect
57,37.95,13.08,0.02,0.026916878278086337,incorrect
58,47.09,17.14,0.0,0.013051564652216852,incorrect
59,37.26,13.24,0.0,0.020713355603110033,incorrect
60,27.32,10.46,0.04,0.049469039826456764,incorrect
61,16.33,7.86,0.29,0.17943928019730285,incorrect
