model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,41.0,15.54,0.0,0.01681342343139948,incorrect
2,16.84,7.02,0.19,0.14556891642524233,incorrect
3,17.26,7.07,0.18,0.13942059347585664,incorrect
4,11.02,4.41,0.54,0.33890456208016473,acceptable
5,46.82,16.15,0.0,0.013486737366800736,incorrect
6,35.89,12.92,0.0,0.022137122488167665,incorrect
7,16.18,6.93,0.43,0.23034795030994548,acceptable
8,13.51,4.53,0.13,0.17079977732963822,incorrect
9,15.17,6.65,0.46,0.24911811979302814,acceptable
10,47.11,16.33,0.0,0.01329833192611809,incorrect
11,15.85,7.13,0.21,0.1585802699789938,incorrect
12,10.28,4.11,0.61,0.37786805875665747,acceptable
13,11.89,4.43,0.44,0.29369056120377274,acceptable
14,8.6,2.35,0.62,0.46787813178972776,acceptable
15,46.9,17.42,0.0,0.013054046208632644,incorrect
16,13.45,4.5,0.43,0.27180036407567243,acceptable
17,18.39,7.35,0.1,0.10533790235145561,incorrect
18,15.92,6.85,0.37,0.212529879931152,incorrect
19,41.29,15.68,0.0,0.01657475771788874,incorrect
20,46.99,17.5,0.0,0.012992547364505731,incorrect
21,16.37,7.07,0.22,0.15847764380012241,incorrect
22,40.61,14.2,0.0,0.01766882478182469,incorrect
23,42.17,16.11,0.0,0.01587906452014639,incorrect
24,16.34,6.7,0.24,0.16690090465543603,incorrect
25,42.79,14.23,0.0,0.01631703034859922,incorrect
26,38.42,12.63,0.08,0.04685719567934341,incorrect
27,43.49,14.76,0.01,0.019005457318089735,incorrect
28,47.46,17.33,0.0,0.012838444886502985,incorrect
29,44.09,16.46,0.0,0.014690469105196042,incorrect
30,16.25,6.99,0.45,0.23628418908983928,acceptable
31,16.49,7.41,0.33,0.1930965887082806,incorrect
32,40.99,15.52,0.0,0.01682771235986891,incorrect
33,40.74,13.63,0.08,0.044560403766859054,incorrect
34,16.88,7.06,0.18,0.14182265243171036,incorrect
35,9.76,2.5,0.49,0.3953431984754195,acceptable
36,42.39,15.31,0.0,0.016053850627020628,incorrect
37,16.3,6.78,0.28,0.1801526776903033,incorrect
38,18.96,8.26,0.01,0.06975812702428465,incorrect
39,18.28,7.88,0.03,0.08091497177329364,incorrect
40,17.15,7.17,0.22,0.15304506661970374,incorrect
41,12.47,4.9,0.26,0.22097140016011385,incorrect
42,45.48,15.33,0.0,0.014411420867290857,incorrect
43,38.08,12.53,0.06,0.04052953079131129,incorrect
44,38.19,12.42,0.08,0.04719207708229498,incorrect
45,17.98,7.27,0.2,0.14116626925714962,incorrect
46,18.06,6.65,0.09,0.10658664695800811,incorrect
47,16.65,6.94,0.19,0.14712365742963973,incorrect
48,18.36,6.83,0.06,0.09417237249504022,incorrect
49,17.72,7.26,0.02,0.08266548115680239,incorrect
50,16.29,7.03,0.23,0.16251551495658967,incorrect
51,16.91,6.97,0.24,0.16198948103595057,incorrect
52,21.76,8.59,0.1,0.08732587836967261,incorrect
53,15.24,6.73,0.49,0.25819799218598144,acceptable
54,16.27,6.97,0.24,0.1662265700444402,incorrect
55,0.86,0.52,0.64,0.8408608305151998,high
56,38.45,12.62,0.05,0.036841311795230564,incorrect
57,22.01,8.33,0.04,0.06706415772774689,incorrect
58,42.46,14.12,0.03,0.026563536367342336,incorrect
59,17.68,7.12,0.22,0.15008049322241776,incorrect
60,46.74,17.34,0.0,0.013146940736342191,incorrect
61,17.44,6.6,0.07,0.1036880436139685,incorrect
62,11.53,2.96,0.48,0.3454803703095224,acceptable
63,50.74,19.21,0.0,0.011119116968089858,incorrect
64,15.47,6.71,0.37,0.2164947356281802,incorrect
65,41.49,15.86,0.0,0.016382050465807606,incorrect
