model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,22.31,10.89,0.01,0.051792271952780446,incorrect
2,22.5,10.49,0.05,0.06497644909294885,incorrect
3,22.58,10.87,0.02,0.05426827972491802,incorrect
4,22.85,11.05,0.02,0.05321683111663005,incorrect
5,22.22,10.77,0.03,0.05889455832860716,incorrect
6,23.28,10.76,0.02,0.052231473966839755,incorrect
7,22.04,10.71,0.03,0.05957197055325598,incorrect
8,24.16,11.63,0.02,0.04883582176068559,incorrect
9,22.85,11.13,0.08,0.07313198137000239,incorrect
10,21.33,10.68,0.04,0.06546143568434439,incorrect
11,52.63,21.53,0.0,0.01008374622618437,incorrect
12,21.2,10.64,0.17,0.1093265146154256,incorrect
13,19.91,9.7,0.18,0.11917278091621952,incorrect
14,22.14,10.83,0.02,0.055760948925139976,incorrect
15,49.26,20.65,0.0,0.011387556199786686,incorrect
16,17.53,8.26,0.31,0.17742719583616584,incorrect
17,22.68,10.98,0.03,0.057160508916863674,incorrect
18,19.55,9.47,0.1,0.09448580548145546,incorrect
19,23.81,11.23,0.14,0.09018877967620663,incorrect
20,20.3,10.39,0.13,0.0998630343342544,incorrect
21,21.16,10.61,0.04,0.06617967139781601,incorrect
22,20.62,10.49,0.13,0.09842755596742647,incorrect
23,22.47,11.18,0.03,0.057622228009927036,incorrect
24,20.62,9.88,0.07,0.0792586113405942,incorrect
25,13.6,5.54,0.33,0.22640052321852708,incorrect
26,21.12,10.67,0.12,0.09292562574210832,incorrect
27,21.52,10.12,0.11,0.08881769917086257,incorrect
28,22.43,10.96,0.03,0.05798709538738131,incorrect
29,19.09,9.27,0.23,0.14032294468529688,incorrect
30,22.72,11.02,0.02,0.05365703271074401,incorrect
31,21.03,10.34,0.04,0.06701183768022595,incorrect
32,21.81,10.64,0.04,0.06378272782937588,incorrect
33,21.91,11.0,0.04,0.0630242044379866,incorrect
34,21.93,10.74,0.15,0.09991424318193848,incorrect
35,19.46,9.46,0.03,0.07158190320413158,incorrect
36,52.73,20.69,0.0,0.010185150159106149,incorrect
