model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,54.43,20.76,0.0,0.009666719176234186,incorrect
2,57.39,20.0,0.0,0.009019687411071516,incorrect
3,53.54,14.56,0.0,0.011695694168156226,incorrect
4,58.78,19.49,0.0,0.008790407092058247,incorrect
5,58.8,19.88,0.0,0.008710034674127988,incorrect
6,21.41,11.89,0.0,0.050607646567242946,incorrect
7,41.93,17.5,0.0,0.015588714243724877,incorrect
8,58.1,19.32,0.0,0.008982279987761762,incorrect
9,27.58,13.22,0.0,0.033151661332251565,incorrect
10,57.95,19.89,0.0,0.00890552906879741,incorrect
11,54.25,20.09,0.0,0.00983494725163139,incorrect
12,60.03,20.97,0.0,0.008248638516431395,incorrect
13,57.69,19.5,0.0,0.009043313363392329,incorrect
14,55.93,21.95,0.0,0.009074484704576167,incorrect
15,57.61,19.94,0.0,0.008977480111577686,incorrect
16,50.85,19.5,0.0,0.0110215753239159,incorrect
17,53.51,20.1,0.0,0.010050079868289968,incorrect
18,26.57,13.12,0.0,0.03524773654232253,incorrect
19,52.44,18.95,0.0,0.010609056535890178,incorrect
20,54.5,20.57,0.0,0.009678790126923326,incorrect
21,56.17,20.64,0.0,0.009213608777745921,incorrect
22,29.45,15.22,0.13,0.07217262398190812,incorrect
23,28.39,14.96,0.0,0.030740029758831184,incorrect
24,18.38,9.61,0.2,0.13332378927043267,incorrect
25,41.81,17.23,0.0,0.015737560794095773,incorrect
26,17.87,10.69,0.0,0.06793821343256004,incorrect
27,55.49,21.32,0.0,0.00928401387043057,incorrect
28,56.33,21.05,0.0,0.00910500433931195,incorrect
29,55.0,20.99,0.0,0.009469366825133814,incorrect
30,41.94,17.53,0.0,0.015574434586882646,incorrect
31,26.83,13.31,0.0,0.03458491230237278,incorrect
32,54.37,20.5,0.0,0.009727781536898558,incorrect
33,46.02,18.67,0.0,0.0131343571130065,incorrect
34,34.01,15.45,0.0,0.022709638679466706,incorrect
35,61.58,22.56,0.0,0.007699313836842008,incorrect
36,57.26,22.05,0.0,0.008722461799912823,incorrect
37,55.98,21.57,0.0,0.009116159325168688,incorrect
38,17.89,9.32,0.2,0.13647276778093365,incorrect
39,22.6,11.57,0.13,0.09015199509184761,incorrect
40,54.76,19.91,0.0,0.00972372682007206,incorrect
41,30.17,9.36,0.13,0.0761925119696411,incorrect
42,20.16,10.87,0.33,0.16654131040477457,incorrect
43,26.3,12.77,0.0,0.036061740009763824,incorrect
44,20.9,11.14,0.0,0.053245331131136726,incorrect
45,55.01,20.89,0.0,0.009482776370112472,incorrect
46,58.78,19.31,0.0,0.008826949713166938,incorrect
47,41.79,17.37,0.0,0.015709767470120938,incorrect
48,28.64,15.09,0.0,0.030245602796684076,incorrect
49,58.31,21.42,0.0,0.008562496204167835,incorrect
50,32.56,14.87,0.0,0.02462515110982348,incorrect
51,28.8,13.72,0.0,0.030646353116924773,incorrect
52,59.04,23.27,0.0,0.008148166345343289,incorrect
53,26.86,14.92,0.0,0.03367821382283482,incorrect
54,21.41,11.87,0.0,0.050624981991526485,incorrect
55,19.27,8.37,0.27,0.15466519921025995,incorrect
56,57.46,20.11,0.0,0.008982408590799393,incorrect
57,57.57,19.27,0.0,0.00911904170013953,incorrect
58,56.56,22.45,0.0,0.008843518023002464,incorrect
59,58.74,19.33,0.0,0.00883195050317894,incorrect
60,60.47,22.27,0.0,0.00796402354973386,incorrect
61,53.88,20.19,0.0,0.009924186494212636,incorrect
62,54.49,20.35,0.0,0.009719747845883444,incorrect
63,19.38,10.55,0.33,0.17038219327529525,incorrect
64,54.88,21.85,0.0,0.009372526094062718,incorrect
65,28.12,12.98,0.0,0.03229992285752465,incorrect
66,54.69,21.52,0.0,0.009473684302361526,incorrect
67,58.63,19.09,0.0,0.008907273191928399,incorrect
68,56.38,22.66,0.0,0.008862342665486302,incorrect
69,59.05,20.37,0.0,0.00856434753502248,incorrect
70,32.71,15.22,0.0,0.024291669917635417,incorrect
71,41.72,17.49,0.0,0.01571897465412977,incorrect
72,42.92,17.84,0.0,0.014920229512976342,incorrect
73,57.65,19.19,0.0,0.009116409759572458,incorrect
74,57.95,22.93,0.0,0.008440814474589905,incorrect
75,58.07,20.56,0.0,0.008756933693321584,incorrect
76,23.95,11.25,0.13,0.08644496556904548,incorrect
77,60.55,19.12,0.0,0.008480903600131116,incorrect
78,56.75,22.45,0.0,0.008795383880532312,incorrect
79,58.43,22.21,0.0,0.008421481156567195,incorrect
80,57.96,19.32,0.0,0.00901535343383309,incorrect
81,52.62,18.11,0.0,0.01074791941808477,incorrect
82,54.43,20.59,0.0,0.009695272592225796,incorrect
83,29.7,15.34,0.0,0.02839261312449778,incorrect
84,56.27,19.44,0.0,0.009409260847381093,incorrect
85,56.23,21.52,0.0,0.009058427431681443,incorrect
86,66.03,23.46,0.0,0.006790873899047406,incorrect
87,63.87,24.11,0.0,0.007086193055193417,incorrect
88,30.01,15.43,0.13,0.0712094198159303,incorrect
89,57.66,22.76,0.0,0.00853130997055044,incorrect
90,55.6,19.59,0.0,0.009555525406938813,incorrect
91,54.85,22.0,0.0,0.00935971985064288,incorrect
92,60.37,22.14,0.0,0.008002671366019513,incorrect
93,58.03,22.98,0.0,0.008415729422850404,incorrect
94,51.15,18.64,0.0,0.01110236348299075,incorrect
95,53.58,20.2,0.0,0.010011050420196564,incorrect
96,58.63,19.15,0.0,0.008894554237061718,incorrect
97,59.7,19.62,0.0,0.008559971201608126,incorrect
98,59.69,19.46,0.0,0.008593940628102167,incorrect
99,57.51,20.89,0.0,0.008835806434280547,incorrect
100,42.99,17.89,0.0,0.014867864112787456,incorrect
246840,3.18,1.65,1.13,0.8199031204313397,high
298191,4.87,2.01,0.8,0.6368562375859872,medium
425969,4.12,2.34,0.87,0.656998530356582,medium
471870,4.9,2.15,0.93,0.6693210493456863,medium
