model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,4.46,1.76,1.22,0.8082895734310451,high
2,4.95,1.76,1.17,0.7791667416853013,medium
3,9.09,2.85,1.04,0.5744718828047336,medium
4,7.37,2.53,1.32,0.7169776325269192,medium
5,4.92,1.64,1.35,0.851515186935762,high
6,4.77,1.58,1.23,0.821515528673583,high
7,6.17,2.34,1.16,0.7020530086654024,medium
8,5.5,1.94,1.35,0.8096766570299732,high
9,10.13,3.15,0.94,0.5126714242532877,medium
10,31.65,12.29,0.12,0.06731709066218418,incorrect
11,8.97,2.93,1.12,0.6002594906351347,medium
12,9.69,3.14,1.22,0.613553745162766,medium
13,9.03,3.43,1.22,0.6167790493536499,medium
14,7.66,2.98,1.2,0.6513297327554111,medium
15,6.48,2.16,1.3,0.7525965470868803,medium
16,8.28,2.96,1.09,0.6024795240826079,medium
17,5.61,2.36,1.26,0.748103788256521,medium
18,8.45,2.81,1.36,0.6949033039983155,medium
19,4.74,2.18,1.22,0.7680374086358744,medium
20,6.75,2.2,1.14,0.6902036591555584,medium
21,61.57,18.31,0.0,0.008456356799901489,incorrect
22,7.63,2.77,1.07,0.6168428454466693,medium
23,35.51,16.31,0.39,0.15085990113249334,incorrect
24,9.54,3.27,1.06,0.5587939265531066,medium
25,27.87,16.06,0.94,0.3445831675988175,acceptable
26,7.67,2.64,1.13,0.6417466777476265,medium
27,5.7,2.15,1.35,0.7890650337805182,medium
28,60.97,17.7,0.0,0.008732005231032776,incorrect
29,31.46,11.68,0.28,0.12141949482684826,incorrect
30,32.51,11.74,0.26,0.11334956799142083,incorrect
31,6.19,2.06,1.16,0.719983424628138,medium
32,34.57,16.31,0.0,0.021798864293670353,incorrect
33,3.78,1.31,1.35,0.9173991391116858,high
34,8.12,2.64,0.99,0.585632455944591,medium
35,8.78,2.96,1.35,0.6793768429729238,medium
36,37.67,18.1,0.01,0.021756474734374406,incorrect
37,30.49,12.8,0.04,0.04188685669244497,incorrect
38,56.55,19.86,0.0,0.009255332605978365,incorrect
39,37.92,17.24,0.29,0.11511847560388676,incorrect
40,8.4,2.95,1.23,0.6471165007468519,medium
41,7.01,2.01,1.16,0.7042978448960816,medium
42,6.63,2.38,1.29,0.7320092700592351,medium
43,25.77,14.0,0.09,0.06648978449695682,incorrect
44,8.63,2.94,1.17,0.6229849011411921,medium
45,29.2,14.18,0.46,0.18306118884947578,incorrect
46,10.61,3.41,1.16,0.5710141312283162,medium
47,40.02,16.58,0.0,0.01709413530731788,incorrect
48,7.46,2.35,1.09,0.6481231769252945,medium
49,38.48,16.39,0.01,0.02161008066065744,incorrect
50,6.73,2.61,1.25,0.7043186727698133,medium
51,7.88,2.48,1.19,0.6652137581914381,medium
52,38.87,18.3,0.04,0.0307704381638127,incorrect
53,7.54,2.54,0.97,0.5960699623949642,medium
54,9.58,3.51,1.12,0.5716345730009257,medium
55,26.77,15.36,0.0,0.0336772850592632,incorrect
56,27.83,10.96,0.22,0.10790398989947031,incorrect
57,28.64,16.27,0.0,0.029793518208816677,incorrect
58,41.48,16.49,0.0,0.016168588427116205,incorrect
59,10.03,3.35,1.0,0.528332389487599,medium
60,4.5,1.73,1.41,0.8734109621265583,high
61,6.81,2.32,1.06,0.6546174644038985,medium
62,10.37,3.47,1.26,0.6064358334104326,medium
63,7.15,2.22,1.43,0.7763550521064094,medium
64,72.34,20.19,0.0,0.0063692403805511175,incorrect
65,27.69,13.48,0.06,0.05278224727069306,incorrect
66,3.82,1.7,1.07,0.77990335466201,medium
67,23.88,13.08,0.16,0.0951437104510392,incorrect
68,31.25,12.12,0.16,0.08132449434965398,incorrect
69,72.55,20.05,0.0,0.006368853765383383,incorrect
70,74.45,26.02,0.0,0.0053931597875637475,incorrect
71,60.99,24.25,0.0,0.0076215531002189404,incorrect
72,10.37,3.57,1.12,0.5573052231103697,medium
73,6.84,2.72,1.32,0.7200535219130372,medium
74,7.68,2.23,1.1,0.6540197480691052,medium
75,7.58,2.35,0.97,0.605503134667422,medium
76,4.28,1.85,1.43,0.8747967052632454,high
77,10.29,3.54,0.94,0.49926986104171633,medium
78,9.41,2.84,1.06,0.575812493552236,medium
79,5.18,1.99,1.29,0.7938346877907011,medium
80,8.57,3.11,1.16,0.6148748160311083,medium
81,5.16,1.54,1.3,0.8391868518476402,high
82,5.31,1.59,1.35,0.8467299053531351,high
83,6.41,2.02,1.23,0.7409669885677843,medium
84,61.13,17.91,0.0,0.00864438505110116,incorrect
85,27.78,13.63,0.04,0.04585760972520663,incorrect
86,5.88,2.03,1.1,0.7098373063535682,medium
87,5.82,1.85,1.23,0.7691560429156762,medium
88,8.69,2.96,1.13,0.6077594638947142,medium
89,61.85,18.04,0.0,0.008467638548949415,incorrect
90,61.96,18.03,0.0,0.008448645700470683,incorrect
91,34.3,16.96,0.2,0.08853994769358943,incorrect
92,9.63,3.39,1.07,0.5572146632580631,medium
93,10.52,3.75,1.03,0.520970527799706,medium
94,28.84,10.83,0.19,0.096248426720065,incorrect
95,40.97,20.04,0.0,0.01561280578956112,incorrect
96,39.65,16.49,0.0,0.017381439082447454,incorrect
97,9.1,3.09,0.99,0.548885779487786,medium
98,8.71,3.08,1.22,0.6331702886100206,medium
99,38.07,14.05,0.01,0.02291775896717339,incorrect
100,71.74,20.05,0.0,0.006469933725325519,incorrect
101,30.73,12.66,0.04,0.04163846749273712,incorrect
102,11.98,3.71,1.09,0.5217826178939274,medium
103,61.15,17.66,0.0,0.00870605704136571,incorrect
104,6.82,2.42,1.06,0.6486386665387902,medium
105,37.65,16.53,0.23,0.09555485886620892,incorrect
106,32.15,13.16,0.06,0.04605274931757943,incorrect
107,27.69,13.3,0.09,0.0628919525243848,incorrect
108,25.19,14.51,0.01,0.040932363176119826,incorrect
109,62.56,17.29,0.0,0.008532063424655555,incorrect
145,3.99,1.59,1.3,0.8634457545430312,high
