model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,47.14,20.69,0.0,0.012239300254745221,incorrect
2,52.73,21.01,0.0,0.010132731072693224,incorrect
3,47.89,21.03,0.0,0.011867453131245388,incorrect
4,65.55,23.18,0.0,0.006902270738391389,incorrect
5,61.6,23.98,0.0,0.007527390227609219,incorrect
6,46.88,20.62,0.0,0.012364126072369164,incorrect
7,45.74,20.59,0.0,0.012886782591352187,incorrect
8,44.95,13.1,0.0,0.0158217858790814,incorrect
9,52.9,21.12,0.0,0.010062446474654577,incorrect
10,46.68,20.74,0.0,0.012432168776629423,incorrect
11,46.96,14.03,0.0,0.014341622761168973,incorrect
12,61.8,23.01,0.0,0.007599260850779144,incorrect
13,51.8,20.8,0.0,0.010464701315500759,incorrect
14,47.96,20.96,0.0,0.011849893220012597,incorrect
15,52.91,21.08,0.0,0.010065678368599451,incorrect
16,54.85,21.7,0.0,0.00940245789792596,incorrect
17,19.58,11.58,0.84,0.33835832893978285,acceptable
18,48.02,21.12,0.0,0.011799802934375598,incorrect
19,46.41,13.73,0.0,0.014750018430841297,incorrect
20,53.91,21.43,0.0,0.009710775435785116,incorrect
21,35.81,15.32,0.0,0.020944038738618734,incorrect
22,64.42,23.05,0.0,0.0071096681188379356,incorrect
23,53.31,21.22,0.0,0.009921432573582299,incorrect
24,53.69,21.35,0.0,0.009787692926281745,incorrect
25,62.34,21.44,0.0,0.007707560136820201,incorrect
26,65.44,23.48,0.0,0.006885360398227919,incorrect
27,20.09,11.49,0.86,0.3428627480434198,acceptable
28,52.61,20.93,0.0,0.010183187940832547,incorrect
29,62.16,24.23,0.0,0.00739115713708759,incorrect
30,67.69,21.83,0.0,0.006740972786422053,incorrect
31,46.98,20.79,0.0,0.012292008013524779,incorrect
32,48.29,21.0,0.0,0.011709347427823464,incorrect
33,48.42,14.7,0.0,0.013400198076912536,incorrect
34,65.56,23.5,0.0,0.006863171639878982,incorrect
35,63.42,22.08,0.0,0.00741340574080068,incorrect
36,47.61,20.98,0.0,0.011991848333776152,incorrect
37,52.28,20.97,0.0,0.010281353806914174,incorrect
38,63.94,21.86,0.0,0.0073506079908974556,incorrect
39,41.18,18.13,0.0,0.015887692784747793,incorrect
40,51.12,18.05,0.0,0.011254118844700142,incorrect
41,48.5,21.41,0.0,0.011561495803825933,incorrect
42,62.3,21.25,0.0,0.00774425203989251,incorrect
43,46.75,19.77,0.0,0.012574564064523563,incorrect
44,48.37,18.86,0.0,0.012080450689089776,incorrect
45,54.16,21.13,0.0,0.009684334112839102,incorrect
46,53.67,21.25,0.0,0.00980898936381719,incorrect
47,54.21,21.45,0.0,0.009620657881341161,incorrect
48,42.84,17.32,0.0,0.015107031522348756,incorrect
49,46.22,20.45,0.0,0.01268844022934488,incorrect
50,44.49,17.26,0.0,0.014237435051690428,incorrect
51,49.22,21.33,0.0,0.011293538600414163,incorrect
52,48.55,14.76,0.0,0.013320902685904868,incorrect
53,45.79,20.51,0.0,0.012876986216926697,incorrect
