model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,35.53,12.65,0.01,0.026000127662391126,incorrect
2,37.23,16.28,0.0,0.019320361772184203,incorrect
3,51.67,17.4,0.0,0.011241937842091721,incorrect
4,35.93,15.91,0.0,0.020603393289509206,incorrect
5,51.31,17.26,0.0,0.01140206449406781,incorrect
6,36.7,12.84,0.01,0.024791616422766907,incorrect
7,36.07,15.96,0.0,0.020455509005991673,incorrect
8,36.05,16.01,0.0,0.020455904667776536,incorrect
9,36.58,16.08,0.0,0.019951769124942415,incorrect
10,36.13,16.04,0.0,0.020371574611835242,incorrect
11,37.13,16.34,0.0,0.01938460335319488,incorrect
12,36.04,15.93,0.0,0.020494084342533313,incorrect
13,37.04,16.22,0.0,0.019502344247354142,incorrect
14,36.03,12.7,0.03,0.032159838564978754,incorrect
15,37.31,16.3,0.0,0.019246284273632404,incorrect
16,35.73,11.1,0.04,0.0371656145489326,incorrect
17,38.4,16.58,0.0,0.018275828782945935,incorrect
18,54.53,20.22,0.0,0.009731519556510887,incorrect
19,37.25,16.29,0.0,0.019300095397821713,incorrect
20,37.17,16.33,0.0,0.01935405542218099,incorrect
21,37.87,16.43,0.0,0.018742860514213328,incorrect
22,38.92,16.72,0.0,0.01783660920091086,incorrect
23,36.81,16.09,0.0,0.019746267862800475,incorrect
24,51.18,17.17,0.0,0.011472200911911224,incorrect
25,29.98,14.69,0.14,0.07490762794112038,incorrect
26,34.32,10.97,0.14,0.07204951027165961,incorrect
27,52.9,17.79,0.0,0.01074253460801614,incorrect
28,49.09,17.51,0.0,0.012131253527324333,incorrect
29,36.22,15.91,0.0,0.020336334369526088,incorrect
30,38.73,16.66,0.0,0.01799805730620296,incorrect
31,26.34,11.01,0.06,0.05751285653113566,incorrect
32,36.91,16.2,0.0,0.01962101570210555,incorrect
33,37.12,16.25,0.0,0.019423781839406875,incorrect
34,47.89,15.16,0.01,0.01674524428073242,incorrect
35,34.0,11.05,0.13,0.06897241830328159,incorrect
36,37.74,16.41,0.0,0.01885453007735571,incorrect
37,36.15,13.26,0.0,0.021675075073773236,incorrect
38,51.42,17.34,0.0,0.011342192475674797,incorrect
39,36.37,16.02,0.0,0.020160684131839874,incorrect
40,36.21,15.98,0.0,0.02031999528569498,incorrect
41,41.54,18.43,0.0,0.015589369847467187,incorrect
42,52.39,17.75,0.0,0.010912999683761124,incorrect
43,34.0,16.5,0.0,0.02234008357441337,incorrect
44,51.84,17.54,0.0,0.011147120659872589,incorrect
45,36.88,16.18,0.0,0.019653909768824748,incorrect
46,36.15,16.03,0.0,0.020356824860572307,incorrect
47,34.23,11.27,0.09,0.05516261020375476,incorrect
48,49.22,19.55,0.0,0.011604012637625128,incorrect
49,27.44,8.34,0.56,0.22629625123399724,incorrect
50,51.56,17.44,0.0,0.011267277306096092,incorrect
51,37.89,11.76,0.09,0.05130768748226296,incorrect
52,55.74,17.78,0.0,0.009930974157891409,incorrect
53,51.4,17.47,0.0,0.011312468432228008,incorrect
54,37.06,16.25,0.0,0.019474910823998253,incorrect
55,37.07,16.19,0.0,0.019487107849253327,incorrect
56,35.68,12.53,0.03,0.03261121558377185,incorrect
57,49.44,19.85,0.0,0.011462565358411865,incorrect
58,51.54,17.55,0.0,0.011243576078499367,incorrect
59,36.35,16.05,0.0,0.02016797535315044,incorrect
60,56.41,17.82,0.0,0.009745576545051579,incorrect
61,39.06,13.27,0.05,0.03594359678406336,incorrect
62,36.7,16.17,0.0,0.019814308965196026,incorrect
63,37.4,16.33,0.0,0.01916091610515599,incorrect
64,36.9,16.17,0.0,0.019640091209049356,incorrect
65,36.25,16.01,0.0,0.020272792867917822,incorrect
66,34.91,11.14,0.06,0.0445913061927013,incorrect
67,36.29,16.09,0.0,0.020207984321020705,incorrect
68,26.27,11.09,0.08,0.0642456391022194,incorrect
69,36.5,16.04,0.0,0.020037086253485572,incorrect
70,36.38,15.99,0.0,0.020162471629603124,incorrect
71,35.13,11.13,0.13,0.06771507718262369,incorrect
72,35.99,16.03,0.0,0.02050422188791236,incorrect
73,26.99,15.53,0.01,0.036491758930345536,incorrect
74,51.06,18.88,0.0,0.011079277382588475,incorrect
75,35.16,11.55,0.11,0.060601141433752524,incorrect
76,36.49,16.13,0.0,0.020014119308542647,incorrect
77,20.07,11.15,0.0,0.05662135274939454,incorrect
78,36.13,13.91,0.23,0.09798007032684695,incorrect
79,38.17,16.61,0.0,0.018445450254324616,incorrect
80,37.63,16.42,0.0,0.018940841234500048,incorrect
81,36.22,16.09,0.0,0.020271556023452448,incorrect
82,37.24,16.3,0.0,0.01930510913753934,incorrect
83,38.37,15.39,0.0,0.018729629932128507,incorrect
84,36.63,12.91,0.01,0.024805332095255286,incorrect
85,51.47,17.71,0.0,0.011223789657862242,incorrect
86,45.5,16.92,0.0,0.01384008777234664,incorrect
87,49.84,17.11,0.0,0.011963613325678071,incorrect
88,52.26,17.53,0.0,0.011013753639770326,incorrect
89,37.75,16.41,0.0,0.018846416728779597,incorrect
90,31.9,15.37,0.0,0.025242466274935125,incorrect
91,30.91,13.77,0.0,0.027343746518619552,incorrect
92,35.99,14.86,0.0,0.02097300438162462,incorrect
93,43.62,13.44,0.03,0.026295343519156508,incorrect
94,37.46,16.36,0.0,0.0191009440678446,incorrect
95,21.07,11.18,0.01,0.05588309921074524,incorrect
96,54.64,20.2,0.0,0.009704060757201137,incorrect
97,51.22,17.41,0.0,0.011389986669015447,incorrect
98,36.51,11.23,0.15,0.07298116544938689,incorrect
99,42.65,14.46,0.0,0.016282687986101965,incorrect
100,37.54,16.32,0.0,0.019048364394824865,incorrect
569,3.75,1.49,0.89,0.7434730092769755,medium
2237,3.79,1.52,0.8,0.7091791900109222,medium
2918,4.98,1.62,0.7,0.6353512742122289,medium
3701,4.48,1.68,0.86,0.6953925334287024,medium
4155,3.7,1.23,0.9,0.7795486305790881,medium
4915,4.02,1.72,0.8,0.683068673414401,medium
4925,2.75,1.15,0.87,0.8016859095234103,high
6114,4.9,1.79,0.9,0.6877016864865881,medium
6624,4.53,1.55,0.97,0.7441370702111262,medium
10156,4.18,1.68,0.85,0.6996128557660314,medium
