model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,25.57,15.91,0.12,0.07610603535478225,incorrect
2,61.82,20.31,0.0,0.007993123630187289,incorrect
3,53.56,20.56,0.0,0.009953894431179737,incorrect
4,26.07,13.77,0.05,0.05260589374553725,incorrect
5,19.62,11.14,0.12,0.09861226356238033,incorrect
6,25.82,13.37,0.07,0.06006932856793154,incorrect
7,27.82,16.81,0.0,0.031093673750146725,incorrect
8,20.18,11.3,0.06,0.07599966811406064,incorrect
9,52.24,17.75,0.01,0.01429423224124611,incorrect
10,25.87,15.88,0.15,0.0854267370551199,incorrect
11,48.12,19.26,0.0,0.012095717805485857,incorrect
12,19.95,9.59,0.04,0.07250720830592174,incorrect
13,24.88,15.89,0.23,0.1144503602226734,incorrect
14,61.76,22.21,0.0,0.007710106216006915,incorrect
15,24.01,12.75,0.05,0.05834110293209633,incorrect
16,20.13,11.37,0.04,0.06947538554708474,incorrect
17,20.92,12.49,0.09,0.08197115026187515,incorrect
18,55.09,20.93,0.0,0.009454246245153399,incorrect
19,22.4,12.45,0.13,0.09005902863313715,incorrect
20,26.31,13.44,0.05,0.05227110382718289,incorrect
21,25.19,15.89,0.19,0.10035191721972142,incorrect
22,23.85,15.53,0.07,0.06398154361098064,incorrect
23,50.82,18.84,0.0,0.011170890391800518,incorrect
24,20.61,9.79,0.04,0.06943430958971941,incorrect
25,25.55,15.15,0.04,0.04978525062898659,incorrect
26,26.39,15.89,0.19,0.09760816800842766,incorrect
27,19.29,12.77,0.22,0.13206842713943331,incorrect
28,28.28,15.84,0.14,0.07724750696545456,incorrect
29,57.96,20.69,0.0,0.008760946811689858,incorrect
30,31.18,12.42,0.11,0.06451735873688462,incorrect
31,61.71,22.51,0.0,0.007680068137082718,incorrect
32,11.66,3.89,0.33,0.26881875614676404,acceptable
33,22.97,12.82,0.14,0.09131592983453052,incorrect
34,61.66,22.11,0.0,0.007743505493369719,incorrect
35,28.65,14.55,0.01,0.033805613243795836,incorrect
36,17.98,10.97,0.04,0.08033994628313053,incorrect
37,50.36,20.73,0.0,0.01096924289570738,incorrect
38,18.56,7.79,0.09,0.09970933099027106,incorrect
39,17.9,11.11,0.04,0.0806345789471178,incorrect
40,26.81,14.99,0.02,0.04041704523302138,incorrect
41,23.4,13.23,0.07,0.06641985330035402,incorrect
42,27.6,14.79,0.01,0.035603641333815196,incorrect
43,20.22,9.25,0.04,0.07193331789732352,incorrect
44,23.94,11.63,0.35,0.15943782484162058,incorrect
45,22.89,12.36,0.12,0.08523267773902725,incorrect
46,24.8,12.47,0.03,0.04979533750210216,incorrect
47,22.5,12.79,0.17,0.10281991281373161,incorrect
48,25.46,15.89,0.17,0.09303846401447331,incorrect
49,24.92,15.91,0.15,0.08767625357615356,incorrect
50,27.04,10.11,0.12,0.07715596999590248,incorrect
51,20.89,10.1,0.04,0.06787517727208156,incorrect
52,50.85,18.85,0.0,0.011158267745677618,incorrect
53,49.16,19.37,0.0,0.011663114399844425,incorrect
54,25.43,15.95,0.05,0.05308753466290316,incorrect
55,26.76,14.22,0.01,0.03755069121775168,incorrect
56,48.88,19.4,0.0,0.011764919797465079,incorrect
57,20.27,13.45,0.21,0.12394423775510999,incorrect
58,51.13,19.12,0.0,0.011003502648314784,incorrect
59,27.5,14.45,0.02,0.03928888270987136,incorrect
60,25.55,13.37,0.08,0.06402614062841212,incorrect
61,26.28,13.72,0.05,0.05217253341259015,incorrect
62,19.3,12.8,0.26,0.145333779985554,incorrect
63,22.31,12.55,0.14,0.09361392123306085,incorrect
64,20.13,11.23,0.08,0.0829492730176997,incorrect
65,26.98,15.95,0.14,0.07968666172584052,incorrect
66,21.85,12.92,0.1,0.08158054380933515,incorrect
67,21.59,12.48,0.1,0.08281327895209341,incorrect
68,52.02,17.7,0.01,0.014378486565341934,incorrect
69,24.98,15.92,0.12,0.07752321200826058,incorrect
70,51.93,17.89,0.0,0.011024572239213418,incorrect
71,61.78,21.8,0.0,0.007763364432684844,incorrect
72,30.96,13.73,0.16,0.08062928957519856,incorrect
73,19.29,12.94,0.18,0.11861824782394974,incorrect
74,16.85,7.19,0.13,0.12485314809734092,incorrect
75,58.09,16.17,0.0,0.00983130097965204,incorrect
76,52.03,14.14,0.01,0.015707753333070267,incorrect
77,51.21,19.16,0.0,0.01096781340499157,incorrect
78,52.52,19.3,0.0,0.010509594344664452,incorrect
79,31.42,17.52,0.0,0.025157180123188818,incorrect
80,61.79,22.32,0.0,0.007689387797599956,incorrect
81,58.04,19.24,0.0,0.009012969137549292,incorrect
82,54.47,20.8,0.0,0.009648727911821009,incorrect
83,24.79,12.44,0.01,0.04317660170168169,incorrect
84,20.74,11.45,0.06,0.07356099164518685,incorrect
85,20.84,11.39,0.08,0.07989257217428851,incorrect
86,28.87,16.16,0.0,0.029437488768786147,incorrect
87,23.58,14.37,0.09,0.07192586362327628,incorrect
88,20.87,12.08,0.04,0.06582103212543884,incorrect
89,28.0,14.55,0.04,0.04496530499086664,incorrect
90,22.27,12.58,0.13,0.09039113821356799,incorrect
91,26.9,14.34,0.01,0.03720185295992156,incorrect
92,23.58,14.17,0.02,0.0486935360035397,incorrect
93,60.09,20.84,0.0,0.008256944380561432,incorrect
94,26.77,15.89,0.13,0.0768058882125096,incorrect
95,55.35,21.14,0.0,0.009349768856134056,incorrect
96,23.87,14.32,0.01,0.0444624704703022,incorrect
97,21.27,12.54,0.1,0.08393797016485786,incorrect
98,20.01,8.01,0.34,0.17558062725870197,incorrect
99,50.92,17.17,0.01,0.014894656343586997,incorrect
100,25.28,15.09,0.18,0.09711830583750541,incorrect
21732,4.11,2.44,0.5,0.5282578372379602,medium
24478,3.33,2.23,0.39,0.5228171052880226,medium
36040,3.54,2.07,0.4,0.5321649393910776,medium
36160,1.19,2.08,0.36,0.5609697496332591,medium
37364,4.41,2.65,0.42,0.4835215474400308,acceptable
52383,4.11,3.13,0.42,0.4724245731276224,acceptable
69598,1.75,2.24,0.35,0.539643120945218,medium
70929,3.74,2.29,0.32,0.48601259812619474,acceptable
72230,3.45,2.31,0.35,0.5017184800425696,medium
78198,2.4,2.01,0.35,0.5446227591135867,medium
