model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,48.7,18.81,0.0,0.011960656775937857,incorrect
2,52.53,16.82,0.0,0.01113513056190355,incorrect
3,26.98,15.54,0.0,0.03317478496075205,incorrect
4,48.81,19.0,0.0,0.011875939891239943,incorrect
5,28.31,15.29,0.3,0.13074207741431562,incorrect
6,53.74,16.83,0.0,0.010762588562927325,incorrect
7,26.14,15.82,0.0,0.034845284801479436,incorrect
8,50.13,17.33,0.03,0.02179430045729597,incorrect
9,54.95,21.77,0.0,0.009364566211549288,incorrect
10,51.14,19.91,0.0,0.01084238625532743,incorrect
11,24.86,14.47,0.0,0.03843365528083629,incorrect
12,27.79,16.63,0.0,0.031206743048045386,incorrect
13,47.64,18.68,0.0,0.01241960738488925,incorrect
14,63.92,21.2,0.0,0.007452455440239568,incorrect
15,52.25,16.95,0.0,0.011184296525478303,incorrect
16,50.63,19.11,0.0,0.011178679563643488,incorrect
17,53.82,17.13,0.0,0.010648495004218534,incorrect
18,49.42,16.87,0.05,0.02885875496908724,incorrect
19,47.92,18.66,0.0,0.012307984046351578,incorrect
20,17.25,8.09,0.77,0.33286835580257684,acceptable
21,24.82,14.53,0.0,0.03850548861814288,incorrect
22,25.65,15.66,0.0,0.036013552983528097,incorrect
23,56.35,18.33,0.0,0.009633163104283912,incorrect
24,48.8,18.95,0.0,0.011890684817466607,incorrect
25,49.62,19.12,0.0,0.011541615302572986,incorrect
26,59.61,26.26,0.0,0.0077266442927159465,incorrect
27,26.31,16.14,0.0,0.03435789672271043,incorrect
28,48.97,18.92,0.0,0.011831192027913199,incorrect
29,30.95,15.76,0.0,0.02637090331426818,incorrect
30,50.28,18.86,0.0,0.011356917738275754,incorrect
31,26.44,16.09,0.0,0.034095428061824154,incorrect
32,70.62,24.58,0.0,0.005996837662996854,incorrect
33,28.45,15.26,0.3,0.13050602195587332,incorrect
34,52.2,17.19,0.0,0.011129063551645944,incorrect
35,50.24,20.25,0.0,0.011095002491456186,incorrect
36,18.02,8.54,0.85,0.353977009975966,acceptable
37,25.14,12.37,0.0,0.03902657677259576,incorrect
38,14.56,8.61,0.12,0.13454684898049046,incorrect
39,26.12,14.86,0.03,0.045281586743900044,incorrect
40,55.15,20.23,0.0,0.00955704241518401,incorrect
41,24.92,14.54,0.0,0.03824965530722838,incorrect
42,37.23,17.03,0.0,0.01908051632925793,incorrect
43,47.66,18.73,0.0,0.012399929907639573,incorrect
44,55.51,11.94,0.0,0.012815822023532543,incorrect
45,50.68,20.76,0.0,0.010851205367118864,incorrect
46,24.02,16.01,0.0,0.03999691294008635,incorrect
47,32.79,12.16,0.0,0.025985009328296158,incorrect
48,49.77,15.05,0.22,0.08605901302795034,incorrect
49,50.08,17.08,0.05,0.028551589608619848,incorrect
50,50.79,20.38,0.0,0.010877628814602221,incorrect
51,25.94,15.18,0.03,0.04554410360534963,incorrect
52,57.36,12.63,0.0,0.011798801628114898,incorrect
53,52.29,17.78,0.08,0.0376036418245159,incorrect
54,29.79,11.3,0.6,0.23086669663026269,acceptable
55,58.25,17.01,0.0,0.009521933947439007,incorrect
56,52.5,25.74,0.0,0.009642687695117383,incorrect
57,26.07,15.51,0.0,0.035119019398426765,incorrect
58,49.74,14.93,0.2,0.07945580945048658,incorrect
59,24.45,12.66,0.03,0.05055711487458677,incorrect
60,47.54,18.63,0.0,0.01247298053498475,incorrect
61,48.8,19.05,0.0,0.011869085525356008,incorrect
62,30.28,15.32,0.08,0.054179894773647506,incorrect
63,50.7,20.44,0.0,0.010898545471719576,incorrect
64,59.86,19.12,0.0,0.008627317255555227,incorrect
65,27.18,15.83,0.0,0.032662076572832564,incorrect
66,52.01,25.51,0.0,0.00982004981891049,incorrect
67,55.95,20.83,0.0,0.009239444098627848,incorrect
68,47.5,18.63,0.0,0.01248983915659927,incorrect
69,55.21,20.44,0.0,0.009503571127249729,incorrect
70,28.51,16.69,0.0,0.02988153284649808,incorrect
71,46.46,16.66,0.0,0.013476349564499947,incorrect
72,52.41,17.49,0.08,0.03764358804302006,incorrect
73,43.91,17.2,0.0,0.014555650019069022,incorrect
74,27.88,15.29,0.4,0.16485936845661658,incorrect
75,52.13,17.42,0.08,0.03775267945622574,incorrect
76,59.12,21.02,0.0,0.008439747563076704,incorrect
77,26.5,15.5,0.0,0.03418811382579161,incorrect
78,17.13,8.26,0.77,0.3331661419253153,acceptable
79,53.17,21.58,0.0,0.00990935355985035,incorrect
80,50.86,17.58,0.0,0.01146652712853106,incorrect
81,55.5,20.3,0.0,0.009449547239270209,incorrect
82,61.92,22.21,0.0,0.007678715413079156,incorrect
83,71.49,22.82,0.0,0.006080566059431673,incorrect
84,51.1,20.23,0.0,0.010797319026108865,incorrect
85,55.48,22.01,0.0,0.009185843824147381,incorrect
86,61.33,22.06,0.0,0.007816216829658933,incorrect
87,49.53,19.01,0.0,0.011598710873060775,incorrect
88,48.82,18.91,0.0,0.011891616132227452,incorrect
89,58.35,21.31,0.0,0.008569941384084923,incorrect
90,43.8,13.41,0.03,0.02621709430061193,incorrect
91,58.5,22.45,0.0,0.008373256490165007,incorrect
92,22.26,11.74,0.22,0.12110584566297018,incorrect
93,27.09,15.63,0.0,0.03291770616700209,incorrect
94,50.13,15.13,0.17,0.06922668391554748,incorrect
95,62.09,22.18,0.0,0.007649700098596206,incorrect
96,65.12,20.22,0.0,0.007408449949250205,incorrect
97,45.21,16.39,0.0,0.014149225790152584,incorrect
98,55.26,20.38,0.0,0.00950040550279197,incorrect
99,43.24,17.13,0.0,0.014938105907152228,incorrect
100,15.19,7.65,1.02,0.43182770294108946,acceptable
192572,4.9,3.33,0.9,0.6064169818284327,medium
