model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,44.35,13.85,0.0,0.015674881432825843,incorrect
2,30.22,10.57,0.18,0.09101811557451185,incorrect
3,33.45,13.73,0.1,0.05748342927996525,incorrect
4,49.06,16.35,0.0,0.01249659818406471,incorrect
5,42.17,17.33,0.04,0.028826112024805468,incorrect
6,25.66,9.63,0.37,0.16418907132087276,incorrect
7,49.69,16.46,0.0,0.012222031554528015,incorrect
8,45.35,18.68,0.0,0.013448299090894204,incorrect
9,35.39,13.32,0.06,0.04235445191087948,incorrect
10,5.77,2.4,0.79,0.585151545082527,medium
11,41.06,14.87,0.04,0.030388964464079862,incorrect
12,19.19,11.98,0.11,0.09648370743255841,incorrect
13,47.18,18.9,0.0,0.012565667702508386,incorrect
14,47.11,18.2,0.0,0.012758330003084324,incorrect
15,40.44,18.09,0.04,0.029712777596095166,incorrect
16,42.17,16.31,0.0,0.015809817908629776,incorrect
17,39.13,17.76,0.06,0.03738105928065206,incorrect
18,46.28,16.88,0.0,0.013488875826391142,incorrect
19,42.8,16.58,0.0,0.015354362629577288,incorrect
20,25.5,9.45,0.4,0.17485868763824033,incorrect
21,44.54,13.78,0.0,0.015616768856699914,incorrect
22,39.79,14.49,0.01,0.021415086505257697,incorrect
23,48.58,16.39,0.0,0.012670334014306743,incorrect
24,32.13,10.79,0.07,0.0514561849465924,incorrect
25,45.28,18.56,0.0,0.013509636839611684,incorrect
26,41.42,16.12,0.0,0.016331887523563605,incorrect
27,42.09,16.37,0.0,0.015837109828049815,incorrect
28,47.27,18.97,0.0,0.012511776131700791,incorrect
29,54.28,18.78,0.0,0.010091438477038932,incorrect
30,54.62,17.55,0.0,0.010299103822640768,incorrect
31,22.94,13.46,0.22,0.11766219169472929,incorrect
32,37.29,15.43,0.06,0.039584571069685215,incorrect
33,44.21,13.65,0.0,0.015859843918737872,incorrect
34,46.97,14.84,0.0,0.013941296093581588,incorrect
35,40.18,14.62,0.02,0.02441750184731623,incorrect
36,47.18,18.92,0.0,0.012561286445479875,incorrect
37,41.17,14.04,0.06,0.037389635259537875,incorrect
38,22.57,14.43,0.67,0.26830155264681804,acceptable
39,37.52,15.2,0.11,0.056154067555153196,incorrect
40,31.63,16.89,0.24,0.10505948648861119,incorrect
41,47.84,19.87,0.0,0.012089695146214522,incorrect
42,45.08,15.87,0.0,0.01439548248993123,incorrect
43,36.98,15.4,0.07,0.04319323865397664,incorrect
44,39.02,16.94,0.06,0.03769430267869445,incorrect
45,44.12,13.86,0.0,0.0157884100893841,incorrect
46,46.27,18.97,0.0,0.012953050720865987,incorrect
47,4.34,2.02,0.83,0.6595458935755897,medium
48,18.36,11.01,0.0,0.0649089492856353,incorrect
49,40.57,14.88,0.02,0.024036716109836653,incorrect
50,21.33,13.76,0.54,0.2295946090091505,incorrect
51,31.76,10.88,0.12,0.06849748173193448,incorrect
52,39.92,14.62,0.01,0.02126267400740663,incorrect
