model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,95.07,35.97,0.0,0.003222117176265346,incorrect
2,91.03,31.63,0.0,0.0036292010857272594,incorrect
3,92.46,34.03,0.0,0.0034399228012301653,incorrect
4,69.59,26.87,0.0,0.005935506499522357,incorrect
5,91.6,31.66,0.0,0.0035923461131479495,incorrect
6,92.62,32.56,0.0,0.0034899168614058226,incorrect
7,92.24,30.04,0.0,0.0036358107841554066,incorrect
8,75.25,24.18,0.0,0.005477350012871345,incorrect
9,67.76,19.31,0.0,0.007163360681141419,incorrect
10,91.56,29.97,0.0,0.003681166298990918,incorrect
11,83.64,30.86,0.0,0.004193102318788471,incorrect
12,68.98,19.2,0.0,0.007007854075295347,incorrect
13,62.83,26.04,0.0,0.007093492815492235,incorrect
14,94.56,35.88,0.0,0.0032533808764565017,incorrect
15,79.63,32.14,0.0,0.004479760214498385,incorrect
16,91.5,29.68,0.0,0.0037011854731769495,incorrect
17,64.86,22.04,0.0,0.007165019224339706,incorrect
18,69.15,20.15,0.0,0.006798580224066885,incorrect
19,69.38,25.92,0.0,0.006041816560531454,incorrect
20,59.68,26.01,0.0,0.0077322508252563584,incorrect
21,69.44,20.08,0.0,0.006770594517641701,incorrect
22,66.81,18.9,0.0,0.007396043422355732,incorrect
23,93.83,35.53,0.0,0.003306270234551651,incorrect
24,63.01,30.15,0.0,0.00678054459026086,incorrect
25,70.76,20.53,0.0,0.00651152587012339,incorrect
26,98.07,30.97,0.0,0.0032655062751468177,incorrect
27,65.13,23.36,0.0,0.006951147320387496,incorrect
28,66.64,20.94,0.0,0.0070379786593730695,incorrect
29,95.81,31.38,0.0,0.003363008866605467,incorrect
30,94.95,36.36,0.0,0.003216423946849987,incorrect
31,93.28,35.26,0.0,0.003347196598159618,incorrect
32,63.19,28.68,0.0,0.006833549460085433,incorrect
33,95.87,36.31,0.0,0.0031677587283524453,incorrect
34,56.68,25.46,0.0,0.008484616016263673,incorrect
35,97.71,28.73,0.0,0.0034097626883409413,incorrect
36,94.58,32.0,0.0,0.0034015114766157545,incorrect
37,72.42,26.99,0.0,0.0055559751628954344,incorrect
38,85.56,23.78,0.0,0.004578721127004038,incorrect
39,92.46,29.18,0.0,0.0036720388823122635,incorrect
40,59.35,25.99,0.0,0.007806364706420588,incorrect
41,93.34,32.75,0.0,0.0034393344990092008,incorrect
42,60.48,26.94,0.0,0.007486719094833543,incorrect
43,71.59,27.26,0.0,0.005639975064689432,incorrect
44,97.22,36.5,0.0,0.003090713403787646,incorrect
45,62.35,16.27,0.0,0.008891378370392318,incorrect
46,68.44,24.64,0.0,0.00629423709133188,incorrect
47,95.03,36.43,0.0,0.003209828674090026,incorrect
48,71.54,24.0,0.0,0.005937152714635035,incorrect
49,62.82,18.62,0.0,0.008142240419341586,incorrect
50,65.16,26.58,0.0,0.006635536606254513,incorrect
51,55.95,19.45,0.0,0.009490627194243423,incorrect
52,35.24,15.44,0.36,0.1414434012410644,incorrect
53,67.57,18.87,0.0,0.007285723085045191,incorrect
54,68.79,19.35,0.0,0.007003975309168658,incorrect
55,95.8,31.39,0.0,0.00336306509815278,incorrect
56,67.4,27.55,0.0,0.006203697561459277,incorrect
57,55.77,18.38,0.0,0.009772723780047963,incorrect
58,63.31,19.9,0.0,0.007785382192014499,incorrect
59,94.74,35.41,0.0,0.0032588318885280756,incorrect
60,69.93,23.01,0.0,0.006263651833398848,incorrect
61,68.51,19.57,0.0,0.0070001561257243055,incorrect
62,51.18,14.86,0.0,0.01230962842434911,incorrect
63,96.05,30.84,0.0,0.003376898761203713,incorrect
64,81.78,26.33,0.0,0.004640839765857251,incorrect
65,65.73,23.73,0.0,0.006809183855297186,incorrect
66,95.29,39.35,0.0,0.003115019410198308,incorrect
67,93.48,37.08,0.0,0.0032779926417225353,incorrect
68,73.15,20.11,0.0,0.006285103085109752,incorrect
69,71.91,27.46,0.0,0.0055848328773200695,incorrect
70,97.83,24.83,0.0,0.0037095691091841815,incorrect
71,94.04,36.91,0.0,0.0032508181030543354,incorrect
72,61.99,25.54,0.0,0.007297378063893429,incorrect
73,60.58,17.21,0.0,0.008948749312355076,incorrect
74,68.15,19.49,0.0,0.007068785823928386,incorrect
75,65.99,24.07,0.0,0.006729701343405868,incorrect
76,91.36,31.96,0.0,0.0035932697433688405,incorrect
77,66.2,22.48,0.0,0.006883827363356511,incorrect
78,70.51,23.7,0.0,0.006104663565542544,incorrect
79,69.53,29.1,0.0,0.005791613608763836,incorrect
80,66.75,27.55,0.0,0.006304196054550649,incorrect
81,67.91,28.22,0.0,0.00608071884689712,incorrect
82,84.47,30.8,0.0,0.004130193554163961,incorrect
83,67.58,19.08,0.0,0.007238671721143686,incorrect
84,93.85,33.63,0.0,0.0033738918038755915,incorrect
85,94.29,36.11,0.0,0.0032612086336645915,incorrect
86,72.41,23.45,0.0,0.005889130884323609,incorrect
87,70.31,23.84,0.0,0.00611596156764898,incorrect
88,56.98,23.07,0.0,0.00865951281978499,incorrect
89,94.13,23.18,0.0,0.004086099896404674,incorrect
90,67.12,13.96,0.0,0.009065985500524657,incorrect
91,97.25,25.08,0.0,0.003715263867415054,incorrect
92,95.48,36.58,0.0,0.0031805352952026015,incorrect
93,70.52,23.64,0.0,0.006110061270283137,incorrect
94,69.94,20.28,0.0,0.00666540146117152,incorrect
95,92.78,32.5,0.0,0.0034830064566702726,incorrect
96,62.22,19.91,0.0,0.007988285982793969,incorrect
97,27.19,10.97,0.31,0.13912710859539526,incorrect
98,94.99,35.9,0.0,0.003228791156865489,incorrect
99,67.43,19.1,0.0,0.00725717198899746,incorrect
100,95.15,36.11,0.0,0.0032132385177141916,incorrect
258913,2.2,0.84,0.8,0.8328276628753365,high
277251,2.67,1.19,0.98,0.8346409040859889,high
404579,4.8,1.29,0.82,0.7176855221630124,medium
484304,3.72,1.2,0.78,0.7430032339984957,medium
