model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,47.5,18.38,0.0,0.012548252812334149,incorrect
2,47.67,18.42,0.0,0.012467379557422593,incorrect
3,47.44,18.36,0.0,0.012578392965090564,incorrect
4,55.0,16.96,0.0,0.010362888980345838,incorrect
5,51.38,19.09,0.0,0.010925170373885901,incorrect
6,54.49,17.05,0.0,0.01047861815060786,incorrect
7,56.56,17.41,0.0,0.009818176509565001,incorrect
8,51.07,17.87,0.0,0.011317179013370766,incorrect
9,47.2,17.55,0.0,0.012887990612390154,incorrect
10,52.44,18.19,0.0,0.010784920569918791,incorrect
11,52.03,17.98,0.0,0.01096896268730124,incorrect
12,52.48,18.45,0.0,0.010709656261633255,incorrect
13,51.8,17.94,0.0,0.011054273568952423,incorrect
14,67.85,21.63,0.0,0.006745935714756489,incorrect
15,49.41,15.23,0.0,0.012783570250201902,incorrect
16,52.34,18.12,0.0,0.010834030951861731,incorrect
17,67.86,21.62,0.0,0.0067459103879882664,incorrect
18,52.81,15.45,0.0,0.011530019474516052,incorrect
19,52.14,17.96,0.0,0.010938484003200653,incorrect
20,50.95,17.69,0.0,0.011405767262605232,incorrect
21,52.91,18.28,0.0,0.010615817942184287,incorrect
22,51.63,18.04,0.0,0.01108499455590837,incorrect
23,47.63,16.94,0.0,0.012881450362963405,incorrect
24,55.21,18.22,0.0,0.009962083817132246,incorrect
25,46.95,17.3,0.0,0.013066093593068396,incorrect
26,52.05,18.24,0.0,0.010897701824297975,incorrect
27,53.12,15.09,0.0,0.011583323827446942,incorrect
28,51.19,17.81,0.0,0.011291861357244406,incorrect
29,51.25,17.8,0.0,0.011274111898962406,incorrect
30,50.15,17.54,0.0,0.011728509889159076,incorrect
31,58.07,17.85,0.0,0.009329453651689775,incorrect
32,50.67,18.79,0.0,0.011234323748859992,incorrect
33,47.44,17.17,0.0,0.012892969496979103,incorrect
34,50.74,17.81,0.0,0.011446860001611457,incorrect
35,51.88,18.12,0.0,0.010982606862583276,incorrect
36,52.79,14.95,0.0,0.011745813142359887,incorrect
37,50.59,13.45,0.0,0.013246548260226703,incorrect
38,56.14,16.59,0.0,0.010173049335268754,incorrect
39,51.88,17.88,0.0,0.011043492067900089,incorrect
40,52.88,15.23,0.0,0.011598014901231156,incorrect
41,47.15,17.44,0.0,0.01293987610980936,incorrect
42,51.69,18.07,0.0,0.011057581666600202,incorrect
43,51.86,19.19,0.0,0.010744701960915851,incorrect
44,51.86,17.94,0.0,0.011034590074473652,incorrect
45,52.96,15.04,0.0,0.011653925644090998,incorrect
46,53.17,15.04,0.0,0.011589576992331064,incorrect
47,52.26,18.3,0.0,0.010815483896968974,incorrect
48,46.63,17.15,0.0,0.013250468905244025,incorrect
49,52.39,18.1,0.0,0.010823091001532203,incorrect
50,47.14,16.71,0.0,0.013160979506245209,incorrect
51,55.0,19.98,0.0,0.009643940829210156,incorrect
52,55.79,16.62,0.0,0.0102552682490861,incorrect
53,51.1,18.96,0.0,0.011048092097050502,incorrect
54,54.79,19.38,0.0,0.009819028074628054,incorrect
55,67.72,21.45,0.0,0.006792179548225442,incorrect
56,56.6,19.26,0.0,0.009361530468127948,incorrect
57,50.05,18.65,0.0,0.011486989929894664,incorrect
58,54.86,17.26,0.0,0.010313207910042818,incorrect
59,46.61,17.1,0.0,0.013274081637281525,incorrect
60,49.88,15.28,0.0,0.012588208229744711,incorrect
61,58.13,19.77,0.0,0.008885849493409313,incorrect
62,53.92,18.04,0.0,0.010371433261840311,incorrect
63,50.65,17.7,0.0,0.011507402214114762,incorrect
64,49.76,17.19,0.0,0.011969641436568637,incorrect
65,46.74,17.23,0.0,0.013178415877658792,incorrect
66,50.57,17.39,0.0,0.011620385002651565,incorrect
67,52.9,18.41,0.0,0.01058774141890514,incorrect
68,51.6,17.15,0.0,0.011336817265649944,incorrect
69,48.66,17.72,0.0,0.012241587623209288,incorrect
70,53.32,18.3,0.0,0.010485687066016216,incorrect
71,51.15,19.05,0.0,0.011011601945610345,incorrect
72,50.19,17.69,0.0,0.011673515810717442,incorrect
73,51.07,17.83,0.0,0.01132758122158331,incorrect
74,55.35,17.01,0.0,0.010252050381884816,incorrect
75,53.25,17.78,0.0,0.010637972955715941,incorrect
76,52.25,18.2,0.0,0.010843035673226892,incorrect
77,56.88,19.7,0.0,0.009202647144658977,incorrect
78,65.89,21.64,0.0,0.007050357991180368,incorrect
79,67.34,21.05,0.0,0.006911695954826253,incorrect
80,46.82,17.08,0.0,0.013187037441987843,incorrect
81,50.82,17.62,0.0,0.011469555010926889,incorrect
82,48.23,18.71,0.0,0.012170270336111016,incorrect
83,57.86,17.85,0.0,0.009379226379919106,incorrect
84,51.38,18.08,0.0,0.011158470144245224,incorrect
85,48.62,17.66,0.0,0.012273379246944724,incorrect
86,50.39,17.83,0.0,0.011564963249398949,incorrect
87,52.49,19.31,0.0,0.010517014117457694,incorrect
88,46.39,16.54,0.0,0.013546612435955374,incorrect
89,50.39,17.48,0.0,0.011659020497096948,incorrect
90,48.19,17.14,0.0,0.01259119208384749,incorrect
91,47.6,17.12,0.0,0.012840191089346946,incorrect
92,56.19,18.5,0.0,0.00963421031613258,incorrect
93,55.79,17.1,0.0,0.010107328933456427,incorrect
