model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,58.33,15.55,0.0,0.010004285148930096,incorrect
2,58.38,15.63,0.0,0.00996157236124813,incorrect
3,56.06,22.58,0.0,0.00895552885466866,incorrect
4,54.25,13.32,0.0,0.0121612745706046,incorrect
5,49.16,20.09,0.01,0.014857349773406296,incorrect
6,54.16,13.23,0.0,0.012243465346992893,incorrect
7,59.05,15.73,0.0,0.009770402173143275,incorrect
8,45.83,20.35,0.0,0.012886101916652232,incorrect
9,44.91,12.58,0.15,0.06620048051727284,incorrect
10,59.23,15.69,0.0,0.009745362387300125,incorrect
11,54.01,17.93,0.0,0.010373141920899736,incorrect
12,58.33,15.5,0.0,0.01002395938456281,incorrect
13,47.5,18.66,0.22,0.08581631883460245,incorrect
14,58.42,15.71,0.0,0.009921672724492814,incorrect
15,55.32,13.91,0.0,0.011519736903161616,incorrect
16,45.16,15.9,0.11,0.05101199645981369,incorrect
17,48.9,20.25,0.01,0.014928564576521655,incorrect
18,55.15,13.51,0.0,0.011793553323140554,incorrect
19,36.15,18.77,0.0,0.01957870854927008,incorrect
20,58.96,16.21,0.0,0.009616882926980007,incorrect
21,44.4,13.15,0.15,0.066066195211742,incorrect
22,59.57,15.75,0.0,0.00964757516393045,incorrect
23,58.29,15.93,0.0,0.00987001067944613,incorrect
24,48.96,12.67,0.01,0.01769378670936055,incorrect
25,6.85,2.15,0.88,0.6045519359540695,medium
26,68.03,26.96,0.0,0.0061524300706140775,incorrect
27,54.96,13.67,0.0,0.011752532107569108,incorrect
28,59.02,15.78,0.0,0.009758307852030372,incorrect
29,45.83,12.28,0.14,0.0626519074745688,incorrect
30,60.37,15.54,0.27,0.09955664012991954,incorrect
31,50.04,13.99,0.01,0.01646999125144882,incorrect
32,54.58,18.11,0.0,0.010164199787771373,incorrect
33,57.85,15.9,0.0,0.009984717254334504,incorrect
34,56.12,13.43,0.0,0.01158234256064388,incorrect
35,46.83,18.17,0.05,0.02955440710037555,incorrect
36,44.42,14.32,0.33,0.12539219495364426,incorrect
37,59.73,15.68,0.29,0.10630593070465845,incorrect
38,67.28,25.9,0.0,0.0063511320037636055,incorrect
39,58.33,15.89,0.0,0.009875329986640542,incorrect
40,55.11,13.84,0.0,0.011615482673944112,incorrect
41,55.9,22.34,0.0,0.009028996291447093,incorrect
42,57.8,15.76,0.0,0.010048654749017588,incorrect
43,47.41,19.74,0.03,0.022294602176551357,incorrect
44,68.34,27.25,0.0,0.006085045406939371,incorrect
45,46.58,21.02,0.0,0.012430999264962187,incorrect
46,49.23,14.65,0.0,0.01310763182729463,incorrect
47,54.24,13.6,0.0,0.01199608172976175,incorrect
48,50.48,20.27,0.0,0.011005867207013346,incorrect
49,66.95,14.82,0.0,0.008667918592410317,incorrect
50,47.79,19.8,0.02,0.0187903660093949,incorrect
51,58.86,22.03,0.0,0.008347691716759288,incorrect
52,69.15,27.35,0.0,0.005961208652061906,incorrect
53,47.01,12.45,0.0,0.01532212839306202,incorrect
54,58.37,15.59,0.0,0.009979381009614157,incorrect
55,32.15,11.71,0.27,0.11715887696717515,incorrect
56,57.66,21.74,0.0,0.008669098473300222,incorrect
57,58.3,15.56,0.0,0.010007359371780943,incorrect
58,52.77,14.28,0.03,0.022067618519491478,incorrect
59,56.79,13.27,0.01,0.014842551137940654,incorrect
60,56.45,14.52,0.27,0.10090992500237654,incorrect
61,48.46,16.26,0.0,0.012762041673939134,incorrect
62,48.9,20.05,0.02,0.0182981653655683,incorrect
63,63.1,13.76,0.0,0.009855498283695517,incorrect
64,54.35,13.42,0.0,0.012071398589879268,incorrect
65,58.17,13.9,0.0,0.010805661537170679,incorrect
66,47.28,19.61,0.04,0.025708619041974145,incorrect
67,56.08,22.38,0.0,0.008976481939527488,incorrect
68,45.67,12.01,0.15,0.06627983030742456,incorrect
69,55.93,18.8,0.0,0.00963364368888821,incorrect
70,55.22,13.42,0.0,0.011828362531002065,incorrect
71,51.53,20.64,0.0,0.010580799700809702,incorrect
72,59.49,15.93,0.0,0.009598380277040715,incorrect
73,43.72,14.33,0.27,0.10575341956004876,incorrect
74,44.18,14.07,0.25,0.09897746885562082,incorrect
75,32.23,17.2,0.01,0.027526072900291704,incorrect
76,48.12,16.45,0.0,0.012834796450575654,incorrect
77,53.87,15.09,0.0,0.011358806034347135,incorrect
78,65.8,26.57,0.0,0.006530135341734022,incorrect
79,38.93,12.68,0.21,0.08976809862518226,incorrect
80,61.72,15.61,0.0,0.009254218936515537,incorrect
81,58.91,16.08,0.0,0.009673721403882632,incorrect
82,55.29,14.63,0.0,0.01116385533302773,incorrect
83,46.88,19.22,0.04,0.02596078629243064,incorrect
84,56.67,14.07,0.01,0.014413427732677656,incorrect
85,55.3,14.0,0.0,0.011476622123483193,incorrect
86,57.57,21.78,0.0,0.00868504107721566,incorrect
87,54.16,18.28,0.0,0.01024237191772897,incorrect
88,53.42,17.72,0.0,0.010602508562729998,incorrect
89,49.87,14.01,0.02,0.019854678217456515,incorrect
90,56.24,13.11,0.01,0.015084840092471274,incorrect
91,55.17,13.7,0.0,0.01167759366247826,incorrect
92,44.13,18.48,0.01,0.017439257937069078,incorrect
93,6.43,2.01,0.93,0.6412456801095265,medium
94,48.48,20.15,0.03,0.021778280973511227,incorrect
95,36.92,11.45,0.07,0.045736402151280116,incorrect
96,54.46,13.79,0.0,0.011824838265401308,incorrect
97,45.49,12.73,0.08,0.042476944772187435,incorrect
98,55.08,22.17,0.0,0.009272628998226078,incorrect
99,51.42,11.92,0.23,0.09072919813051687,incorrect
100,55.06,15.16,0.09,0.04099087733330174,incorrect
298,4.88,1.74,0.88,0.6861432610769888,medium
1436,4.52,1.82,0.74,0.6413541269779056,medium
1718,3.91,1.66,0.57,0.6149504888188703,medium
2201,3.57,1.84,0.56,0.6030995476876743,medium
2495,3.23,1.59,0.45,0.5982396056088392,medium
2712,4.52,2.02,0.44,0.5249961680156989,medium
3857,4.74,1.89,0.52,0.5564174383823614,medium
5360,4.79,1.96,0.53,0.5527788987271728,medium
5645,3.79,2.01,0.43,0.5406215870327319,medium
7036,3.74,1.91,0.45,0.5564267966271806,medium
