model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,40.59,14.38,0.07,0.04092484130815808,incorrect
2,42.01,14.83,0.07,0.039818491781159766,incorrect
3,40.83,14.43,0.1,0.05074296054789774,incorrect
4,45.96,13.86,0.0,0.014883307163685758,incorrect
5,55.61,20.82,0.0,0.00933121563957348,incorrect
6,45.31,13.52,0.0,0.015385189881585111,incorrect
7,45.29,14.24,0.09,0.04499973504640778,incorrect
8,54.04,17.86,0.04,0.02371581691481883,incorrect
9,44.18,13.66,0.14,0.06253632564832036,incorrect
10,40.9,14.55,0.06,0.03730631360181297,incorrect
11,45.46,13.36,0.0,0.015409500272447191,incorrect
12,55.97,19.07,0.06,0.029564213272841255,incorrect
13,58.02,20.89,0.0,0.008713701873345145,incorrect
14,56.31,19.6,0.08,0.03603371027586888,incorrect
15,45.96,13.1,0.0,0.015338097698110975,incorrect
16,58.45,19.75,0.07,0.03214840858690655,incorrect
17,55.12,20.38,0.0,0.009538682006513447,incorrect
18,55.75,20.8,0.0,0.00929720512647735,incorrect
19,16.61,7.12,0.33,0.19334253780325375,incorrect
20,41.64,14.82,0.07,0.040047650618942145,incorrect
21,46.43,13.2,0.0,0.015058952866220485,incorrect
22,45.2,14.17,0.12,0.05507923116086403,incorrect
23,40.44,14.41,0.08,0.04434308418587954,incorrect
24,45.4,14.28,0.15,0.06492645969736383,incorrect
25,43.5,15.21,0.01,0.018803299549633556,incorrect
26,56.31,21.2,0.0,0.00908653087829263,incorrect
27,45.52,14.05,0.13,0.058321079912074726,incorrect
28,41.79,14.78,0.06,0.03664069639764523,incorrect
29,46.56,14.97,0.08,0.0407311929589029,incorrect
30,26.31,8.15,0.16,0.09575820366087849,incorrect
31,48.09,15.68,0.09,0.04312108866157846,incorrect
32,46.66,15.18,0.07,0.037263143203142175,incorrect
33,42.56,13.11,0.01,0.020426431412975832,incorrect
34,46.8,13.54,0.0,0.01468596319400498,incorrect
35,56.32,21.17,0.0,0.009088638529368755,incorrect
36,55.45,18.3,0.01,0.013210834985903397,incorrect
37,55.86,18.76,0.01,0.012994365785382182,incorrect
38,16.55,7.07,0.28,0.17726589441580118,incorrect
39,55.92,19.27,0.05,0.02620195002135064,incorrect
40,49.79,16.02,0.09,0.042336632711379774,incorrect
41,56.3,20.7,0.01,0.012503202449559344,incorrect
42,55.68,18.67,0.01,0.013062438057309486,incorrect
43,55.81,18.9,0.08,0.03630985615745424,incorrect
44,44.96,16.24,0.09,0.044322708486100156,incorrect
45,56.09,19.54,0.11,0.04610263666213715,incorrect
46,37.48,11.93,0.0,0.021493192417705042,incorrect
47,45.49,13.36,0.01,0.01872848791317058,incorrect
48,56.92,19.66,0.1,0.04253375475464574,incorrect
49,45.23,13.55,0.0,0.015406232710742094,incorrect
50,45.35,13.44,0.0,0.015413686710225812,incorrect
51,55.42,19.58,0.0,0.009605891243450166,incorrect
52,56.93,20.94,0.01,0.012303781436306562,incorrect
53,55.88,18.95,0.07,0.03294710281208261,incorrect
54,44.9,14.69,0.04,0.028305700338712072,incorrect
