model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,60.71,22.22,0.0,0.007920791548576623,incorrect
2,47.75,20.72,0.14,0.05864266618895959,incorrect
3,42.12,20.69,0.0,0.014786656858960351,incorrect
4,32.07,15.35,0.0,0.025032271602138376,incorrect
5,38.13,13.95,0.02,0.026257107669802323,incorrect
6,55.36,21.23,0.0,0.009333000940316123,incorrect
7,55.04,27.4,0.0,0.008760683092099245,incorrect
8,42.81,20.81,0.0,0.014365452981945524,incorrect
9,61.47,22.07,0.0,0.007786786637577594,incorrect
10,66.67,25.98,0.0,0.006439030357858383,incorrect
11,66.39,21.33,0.0,0.007016237662280502,incorrect
12,42.13,14.72,0.01,0.019796954185538503,incorrect
13,55.39,21.1,0.0,0.009345241008245572,incorrect
14,74.37,24.2,0.0,0.0055739287558395,incorrect
15,57.51,24.05,0.0,0.008417634576912894,incorrect
16,48.43,22.33,0.0,0.011458564481857537,incorrect
17,70.44,26.26,0.0,0.005868162556758553,incorrect
18,35.67,13.64,0.05,0.038560846398243295,incorrect
19,59.81,21.21,0.0,0.0082579759134703,incorrect
20,59.98,19.01,0.0,0.00862501920044172,incorrect
21,68.99,26.08,0.0,0.006083303268247176,incorrect
22,51.08,20.21,0.09,0.040807748289490374,incorrect
23,51.01,20.82,0.09,0.04072685194374087,incorrect
24,58.01,25.95,0.0,0.00811628191275087,incorrect
25,70.1,26.46,0.0,0.005897734965598641,incorrect
26,50.86,19.87,0.1,0.044279508934930885,incorrect
27,32.73,15.4,0.0,0.02419371762645302,incorrect
28,38.04,18.64,0.11,0.054663050538671605,incorrect
29,57.89,22.88,0.0,0.008461255468883424,incorrect
30,41.75,19.57,0.0,0.015213634062774551,incorrect
31,62.49,21.48,0.03,0.01767290552044979,incorrect
32,59.09,18.54,0.04,0.02225869850374709,incorrect
33,71.02,26.57,0.0,0.00576637115471666,incorrect
34,70.14,26.26,0.0,0.0059085811492398084,incorrect
35,39.98,14.17,0.01,0.021442750164912764,incorrect
36,72.07,19.92,0.01,0.009785839801932398,incorrect
37,37.65,13.04,0.07,0.043852197678736264,incorrect
38,38.43,13.9,0.03,0.029383614188839658,incorrect
39,41.41,15.0,0.21,0.08677700595464892,incorrect
40,64.96,24.98,0.0,0.0068087512291491945,incorrect
41,53.3,17.34,0.0,0.01074299446680257,incorrect
42,58.41,21.13,0.0,0.008583991302726955,incorrect
43,37.2,13.49,0.03,0.03061072454144581,incorrect
44,57.8,24.16,0.0,0.00833612755120474,incorrect
45,36.3,13.63,0.02,0.027982344644124066,incorrect
46,37.65,14.28,0.02,0.026470248777052497,incorrect
47,47.57,19.48,0.0,0.012278166099870319,incorrect
48,54.6,27.36,0.0,0.008886264933082439,incorrect
49,52.49,23.81,0.0,0.009835403695650247,incorrect
50,56.79,21.24,0.0,0.008958049670683062,incorrect
51,49.89,19.83,0.11,0.047966017968672246,incorrect
52,65.86,19.64,0.0,0.0073944252045753806,incorrect
53,49.3,21.39,0.05,0.02792066090421114,incorrect
54,69.62,26.38,0.0,0.005970049022531757,incorrect
55,76.79,27.62,0.0,0.005015011614593092,incorrect
56,64.62,24.7,0.0,0.006894151808754468,incorrect
57,60.86,22.1,0.0,0.007906234554250808,incorrect
58,49.75,20.66,0.12,0.05120231163216734,incorrect
59,39.04,14.13,0.02,0.025467545251593938,incorrect
60,56.2,24.43,0.0,0.00870647816109563,incorrect
61,56.19,23.63,0.0,0.00879493020960516,incorrect
62,48.42,22.38,0.0,0.01145590309555671,incorrect
63,65.96,19.45,0.0,0.00741587593868091,incorrect
64,49.9,22.84,0.0,0.010830782588469671,incorrect
65,49.87,20.22,0.14,0.0579012942681339,incorrect
66,51.47,22.17,0.0,0.010368536236364584,incorrect
67,61.31,21.15,0.05,0.024621080845642216,incorrect
68,65.49,25.95,0.0,0.006632231049414586,incorrect
69,31.59,15.07,0.0,0.025774083715926852,incorrect
70,66.68,19.9,0.0,0.007213164318154781,incorrect
71,60.81,21.36,0.0,0.008023742537998485,incorrect
72,36.57,13.48,0.05,0.03782867558447494,incorrect
73,39.22,13.61,0.01,0.022288049563463887,incorrect
74,48.57,24.19,0.0,0.011182358097592654,incorrect
75,48.67,21.26,0.08,0.038183883610389976,incorrect
76,21.16,11.93,0.03,0.06150211692709925,incorrect
77,65.06,20.97,0.04,0.020624401425072363,incorrect
78,33.45,15.87,0.0,0.023170027575597853,incorrect
79,52.08,16.34,0.0,0.011434392790314649,incorrect
80,67.4,25.44,0.0,0.006373313814453766,incorrect
81,55.62,20.9,0.0,0.009315457286391129,incorrect
82,41.54,22.4,0.0,0.014883907287770696,incorrect
83,49.41,20.39,0.14,0.05804213481057091,incorrect
84,63.61,20.52,0.02,0.01428599798853006,incorrect
85,55.47,15.5,0.04,0.024073632358631174,incorrect
86,68.13,25.91,0.0,0.006222409665610304,incorrect
87,63.2,19.81,0.0,0.007822632701695356,incorrect
88,50.87,20.6,0.17,0.06747857388334935,incorrect
89,72.37,23.94,0.0,0.005839253092508832,incorrect
90,45.44,22.84,0.0,0.012700991075508573,incorrect
91,59.81,23.27,0.0,0.00797843098884101,incorrect
92,71.43,27.78,0.0,0.005623257781126513,incorrect
93,41.65,20.46,0.0,0.015110060652430845,incorrect
94,49.86,20.35,0.1,0.044548520332859574,incorrect
95,35.58,14.13,0.02,0.028378244511416573,incorrect
96,50.86,20.72,0.11,0.04746183914933554,incorrect
97,51.54,18.89,0.06,0.030914849072720532,incorrect
98,71.42,19.77,0.02,0.013230087785103166,incorrect
99,55.83,21.42,0.0,0.00917809971759337,incorrect
100,39.95,14.16,0.01,0.02146863192814204,incorrect
45879,4.5,2.14,0.62,0.5768431216738584,medium
357940,4.45,2.23,0.77,0.6221291407013775,medium
