model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,47.16,17.06,0.0,0.013044979621878118,incorrect
2,36.12,9.84,0.03,0.035060903130409375,incorrect
3,37.98,10.36,0.03,0.03274375866078497,incorrect
4,46.12,16.73,0.0,0.013608659468796955,incorrect
5,55.96,14.67,0.07,0.034299442652140445,incorrect
6,64.4,16.89,0.0,0.008315973633534741,incorrect
7,64.98,18.04,0.0,0.007896489095816746,incorrect
8,41.75,14.0,0.0,0.017049872098425924,incorrect
9,33.14,11.24,0.07,0.049741017047141865,incorrect
10,55.64,13.31,0.01,0.01511571246872278,incorrect
11,38.15,10.08,0.03,0.03298623239627763,incorrect
12,46.99,17.26,0.0,0.013060116406323284,incorrect
13,59.84,18.73,0.0,0.008716885752642194,incorrect
14,31.12,14.42,0.0,0.02670963876381316,incorrect
15,41.73,14.54,0.0,0.01678920669639058,incorrect
16,33.19,14.7,0.0,0.023951961263022164,incorrect
17,46.19,16.8,0.0,0.013554649720182438,incorrect
18,44.92,16.26,0.0,0.01433562164212217,incorrect
19,33.09,10.96,0.07,0.05009566468033679,incorrect
20,56.45,13.26,0.01,0.01493510723225356,incorrect
21,55.71,14.32,0.06,0.031200990486796337,incorrect
22,31.6,14.88,0.0,0.025844000599650682,incorrect
23,44.54,16.42,0.0,0.014472040537292556,incorrect
24,32.55,11.18,0.06,0.04717394368827002,incorrect
25,66.74,19.51,0.0,0.007279332838203902,incorrect
26,33.47,11.13,0.07,0.049475546899741846,incorrect
27,45.09,16.35,0.0,0.014221250360692448,incorrect
28,11.4,2.02,0.66,0.45757653067351917,acceptable
29,57.61,13.71,0.01,0.014378052310383048,incorrect
30,49.28,13.11,0.0,0.01393769561735859,incorrect
31,46.66,17.13,0.0,0.013242998914508232,incorrect
32,44.56,16.23,0.0,0.014526315965922909,incorrect
33,58.59,13.96,0.0,0.010675626854257726,incorrect
34,33.06,14.82,0.0,0.024048768542743768,incorrect
35,56.5,15.13,0.06,0.030621751240714912,incorrect
36,48.69,19.04,0.0,0.011914315883957347,incorrect
37,32.2,11.1,0.07,0.05102583296289983,incorrect
38,63.37,19.1,0.0,0.007934479091816158,incorrect
39,48.03,17.15,0.0,0.012653343283481812,incorrect
40,32.44,14.91,0.0,0.024754845968054367,incorrect
41,55.99,13.55,0.07,0.03487810131082625,incorrect
42,57.76,13.74,0.01,0.014324998375862907,incorrect
43,50.2,17.86,0.0,0.011625148646367017,incorrect
44,64.27,17.21,0.0,0.008243311388204977,incorrect
45,31.4,14.89,0.0,0.026107338577668036,incorrect
46,32.63,14.27,0.0,0.024824935819014776,incorrect
47,45.68,16.85,0.0,0.013776105159291023,incorrect
48,57.59,13.99,0.01,0.014228406158019577,incorrect
49,57.52,13.97,0.01,0.014256075303663704,incorrect
50,44.2,15.81,0.0,0.01486153772948419,incorrect
51,20.61,8.2,0.04,0.07258150966114478,incorrect
52,47.92,17.08,0.0,0.012719076798224841,incorrect
