model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,52.34,20.06,0.0,0.01041875847021125,incorrect
2,19.08,7.62,0.22,0.1409676523059555,incorrect
3,16.93,8.37,0.38,0.2041469996586344,incorrect
4,53.83,21.08,0.0,0.009788381332961489,incorrect
5,53.98,19.8,0.0,0.009967325455068581,incorrect
6,25.03,10.99,0.02,0.047229000331854405,incorrect
7,15.36,7.14,0.06,0.11223697668066117,incorrect
8,61.58,23.42,0.0,0.0075939763116028855,incorrect
9,66.82,26.24,0.0,0.006393733829984161,incorrect
10,38.72,14.63,0.0,0.018792790497439458,incorrect
11,52.09,19.48,0.0,0.010610386549632313,incorrect
12,26.74,9.62,0.18,0.09850250954226554,incorrect
13,66.42,25.76,0.0,0.006497526298410324,incorrect
14,29.6,11.57,0.0,0.030903428388084422,incorrect
15,68.28,26.24,0.0,0.0061725900346657194,incorrect
16,32.23,13.2,0.02,0.032592920132959446,incorrect
17,66.88,25.92,0.0,0.006411248754925973,incorrect
18,55.44,20.55,0.0,0.009422170126831886,incorrect
19,44.98,18.27,0.0,0.013725011508622625,incorrect
20,68.24,26.71,0.0,0.006140709954152411,incorrect
21,67.27,23.73,0.0,0.006564932437567099,incorrect
22,65.46,24.67,0.0,0.006754951218359791,incorrect
23,66.97,26.16,0.0,0.006376987955907986,incorrect
24,45.26,18.36,0.0,0.013566394213534318,incorrect
25,43.67,17.72,0.0,0.014539038655638917,incorrect
26,47.5,19.11,0.0,0.012383990962643239,incorrect
27,14.71,7.06,0.08,0.12450280327986145,incorrect
28,22.72,10.17,0.0,0.04802380985268199,incorrect
29,14.63,6.99,0.06,0.11879727475059491,incorrect
30,23.15,10.42,0.0,0.04636685118917008,incorrect
31,67.86,26.42,0.0,0.006220080434624814,incorrect
32,54.0,20.17,0.0,0.009892730693407788,incorrect
33,43.77,17.9,0.0,0.014438397689986943,incorrect
34,61.57,23.31,0.0,0.0076087928039337656,incorrect
35,18.58,8.1,0.0,0.06874143974056439,incorrect
36,41.3,16.87,0.0,0.016160274154340976,incorrect
37,45.08,18.25,0.0,0.013680688254707004,incorrect
38,73.11,28.32,0.0,0.0053781357905432715,incorrect
39,58.21,22.93,0.0,0.008379546017313763,incorrect
40,48.64,17.57,0.04,0.02562317067928221,incorrect
41,21.97,9.98,0.0,0.05076253806949937,incorrect
42,66.51,22.8,0.0,0.0067933496463058645,incorrect
43,48.9,17.79,0.0,0.012129281155465079,incorrect
44,41.97,16.98,0.0,0.01571464565451011,incorrect
45,67.58,26.28,0.0,0.006273574945485704,incorrect
46,55.7,21.94,0.0,0.009136747920128021,incorrect
47,18.78,8.22,0.0,0.06741703512139173,incorrect
48,23.57,9.79,0.1,0.07934083867265705,incorrect
49,55.3,22.33,0.0,0.009190887906383833,incorrect
50,55.81,22.4,0.0,0.009044792175894312,incorrect
51,25.28,10.41,0.04,0.053970259362331914,incorrect
52,73.32,28.39,0.0,0.005348463515549154,incorrect
53,55.14,22.34,0.0,0.00923322925114718,incorrect
54,21.97,10.01,0.0,0.05071943381019797,incorrect
55,25.88,9.41,0.22,0.11404967332780423,incorrect
56,22.43,10.28,0.0,0.04880727375636787,incorrect
57,56.47,22.47,0.0,0.008863858782091848,incorrect
58,66.69,25.91,0.0,0.0064418562984782995,incorrect
59,22.79,10.19,0.0,0.04777619513824884,incorrect
60,54.1,21.22,0.0,0.009687611856968552,incorrect
61,66.58,23.63,0.0,0.006683526336302561,incorrect
