model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,68.95,24.37,0.0,0.006248044854521819,incorrect
2,65.97,20.5,0.0,0.007218581436798314,incorrect
3,66.67,23.17,0.0,0.006722756296067997,incorrect
4,68.07,26.97,0.0,0.006145742184476717,incorrect
5,45.98,15.87,0.19,0.07729985746434066,incorrect
6,65.42,16.84,0.0,0.008157706495582055,incorrect
7,46.75,20.28,0.0,0.012480326865095601,incorrect
8,25.51,10.23,0.07,0.06365886163454715,incorrect
9,56.98,24.7,0.0,0.008481076127303547,incorrect
10,65.97,20.78,0.0,0.0071713115997844796,incorrect
11,61.46,18.53,0.0,0.008426161584420434,incorrect
12,66.62,18.53,0.0,0.007509494018510938,incorrect
13,44.96,16.6,0.0,0.014202715006502642,incorrect
14,56.02,24.33,0.0,0.008763653653737323,incorrect
15,46.06,16.17,0.17,0.07048864344927348,incorrect
16,33.55,12.23,0.22,0.09837872434784667,incorrect
17,30.83,10.73,0.28,0.12327056008700209,incorrect
18,35.09,17.03,0.2,0.0877078538789363,incorrect
19,49.45,15.97,0.0,0.012481157702008616,incorrect
20,25.35,8.91,0.43,0.1862092114987263,incorrect
21,45.71,19.87,0.0,0.013030010070694808,incorrect
22,65.31,16.83,0.0,0.008179146841772221,incorrect
23,54.62,24.47,0.0,0.00912957395914518,incorrect
24,46.59,16.35,0.19,0.07685320783365351,incorrect
25,45.59,21.56,0.0,0.012803622722312101,incorrect
26,37.37,10.37,0.19,0.08656172391838053,incorrect
27,44.88,21.26,0.0,0.013193770678563898,incorrect
28,38.76,15.53,0.04,0.03170929993312264,incorrect
29,68.49,20.41,0.0,0.006846952485316284,incorrect
30,45.72,15.87,0.17,0.07075462967488057,incorrect
31,40.22,18.93,0.0,0.016331246168878908,incorrect
32,66.43,16.78,0.0,0.008012052488301056,incorrect
33,36.49,16.78,0.06,0.039798715387456086,incorrect
34,46.16,19.68,0.0,0.012857370733280095,incorrect
35,66.32,25.25,0.0,0.006559274808406678,incorrect
36,57.59,24.77,0.0,0.008324544105538784,incorrect
37,64.08,21.65,0.0,0.007356085918143865,incorrect
38,46.75,11.87,0.17,0.07257270631311845,incorrect
39,64.08,16.47,0.0,0.008505757316371812,incorrect
40,65.28,17.89,0.0,0.007884195012653167,incorrect
41,23.51,13.22,0.09,0.07277202455112301,incorrect
42,45.98,19.93,0.0,0.01289256906072512,incorrect
43,71.84,26.57,0.0,0.005660997365359111,incorrect
44,65.87,20.91,0.0,0.007166272624055894,incorrect
45,66.72,15.17,0.0,0.008551173054499293,incorrect
46,46.31,16.14,0.22,0.08705144628583522,incorrect
47,35.05,17.4,0.39,0.15097385950584688,incorrect
48,71.18,16.86,0.0,0.007304242216272495,incorrect
49,67.35,16.88,0.0,0.007837671237902728,incorrect
50,37.26,9.46,0.54,0.204664271675403,incorrect
