model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,49.78,19.61,0.0,0.011382315417916669,incorrect
2,51.02,19.64,0.0,0.010935229313449346,incorrect
3,49.57,18.9,0.0,0.011607693771284804,incorrect
4,18.17,9.89,0.01,0.07067808023397255,incorrect
5,21.23,10.8,0.0,0.052360057519572754,incorrect
6,45.81,18.11,0.0,0.013365387768990504,incorrect
7,44.75,15.65,0.24,0.09464179270913775,incorrect
8,29.02,10.96,0.22,0.10579976042190241,incorrect
9,25.11,10.05,0.08,0.06819995250591601,incorrect
10,46.43,18.47,0.0,0.012993520126415253,incorrect
11,22.94,8.94,0.13,0.09270027013936681,incorrect
12,46.08,18.45,0.0,0.01315763202436804,incorrect
13,16.07,6.96,0.4,0.22099919833266304,incorrect
14,19.58,10.12,0.35,0.1766900605961762,incorrect
15,27.93,10.36,0.25,0.11843338951528648,incorrect
16,17.85,9.62,0.06,0.08952615428863502,incorrect
17,45.46,17.71,0.0,0.013634097301846997,incorrect
18,45.79,18.29,0.0,0.013330571778855679,incorrect
19,45.56,18.21,0.0,0.013458660446146053,incorrect
20,29.65,11.07,0.21,0.10132416566426848,incorrect
21,25.68,10.79,0.05,0.055900155757511096,incorrect
22,21.87,10.17,0.12,0.09084135112764946,incorrect
23,49.72,17.94,0.06,0.031779643478656174,incorrect
24,32.58,11.68,0.03,0.03665143753019726,incorrect
25,21.98,11.02,0.01,0.05276131219095811,incorrect
26,19.83,8.7,0.31,0.1646949493568918,incorrect
27,21.18,10.29,0.0,0.05317502752057487,incorrect
28,20.38,10.22,0.23,0.13308797054799829,incorrect
29,28.77,10.74,0.19,0.0964713768913643,incorrect
30,28.12,10.56,0.25,0.11783298378806417,incorrect
31,20.69,10.06,0.11,0.09205156639425559,incorrect
32,24.17,10.5,0.06,0.06335451885417921,incorrect
33,19.82,9.99,0.12,0.09913226989374267,incorrect
34,22.71,10.14,0.12,0.08809658644970118,incorrect
35,22.48,9.93,0.13,0.09246525215149841,incorrect
36,20.17,9.99,0.13,0.10095274198601976,incorrect
37,18.97,9.67,0.19,0.1268996526139393,incorrect
