model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,75.83,25.45,0.0,0.005290226926258311,incorrect
2,73.19,21.63,0.0,0.006031413784095676,incorrect
3,63.1,23.14,0.0,0.007335644851921872,incorrect
4,108.01,43.73,0.0,0.002443403426323096,incorrect
5,98.11,41.12,0.0,0.0029263487256274076,incorrect
6,107.91,43.7,0.0,0.0024477216872820923,incorrect
7,81.02,23.62,0.0,0.004967842672193884,incorrect
8,90.04,20.51,0.0,0.004717796725258285,incorrect
9,87.65,27.35,0.0,0.004105251222951541,incorrect
10,79.51,18.64,0.0,0.005911196807242195,incorrect
11,89.64,32.56,0.0,0.003676417804068015,incorrect
12,79.57,26.23,0.0,0.004847427360330005,incorrect
13,85.34,33.59,0.0,0.003937743680088674,incorrect
14,89.23,32.64,0.0,0.0037000833187165465,incorrect
15,59.25,24.01,0.0,0.008017848142468772,incorrect
16,89.57,20.42,0.0,0.004764084146902018,incorrect
17,86.94,25.21,0.0,0.004331991731672585,incorrect
18,88.37,22.98,0.0,0.004469888960129203,incorrect
19,81.06,32.2,0.0,0.004347169879782146,incorrect
20,67.75,19.23,0.0,0.007181430467203945,incorrect
21,90.55,20.82,0.0,0.004632865042436103,incorrect
22,88.26,27.38,0.0,0.0040606815954803204,incorrect
23,90.04,20.32,0.0,0.004750935666895656,incorrect
24,86.88,37.39,0.0,0.0036959970140209592,incorrect
25,77.6,24.28,0.0,0.005219355849347711,incorrect
26,51.64,18.73,0.0,0.0109172080206937,incorrect
27,92.09,29.52,0.0,0.0036742735053808314,incorrect
28,58.27,23.72,0.0,0.008272855465235504,incorrect
29,82.78,24.73,0.0,0.00469969975431113,incorrect
30,83.45,30.81,0.0,0.004211022716515738,incorrect
31,89.14,23.35,0.0,0.004373519233032218,incorrect
32,107.46,24.58,0.0,0.003309347114440049,incorrect
33,85.22,27.21,0.0,0.004293398316947709,incorrect
34,86.39,30.04,0.0,0.0040250394904327086,incorrect
35,72.21,24.8,0.0,0.005770587825904439,incorrect
36,87.56,32.38,0.0,0.00382574244497951,incorrect
37,74.99,21.7,0.0,0.005813453303307463,incorrect
38,39.1,18.41,0.0,0.017240383293661368,incorrect
39,78.59,29.43,0.0,0.00471785543750733,incorrect
40,89.23,27.99,0.0,0.003952160750431533,incorrect
41,89.51,32.1,0.0,0.003705308541686509,incorrect
42,86.56,37.27,0.0,0.0037226326446813183,incorrect
43,84.43,31.11,0.0,0.004117724337348068,incorrect
44,59.85,24.3,0.0,0.007855769321736423,incorrect
45,104.83,19.76,0.0,0.004087023653347145,incorrect
46,80.86,32.5,0.0,0.004351694363464315,incorrect
47,88.93,24.73,0.0,0.004239511774451007,incorrect
48,89.87,32.73,0.0,0.003654068509847223,incorrect
49,72.38,23.06,0.0,0.005938974633506135,incorrect
50,109.17,44.2,0.0,0.002392018667972245,incorrect
51,72.2,23.82,0.0,0.005873459983246857,incorrect
52,69.57,16.1,0.0,0.007771231895186464,incorrect
53,104.46,30.9,0.0,0.0029762048138803066,incorrect
54,77.5,17.91,0.0,0.0062839033555622025,incorrect
55,90.29,29.48,0.0,0.0037889932959148625,incorrect
56,77.69,31.06,0.0,0.004718541164308588,incorrect
57,89.9,33.09,0.0,0.003637025781567068,incorrect
58,91.11,24.96,0.0,0.004075728988380993,incorrect
59,86.62,30.13,0.0,0.004003318005130623,incorrect
60,85.29,33.93,0.0,0.0039283431362850734,incorrect
61,82.09,32.99,0.0,0.004223638445698438,incorrect
62,66.37,19.39,0.0,0.007362035533091452,incorrect
63,84.68,31.17,0.0,0.004095235058695089,incorrect
64,51.46,18.78,0.0,0.010965967367304453,incorrect
65,89.98,32.42,0.0,0.003660306963734608,incorrect
66,89.96,16.08,0.0,0.005825148951464312,incorrect
67,84.19,27.19,0.0,0.0043748975931012304,incorrect
68,74.08,18.33,0.0,0.006548827338053909,incorrect
69,88.62,27.71,0.0,0.004012524115959504,incorrect
70,101.99,39.13,0.0,0.002788405254586351,incorrect
71,88.2,28.59,0.0,0.003982396330599095,incorrect
72,105.08,38.92,0.0,0.0026613170911170205,incorrect
73,87.69,28.08,0.0,0.004051291129507061,incorrect
74,80.48,18.93,0.0,0.0057571450804993615,incorrect
75,54.74,18.54,0.0,0.010015757592202168,incorrect
76,88.79,28.63,0.0,0.003939588116631115,incorrect
