model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,58.25,19.54,0.0,0.008902641898473037,incorrect
2,26.55,15.08,0.0,0.03425494712583332,incorrect
3,52.58,17.77,0.0,0.010847615038048618,incorrect
4,41.03,17.65,0.1,0.04944074080385557,incorrect
5,64.4,19.61,0.0,0.007646454524592185,incorrect
6,63.32,19.09,0.0,0.007945749975420245,incorrect
7,64.58,19.27,0.0,0.00768383417412452,incorrect
8,59.43,21.3,0.0,0.008327018943717799,incorrect
9,51.37,18.97,0.0,0.010954333676241074,incorrect
10,63.92,22.01,0.0,0.007333046302948929,incorrect
11,59.88,19.23,0.0,0.008599884012047953,incorrect
12,65.32,21.51,0.0,0.007163640656243561,incorrect
13,64.05,21.8,0.0,0.007339656766176028,incorrect
14,60.09,20.79,0.0,0.008265175032240805,incorrect
15,57.64,20.6,0.0,0.008852606256774313,incorrect
16,60.56,23.95,0.0,0.007742217841453907,incorrect
17,60.62,23.96,0.0,0.007728639268980865,incorrect
18,62.56,18.07,0.0,0.008323170847590508,incorrect
19,65.35,22.14,0.0,0.0070685451282894995,incorrect
20,67.69,24.03,0.0,0.006468346098304839,incorrect
21,64.7,19.66,0.0,0.007584751480006965,incorrect
22,53.15,19.53,0.0,0.010267502911136948,incorrect
23,58.99,22.25,0.0,0.008288189980445405,incorrect
24,58.47,21.19,0.0,0.008560700421113263,incorrect
25,60.86,20.86,0.0,0.008092399588395681,incorrect
26,58.04,20.82,0.0,0.008720434329066135,incorrect
27,59.94,22.8,0.0,0.008007606543166458,incorrect
28,63.33,18.79,0.0,0.008009337394312026,incorrect
29,55.9,17.44,0.0,0.009980714495397268,incorrect
30,65.34,21.85,0.0,0.007110720888996659,incorrect
31,63.35,19.2,0.0,0.007917033898537689,incorrect
32,50.59,21.74,0.0,0.010730954404419513,incorrect
33,61.9,18.29,0.0,0.008396119953141675,incorrect
34,39.83,14.61,0.14,0.06466327172164345,incorrect
35,60.64,19.27,0.0,0.008430734376326276,incorrect
36,61.19,22.92,0.0,0.00773197033211534,incorrect
37,64.26,19.6,0.0,0.007672890218158504,incorrect
38,60.92,23.58,0.0,0.007708809045935795,incorrect
39,35.83,13.32,0.04,0.03526765797651261,incorrect
40,60.96,24.14,0.0,0.0076392469910256154,incorrect
41,59.2,21.04,0.0,0.008418689529340646,incorrect
42,61.53,21.42,0.0,0.007868794832688326,incorrect
43,64.35,19.41,0.0,0.007695100955287901,incorrect
44,61.47,23.57,0.0,0.007598674236096593,incorrect
45,63.08,22.85,0.0,0.007374821460880524,incorrect
46,63.58,22.13,0.0,0.007377477227009532,incorrect
47,62.67,18.63,0.0,0.008168152257139598,incorrect
48,61.28,21.29,0.0,0.007938694121786966,incorrect
49,51.38,18.92,0.0,0.01096186137828098,incorrect
50,60.28,23.72,0.0,0.007826292378665133,incorrect
51,61.57,21.5,0.0,0.007848814138763685,incorrect
52,61.92,23.53,0.0,0.007514334033991209,incorrect
53,60.12,20.85,0.0,0.008248908893357852,incorrect
54,64.6,19.65,0.0,0.007603928984318456,incorrect
55,63.3,19.36,0.0,0.007893097720171091,incorrect
56,60.43,21.12,0.0,0.008139970321203217,incorrect
57,65.78,22.27,0.0,0.006979818282299175,incorrect
58,38.56,14.18,0.05,0.03580210167293906,incorrect
59,62.31,20.1,0.0,0.007935776143880649,incorrect
60,43.6,16.27,0.08,0.041681200511686084,incorrect
61,61.62,21.25,0.0,0.00787691547762278,incorrect
62,62.95,21.04,0.0,0.007654330632920856,incorrect
63,59.32,20.26,0.0,0.008523594560793801,incorrect
64,23.83,14.3,0.0,0.04125096363845641,incorrect
65,59.04,23.4,0.0,0.008132945590782889,incorrect
66,56.75,17.38,0.0,0.009778466107966198,incorrect
67,41.27,15.89,0.12,0.05650869174602693,incorrect
68,62.41,23.21,0.0,0.007456962707402436,incorrect
69,64.66,20.04,0.0,0.00751956682075983,incorrect
70,63.51,22.6,0.0,0.007327688462537442,incorrect
71,48.7,12.65,0.0,0.014476161510436542,incorrect
72,60.38,21.21,0.0,0.008136379898440058,incorrect
73,59.61,21.47,0.0,0.008261707735241285,incorrect
74,63.7,23.96,0.0,0.007132734457243741,incorrect
75,54.81,13.71,0.0,0.011771374901506508,incorrect
76,18.6,11.47,0.04,0.0765249567621805,incorrect
77,56.24,23.26,0.0,0.008824694189834064,incorrect
78,62.59,18.92,0.0,0.008118370871515,incorrect
79,57.11,19.88,0.0,0.009110945539740086,incorrect
80,52.79,20.73,0.0,0.010159770631988635,incorrect
81,41.39,16.36,0.08,0.042934653727630556,incorrect
82,53.46,21.09,0.0,0.009896655429770267,incorrect
83,62.18,18.71,0.0,0.008243472401342114,incorrect
84,60.98,24.1,0.0,0.0076394000764363965,incorrect
85,58.47,20.0,0.0,0.008763221976559663,incorrect
86,52.64,17.23,0.0,0.01097777492663224,incorrect
87,61.74,20.2,0.0,0.008028503700207476,incorrect
88,64.17,22.48,0.0,0.007225299095967913,incorrect
89,59.87,22.47,0.0,0.008064993395034805,incorrect
90,64.06,20.13,0.0,0.007607813744401573,incorrect
91,60.02,22.33,0.0,0.008051279377209933,incorrect
92,59.93,23.92,0.0,0.007878895491391431,incorrect
93,63.65,20.43,0.0,0.0076276729046635934,incorrect
94,61.71,21.92,0.0,0.007760089203883454,incorrect
95,52.86,17.7,0.0,0.01077873533819178,incorrect
96,62.88,20.95,0.0,0.007681828479643635,incorrect
97,63.07,20.1,0.0,0.007792500489551154,incorrect
