model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,50.82,18.94,0.0,0.011148914744524868,incorrect
2,50.14,20.95,0.0,0.011012088821449828,incorrect
3,35.64,14.03,0.0,0.02170683153979011,incorrect
4,50.99,20.99,0.0,0.010706099252679095,incorrect
5,50.4,19.09,0.0,0.011264209149987575,incorrect
6,37.76,14.43,0.01,0.022972969670698288,incorrect
7,33.71,14.43,0.0,0.023489774675017148,incorrect
8,35.54,13.96,0.0,0.02183990025042111,incorrect
9,45.05,17.22,0.0,0.013968913039886732,incorrect
10,45.2,17.27,0.0,0.01388117390099171,incorrect
11,32.55,13.89,0.01,0.028455580841554445,incorrect
12,28.09,11.59,0.0,0.033453033653420526,incorrect
13,44.61,17.06,0.0,0.014235052749214569,incorrect
14,49.65,17.69,0.0,0.0118709922713467,incorrect
15,30.29,11.85,0.0,0.029589929269289213,incorrect
16,19.33,10.6,0.29,0.15722134673611413,incorrect
17,35.69,13.94,0.0,0.021707538936950644,incorrect
18,35.31,12.57,0.0,0.022938187874944532,incorrect
19,50.56,19.67,0.0,0.01108939829142023,incorrect
20,44.87,17.26,0.0,0.01404630701463499,incorrect
21,19.73,8.93,0.29,0.15799589199256167,incorrect
22,36.66,14.22,0.0,0.0206737624657306,incorrect
23,51.56,20.84,0.01,0.013870852945772429,incorrect
24,50.36,20.91,0.0,0.010939632739709814,incorrect
25,52.07,19.2,0.0,0.010674230940708225,incorrect
26,44.49,17.09,0.0,0.014287010952108296,incorrect
27,35.24,13.85,0.0,0.022191294197405172,incorrect
28,35.62,14.08,0.0,0.02169948925879793,incorrect
29,35.77,14.01,0.0,0.02159426908730799,incorrect
30,51.2,19.23,0.0,0.010956544265121217,incorrect
31,46.5,17.24,0.0,0.013282396370484386,incorrect
32,20.14,9.05,0.32,0.1659763489492811,incorrect
33,35.95,14.2,0.0,0.02132641450762732,incorrect
34,35.33,14.01,0.0,0.022016373496487603,incorrect
35,20.07,9.09,0.31,0.16286542990547845,incorrect
36,15.53,8.23,0.1,0.1208880131861374,incorrect
37,32.34,13.84,0.0,0.0254090801897611,incorrect
38,43.66,16.81,0.01,0.018139374955939067,incorrect
39,52.6,20.92,0.01,0.013521284277256213,incorrect
40,44.62,16.42,0.0,0.014431545633539005,incorrect
41,17.79,8.92,0.44,0.2177867635517469,incorrect
42,45.62,17.53,0.0,0.013606550486693165,incorrect
43,19.26,10.57,0.51,0.23092034149253826,acceptable
44,29.29,11.74,0.0,0.03124594222406597,incorrect
45,33.62,13.37,0.44,0.17083696915228974,incorrect
46,44.55,17.14,0.0,0.014241789777192962,incorrect
47,45.18,17.29,0.0,0.013885183903297071,incorrect
48,20.16,8.59,0.08,0.08684257449788291,incorrect
49,22.45,11.78,0.78,0.307111476763527,acceptable
50,30.38,11.81,0.0,0.029491524601534924,incorrect
51,15.96,8.53,0.09,0.113654281300456,incorrect
52,35.85,14.3,0.0,0.021369049759247364,incorrect
53,44.99,17.18,0.0,0.014010056778503296,incorrect
54,30.31,11.74,0.0,0.029657548762370183,incorrect
55,36.82,11.68,0.08,0.0489406203383199,incorrect
56,43.26,15.32,0.31,0.1188891268604196,incorrect
57,34.29,11.84,0.12,0.06456224378339433,incorrect
58,29.38,11.56,0.0,0.03126504423764629,incorrect
59,24.64,11.82,0.31,0.14406543105062147,incorrect
60,53.47,19.01,0.0,0.010278483433720795,incorrect
61,24.54,11.85,0.27,0.13096428810742525,incorrect
62,33.62,12.12,0.09,0.055055497644291886,incorrect
63,54.12,20.11,0.0,0.009868785716211198,incorrect
64,36.73,14.35,0.0,0.02054685116549184,incorrect
65,25.32,12.03,0.26,0.12553049753085835,incorrect
66,18.27,9.82,0.19,0.13024576054441986,incorrect
67,19.31,10.68,0.32,0.16721933691575394,incorrect
68,39.44,15.7,0.0,0.01781054729981093,incorrect
69,35.29,13.92,0.0,0.022103919979855124,incorrect
70,18.99,10.53,0.34,0.17559922021531757,incorrect
71,21.57,10.54,0.01,0.05475545724363179,incorrect
72,18.75,10.26,0.21,0.13380104577552365,incorrect
73,36.68,14.06,0.03,0.030739185175395003,incorrect
74,52.04,19.46,0.0,0.010630592818555183,incorrect
75,32.94,14.15,0.0,0.024514252987648855,incorrect
76,45.74,17.5,0.0,0.013558155848255447,incorrect
77,32.97,14.16,0.0,0.024473586474932738,incorrect
78,51.13,21.3,0.0,0.010609439487925462,incorrect
79,52.08,21.21,0.0,0.010307705229206222,incorrect
80,30.67,12.58,0.0,0.028449351691142877,incorrect
81,32.72,14.01,0.01,0.028184175890572635,incorrect
82,18.81,10.2,0.23,0.1402477094352268,incorrect
83,27.46,9.53,0.16,0.09053764177372146,incorrect
84,46.62,17.07,0.0,0.013278513389830028,incorrect
85,18.85,10.47,0.34,0.17636321997631033,incorrect
86,32.1,13.99,0.0,0.025629574468224264,incorrect
87,21.12,10.04,0.03,0.06374352359418714,incorrect
88,45.05,17.34,0.0,0.01393454687501783,incorrect
89,44.05,16.97,0.0,0.01455011634712896,incorrect
90,51.33,18.84,0.0,0.01099631540250357,incorrect
91,44.78,17.95,0.0,0.013904054254666365,incorrect
92,51.5,19.03,0.0,0.010897771649498475,incorrect
93,51.51,19.02,0.0,0.010896582256780904,incorrect
94,19.55,10.79,0.42,0.19931399948341152,incorrect
95,16.89,9.19,0.0,0.07601171362636454,incorrect
96,43.38,16.62,0.01,0.018351254834391897,incorrect
97,3.14,1.55,0.48,0.6145108108876957,medium
98,50.85,19.14,0.0,0.0110955744115669,incorrect
99,43.94,16.91,0.0,0.01462616632527758,incorrect
100,17.53,7.35,0.39,0.2067801855770021,incorrect
