model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,38.53,11.05,0.01,0.024834233898075212,incorrect
2,20.03,4.89,0.07,0.102868403989588,incorrect
3,17.37,6.2,0.1,0.11616501945355075,incorrect
4,17.09,6.11,0.11,0.12171985969239535,incorrect
5,14.72,4.79,0.1,0.1464561921470988,incorrect
6,15.91,4.46,0.51,0.2778893453461122,acceptable
7,39.05,11.15,0.0,0.021004376838774607,incorrect
8,19.03,7.19,0.01,0.07267771492375096,incorrect
9,16.9,6.67,0.13,0.12667812262530806,incorrect
10,21.33,8.01,0.06,0.07697341354115447,incorrect
11,14.26,4.82,0.08,0.1434846054352528,incorrect
12,19.14,7.1,0.06,0.08915317191253301,incorrect
13,50.0,15.67,0.01,0.015722731013695066,incorrect
14,21.4,7.96,0.06,0.07685315958604017,incorrect
15,22.89,8.27,0.01,0.05434469137024641,incorrect
16,13.94,4.53,0.17,0.17994747130070002,incorrect
17,22.05,8.43,0.07,0.07668830151211786,incorrect
18,22.85,8.12,0.01,0.054851839433042164,incorrect
19,18.92,6.77,0.06,0.09157764073801795,incorrect
20,17.24,6.07,0.1,0.1177013056980069,incorrect
21,18.78,7.07,0.08,0.09769976429878736,incorrect
22,21.57,8.13,0.06,0.07577839064378235,incorrect
23,50.6,15.11,0.0,0.01240100216026666,incorrect
24,49.53,15.82,0.0,0.012506208895385293,incorrect
25,14.41,4.82,0.08,0.14214196362522555,incorrect
26,19.34,7.01,0.01,0.07189153292203981,incorrect
27,19.14,7.14,0.07,0.09233410095777135,incorrect
28,20.06,4.88,0.07,0.10284697030510055,incorrect
29,14.3,4.99,0.11,0.15131600018256194,incorrect
30,17.08,6.13,0.1,0.11833212025092658,incorrect
31,16.42,5.97,0.0,0.09024029358911105,incorrect
32,19.58,7.55,0.0,0.06551532742009387,incorrect
33,19.75,5.69,0.37,0.19708648597178224,incorrect
34,35.22,11.82,0.0,0.02362952211073426,incorrect
35,13.96,4.68,0.14,0.16787479550345988,incorrect
36,47.55,14.06,0.1,0.04740636489440215,incorrect
37,16.39,4.49,0.49,0.2674504241788746,acceptable
38,19.32,7.3,0.0,0.06756138603968762,incorrect
39,14.75,5.1,0.08,0.1363056500675129,incorrect
40,49.32,15.78,0.0,0.012600183879576773,incorrect
41,49.82,15.86,0.0,0.012383814133279325,incorrect
42,14.73,4.91,0.07,0.13505669409966484,incorrect
43,16.72,6.02,0.0,0.08794120052703924,incorrect
44,19.43,7.58,0.0,0.0661067705163851,incorrect
45,14.63,4.48,0.1,0.15105795310577586,incorrect
46,16.33,5.96,0.1,0.12424880252754404,incorrect
47,19.02,6.89,0.07,0.0939073910332946,incorrect
48,20.19,4.86,0.14,0.12584374404180373,incorrect
49,16.69,5.68,0.0,0.09038272956293414,incorrect
50,49.65,15.72,0.0,0.012499044107982853,incorrect
51,51.12,15.52,0.0,0.012052790685337945,incorrect
52,15.77,5.73,0.01,0.09975057824664015,incorrect
53,21.7,8.37,0.07,0.07804671854334706,incorrect
54,22.52,7.09,0.0,0.05584674992068286,incorrect
55,16.0,5.22,0.11,0.1354606498181971,incorrect
56,49.42,16.19,0.0,0.012414428045931335,incorrect
57,19.78,4.8,0.08,0.10828256325912955,incorrect
58,21.8,8.27,0.06,0.07460540507514148,incorrect
59,38.52,11.14,0.0,0.02141322995242574,incorrect
60,49.69,15.69,0.0,0.012495611526047057,incorrect
61,17.15,6.02,0.11,0.121886600061599,incorrect
62,43.47,11.38,0.18,0.07796798168382388,incorrect
63,19.56,7.42,0.01,0.06936948006944393,incorrect
64,49.16,15.99,0.0,0.012583844477725259,incorrect
65,19.15,7.13,0.08,0.0956574118155583,incorrect
66,15.12,4.8,0.11,0.14636979247535378,incorrect
67,49.59,16.05,0.0,0.012400024261809667,incorrect
68,48.02,14.82,0.0,0.01350700146953438,incorrect
69,22.25,8.52,0.07,0.07580627635540126,incorrect
70,20.07,4.71,0.23,0.15805736934078582,incorrect
71,16.08,6.04,0.13,0.13549706277982812,incorrect
72,49.51,15.73,0.0,0.012547470748149436,incorrect
73,47.33,11.56,0.0,0.015934389685499196,incorrect
74,22.52,8.75,0.04,0.06441554937988148,incorrect
75,18.14,4.45,0.13,0.13735493731647516,incorrect
76,23.25,7.27,0.0,0.05291057591743612,incorrect
77,49.97,15.46,0.0,0.012482337865967074,incorrect
78,18.89,7.3,0.03,0.07963134576795215,incorrect
79,38.54,11.2,0.0,0.02133560438455598,incorrect
80,19.39,7.44,0.0,0.0667508225329977,incorrect
81,18.86,7.1,0.04,0.08385173979629197,incorrect
