model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,40.7,15.88,0.0,0.016878978787637184,incorrect
2,40.65,16.06,0.0,0.016846694428210456,incorrect
3,34.43,12.73,0.24,0.10371383264881201,incorrect
4,46.14,17.79,0.0,0.013294310947831315,incorrect
5,37.07,14.34,0.0,0.020257886407038038,incorrect
6,33.35,12.49,0.24,0.10507187252562143,incorrect
7,52.08,17.68,0.0,0.01103105182238595,incorrect
8,40.85,14.21,0.1,0.0508399336273542,incorrect
9,38.66,13.83,0.0,0.01924617535471961,incorrect
10,37.48,14.17,0.0,0.019999443386600216,incorrect
11,39.81,13.84,0.0,0.018403600656201696,incorrect
12,34.23,12.87,0.24,0.103827774523862,incorrect
13,34.01,14.65,0.0,0.023055245117065182,incorrect
14,38.72,15.47,0.0,0.018429852689628292,incorrect
15,42.37,16.28,0.0,0.015702215044044895,incorrect
16,44.1,13.96,0.0,0.015744385074315633,incorrect
17,40.85,15.92,0.0,0.01676643069728412,incorrect
18,45.15,17.06,0.0,0.013966889358029803,incorrect
19,40.07,16.12,0.0,0.01721510004978372,incorrect
20,41.47,18.09,0.0,0.01571546752293435,incorrect
21,37.23,15.27,0.0,0.019700160218951858,incorrect
22,37.0,14.1,0.0,0.020440261583253166,incorrect
23,46.2,14.47,0.0,0.014457687801440198,incorrect
24,40.24,15.55,0.0,0.01731090124475948,incorrect
25,33.33,12.44,0.24,0.10513241780666842,incorrect
26,44.1,16.4,0.0,0.014705204759248405,incorrect
27,40.82,15.95,0.0,0.016774999083074015,incorrect
28,41.79,18.26,0.0,0.01547668026383226,incorrect
29,43.68,16.43,0.0,0.014917496440279093,incorrect
30,40.13,13.94,0.0,0.01812796189469022,incorrect
31,62.38,20.55,0.0,0.007842823279137188,incorrect
32,42.05,14.6,0.07,0.03990061590969577,incorrect
33,40.73,15.84,0.0,0.01687409466204258,incorrect
34,40.77,16.06,0.0,0.016768032915243678,incorrect
35,37.64,15.18,0.0,0.01939723094431714,incorrect
36,41.96,15.64,0.0,0.016177693749740835,incorrect
37,39.89,13.84,0.0,0.018347894021854185,incorrect
38,51.42,17.58,0.0,0.011275539013301819,incorrect
39,40.66,16.08,0.0,0.01683300958557311,incorrect
40,26.54,9.17,0.57,0.2296970816714239,incorrect
41,36.17,13.98,0.0,0.021238942127700694,incorrect
42,25.75,8.9,0.52,0.21529282060116436,incorrect
43,42.97,14.88,0.0,0.015905329987619482,incorrect
44,31.2,12.44,0.24,0.10780800542050196,incorrect
45,39.03,13.84,0.0,0.01896373369510874,incorrect
46,41.51,16.03,0.0,0.01630782872669379,incorrect
47,43.44,16.45,0.0,0.015040645654903114,incorrect
48,47.34,14.33,0.0,0.014023433532173024,incorrect
49,33.1,12.32,0.31,0.12882420281848897,incorrect
50,45.06,17.18,0.0,0.013975616487745172,incorrect
51,34.74,11.44,0.12,0.06446194584194867,incorrect
52,40.21,13.26,0.02,0.02513644968763415,incorrect
53,41.89,16.04,0.0,0.01607156317141296,incorrect
54,42.38,15.19,0.0,0.016109483327209125,incorrect
55,42.4,14.15,0.0,0.016582925752758496,incorrect
56,43.18,16.36,0.0,0.015213652514727317,incorrect
57,43.58,16.34,0.0,0.01500151001139502,incorrect
58,45.21,16.59,0.0,0.014083409577018655,incorrect
59,46.12,17.66,0.0,0.013338012024324268,incorrect
60,39.72,13.96,0.0,0.018401158071898027,incorrect
61,24.01,12.13,0.21,0.11214433109535211,incorrect
62,34.12,13.0,0.24,0.10385777141376061,incorrect
63,25.28,8.89,0.55,0.22641729925910015,incorrect
64,46.39,15.62,0.0,0.013873341773159025,incorrect
65,34.1,14.3,0.0,0.02312747240236682,incorrect
66,43.17,14.66,0.0,0.01589397359320113,incorrect
67,35.94,13.84,0.07,0.04486065253744038,incorrect
68,40.28,12.58,0.0,0.01888344418484636,incorrect
69,51.77,17.58,0.0,0.011159195803600109,incorrect
70,41.93,14.75,0.07,0.03990292812530062,incorrect
71,41.21,18.17,0.0,0.015858777310367705,incorrect
72,45.73,15.41,0.0,0.014260416828886145,incorrect
73,39.38,12.81,0.07,0.042680466736469684,incorrect
74,37.41,14.99,0.0,0.01966834046022734,incorrect
75,40.45,13.91,0.0,0.017928228210919935,incorrect
76,34.55,12.69,0.21,0.09361704886385698,incorrect
77,46.42,16.12,0.0,0.013675382143347355,incorrect
78,32.34,12.8,0.17,0.08272131401035603,incorrect
79,40.14,16.03,0.0,0.01719916947772958,incorrect
80,41.74,16.12,0.0,0.01613432963225729,incorrect
81,41.33,15.03,0.05,0.0334807438727577,incorrect
82,41.5,18.15,0.0,0.015681903893617205,incorrect
