model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,21.45,7.32,0.23,0.13533917521286823,incorrect
2,47.78,16.46,0.0,0.01297112035795086,incorrect
3,21.3,7.3,0.33,0.16929480918611275,incorrect
4,14.58,6.4,0.0,0.10191152127258947,incorrect
5,49.63,16.12,0.0,0.012360334187485673,incorrect
6,15.03,6.52,0.0,0.09753153440310403,incorrect
7,28.12,7.89,0.23,0.11620122715039381,incorrect
8,16.03,6.91,0.0,0.08815529647006616,incorrect
9,16.02,6.94,0.0,0.08810295287661851,incorrect
10,28.94,8.54,0.08,0.06311429923345895,incorrect
11,49.81,16.05,0.0,0.01231854214556443,incorrect
12,49.87,16.29,0.0,0.012212789784602628,incorrect
13,48.35,16.68,0.0,0.01266725830844886,incorrect
14,49.88,16.24,0.0,0.012226260875859379,incorrect
15,49.7,16.31,0.0,0.012268631845574739,incorrect
16,49.47,17.89,0.0,0.011885667007890717,incorrect
17,20.65,7.35,0.25,0.1449562250643645,incorrect
18,21.78,7.57,0.09,0.08665219031933842,incorrect
19,31.36,8.22,0.06,0.0535548303145938,incorrect
20,47.69,16.49,0.0,0.01299866450244462,incorrect
21,15.26,6.88,0.0,0.09405703981564623,incorrect
22,40.78,14.8,0.0,0.017268034510376045,incorrect
23,39.38,13.69,0.0,0.018792779037404835,incorrect
24,34.9,11.19,0.0,0.02454940598050247,incorrect
25,20.19,7.64,0.17,0.11922442242586201,incorrect
26,49.79,16.12,0.0,0.012301109119028084,incorrect
27,49.6,15.86,0.0,0.01246524894668608,incorrect
28,49.14,16.03,0.0,0.012577125852527194,incorrect
29,49.3,16.89,0.0,0.01223128189733218,incorrect
30,49.74,16.19,0.0,0.012295077623942654,incorrect
31,39.4,13.44,0.0,0.01892503973848362,incorrect
32,41.51,14.98,0.0,0.01672349288585816,incorrect
33,39.4,13.56,0.0,0.01885365094084093,incorrect
34,15.0,6.78,0.0,0.09657469363847815,incorrect
35,47.78,16.17,0.0,0.01306963111013678,incorrect
36,20.99,7.4,0.19,0.12345054212497764,incorrect
37,18.83,8.16,0.0,0.06732070516201943,incorrect
38,48.47,16.41,0.0,0.012707295994953502,incorrect
39,18.43,8.33,0.0,0.06893594154118939,incorrect
40,49.74,16.15,0.0,0.012309027811738907,incorrect
41,22.52,7.65,0.16,0.1072404006724633,incorrect
42,48.75,18.15,0.0,0.012095965552720583,incorrect
43,17.01,6.96,0.05,0.09806597952322234,incorrect
44,40.43,13.73,0.0,0.01804151933331614,incorrect
45,18.73,8.35,0.0,0.0673467760414823,incorrect
46,41.36,14.96,0.0,0.016825784783963602,incorrect
47,49.84,16.3,0.0,0.01222039267694866,incorrect
48,14.34,6.0,0.16,0.1596075360564514,incorrect
49,7.76,2.81,0.59,0.45239215792237514,acceptable
50,49.25,17.37,0.0,0.012109143796705649,incorrect
51,49.78,15.97,0.0,0.012358327831614951,incorrect
52,22.3,7.77,0.06,0.07426203670871027,incorrect
53,18.6,8.44,0.0,0.06779305783728777,incorrect
54,16.31,7.67,0.0,0.08347561363231674,incorrect
55,18.35,8.09,0.0,0.06996601248459346,incorrect
56,28.14,7.86,0.23,0.11625069219639585,incorrect
57,48.72,18.08,0.0,0.012125146872812692,incorrect
58,49.33,16.2,0.0,0.012444926860275455,incorrect
59,48.65,15.85,0.0,0.01283287276952884,incorrect
60,37.92,12.52,0.0,0.020664333648437238,incorrect
61,18.34,8.54,0.0,0.06891613704713721,incorrect
62,16.79,7.75,0.0,0.0800385212105898,incorrect
63,17.77,7.52,0.0,0.07482179878744524,incorrect
64,50.27,16.03,0.0,0.012158630237446273,incorrect
65,43.37,13.15,0.03,0.026611643584926004,incorrect
66,14.57,6.38,0.0,0.1021014288195335,incorrect
67,15.3,6.9,0.0,0.09365847013146243,incorrect
68,14.84,6.57,0.0,0.09885745515804056,incorrect
69,49.76,16.49,0.0,0.012186244809008975,incorrect
70,14.89,5.9,0.16,0.15549744717991557,incorrect
71,14.63,5.16,0.16,0.1634298910116479,incorrect
72,44.68,14.77,0.0,0.015045461531817891,incorrect
73,15.3,6.84,0.0,0.09391136235714459,incorrect
74,47.85,16.46,0.0,0.012942138345860303,incorrect
75,45.51,13.4,0.0,0.015361175112610566,incorrect
76,32.51,8.76,0.03,0.040823887476207917,incorrect
77,45.01,15.84,0.0,0.014440970131877187,incorrect
78,45.14,15.32,0.0,0.014579800158883034,incorrect
79,34.36,9.33,0.12,0.06762145097140472,incorrect
80,49.68,19.0,0.0,0.01154500573370422,incorrect
81,33.51,9.04,0.02,0.035748806547522424,incorrect
82,45.17,14.52,0.0,0.014919766859299249,incorrect
83,49.81,16.38,0.0,0.012204375129226593,incorrect
84,14.92,6.66,0.0,0.09777066409437211,incorrect
85,50.43,16.19,0.0,0.01204513123039407,incorrect
86,18.45,8.35,0.0,0.06878290880723016,incorrect
87,48.46,16.33,0.0,0.012738179997845453,incorrect
88,14.17,6.27,0.12,0.1462497089617467,incorrect
89,36.45,12.17,0.0,0.022179977528391164,incorrect
90,14.0,6.42,0.0,0.10703414169111336,incorrect
91,18.89,8.72,0.0,0.06570752802438286,incorrect
92,17.63,7.03,0.14,0.12405139060031616,incorrect
93,21.43,7.38,0.17,0.11520326620805209,incorrect
94,38.03,12.25,0.0,0.020783713775783193,incorrect
95,31.01,12.6,0.0,0.027952447094985195,incorrect
96,49.67,15.96,0.0,0.012402631539677439,incorrect
97,31.77,12.86,0.0,0.026740897648905287,incorrect
98,25.7,7.56,0.17,0.1021596659991571,incorrect
99,49.12,15.73,0.0,0.012695197100447775,incorrect
100,31.46,8.3,0.05,0.049886990003786776,incorrect
2038,4.94,1.44,0.8,0.6893048344774853,medium
3868,4.55,1.33,0.88,0.7390444680767937,medium
4630,3.72,1.39,0.62,0.6657536085623308,medium
6408,4.23,1.38,0.78,0.7076998732532388,medium
9310,4.79,1.39,0.75,0.6823276100116527,medium
9786,3.99,1.41,0.64,0.6634456897432413,medium
11308,4.73,1.39,0.84,0.7138548191324064,medium
11316,2.87,1.12,0.89,0.809903867112339,high
12547,4.58,1.75,0.58,0.5928414925133553,medium
16741,4.46,1.62,0.52,0.5885714994856438,medium
