model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,11.64,5.47,0.24,0.21924338638494703,incorrect
2,40.72,12.09,0.03,0.0289713301263427,incorrect
3,20.39,9.0,0.17,0.11502655620125811,incorrect
4,19.41,8.58,0.15,0.11352373966005992,incorrect
5,17.23,8.33,0.18,0.13571392790262046,incorrect
6,12.0,5.65,0.2,0.19998215446368875,incorrect
7,36.86,11.31,0.01,0.02592598825621716,incorrect
8,46.03,14.24,0.01,0.01798325944835841,incorrect
9,16.47,7.84,0.14,0.12854709589409516,incorrect
10,38.95,13.94,0.0,0.018968286119497444,incorrect
11,11.2,5.39,0.27,0.23578378455521642,acceptable
12,15.36,7.48,0.56,0.2777002478534351,acceptable
13,11.55,5.41,0.3,0.2409027826391934,acceptable
14,39.47,13.77,0.0,0.018682905983512486,incorrect
15,46.01,14.28,0.01,0.017972260950477128,incorrect
16,18.9,8.51,0.2,0.13278902336435028,incorrect
17,18.55,6.16,0.38,0.20316903942178996,incorrect
18,11.42,5.51,0.3,0.24183140270984116,acceptable
19,39.56,11.72,0.04,0.03341518529542515,incorrect
20,45.18,14.02,0.01,0.018500867083340467,incorrect
21,16.27,7.76,0.17,0.14014465608141935,incorrect
22,18.49,8.33,0.2,0.1352898669054585,incorrect
23,49.58,15.61,0.0,0.012567246268971368,incorrect
24,29.59,8.25,0.18,0.0960759021869984,incorrect
25,55.65,18.79,0.0,0.009710058188395048,incorrect
26,18.78,8.34,0.15,0.11711974900037576,incorrect
27,45.99,16.06,0.0,0.013893069604182726,incorrect
28,39.18,13.91,0.0,0.018815161851453058,incorrect
29,11.54,5.56,0.27,0.2298537200586331,incorrect
30,20.48,9.41,0.1,0.09057510075192389,incorrect
31,16.89,6.49,0.42,0.2242650781349486,incorrect
32,20.87,9.0,0.18,0.11643517303579426,incorrect
33,15.0,5.98,0.18,0.160751907298226,incorrect
34,38.97,11.4,0.07,0.044144204640684026,incorrect
35,18.07,8.12,0.21,0.14139288640429604,incorrect
36,17.0,7.75,0.15,0.1287027749916416,incorrect
37,17.06,7.94,0.13,0.12111156406353195,incorrect
38,37.48,11.53,0.0,0.021853280628294624,incorrect
39,11.5,5.44,0.25,0.22465285789676015,incorrect
40,43.26,15.06,0.0,0.015664943629396372,incorrect
41,11.72,5.08,0.18,0.2016286635130996,incorrect
42,14.19,6.69,0.23,0.1806439593364146,incorrect
43,20.38,7.25,0.31,0.16640848865167315,incorrect
44,16.08,7.43,0.18,0.14585341285948947,incorrect
45,39.74,11.88,0.04,0.03314657507358865,incorrect
46,18.77,8.33,0.17,0.12386084580903939,incorrect
47,12.13,5.27,0.24,0.21475655289058213,incorrect
48,20.21,8.83,0.17,0.116117247064843,incorrect
49,12.87,5.39,0.23,0.20186530625230978,incorrect
50,15.83,6.46,0.14,0.13831786272519106,incorrect
51,11.17,5.51,0.18,0.20523770505240788,incorrect
52,17.17,8.29,0.14,0.12284553338670558,incorrect
53,36.24,12.94,0.0,0.02180104475260289,incorrect
54,18.99,8.32,0.15,0.1161299595376764,incorrect
55,52.51,18.69,0.0,0.01064467636327338,incorrect
56,23.26,10.71,0.04,0.059015978307541045,incorrect
