model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,52.86,14.5,0.0,0.011931269369488268,incorrect
2,38.19,14.14,0.0,0.019442663722235038,incorrect
3,19.71,9.44,0.04,0.07381394554692994,incorrect
4,52.32,14.49,0.0,0.01210593588523407,incorrect
5,17.8,9.2,0.08,0.09719483190671517,incorrect
6,52.56,14.37,0.0,0.012088459214073782,incorrect
7,52.87,14.65,0.0,0.011857012792245205,incorrect
8,27.84,11.02,0.04,0.04781995650320242,incorrect
9,53.54,14.87,0.0,0.011552710463553759,incorrect
10,29.64,7.74,0.54,0.21739619345914088,incorrect
11,53.37,14.66,0.0,0.011699588676141818,incorrect
12,37.33,9.41,0.08,0.05135715119588749,incorrect
13,21.79,11.01,0.0,0.050098022734312166,incorrect
14,45.25,16.07,0.0,0.014240202766255592,incorrect
15,47.28,16.67,0.0,0.013113553003947342,incorrect
16,19.39,9.28,0.08,0.0888846663983046,incorrect
17,27.74,10.64,0.0,0.03510654889985481,incorrect
18,52.71,14.48,0.0,0.011987595917122035,incorrect
19,19.48,10.81,0.5,0.22627826390697292,incorrect
20,47.72,17.95,0.0,0.01256221945560638,incorrect
21,21.85,10.84,0.0,0.050076723158931885,incorrect
22,47.68,18.09,0.0,0.012543498440302414,incorrect
23,39.15,14.92,0.0,0.01834091131007471,incorrect
24,17.68,9.11,0.04,0.08471315839679205,incorrect
25,30.79,7.74,0.46,0.18900420417995475,incorrect
26,53.74,14.57,0.0,0.011631542907866546,incorrect
27,53.15,14.37,0.0,0.011905570312589875,incorrect
28,16.56,8.74,0.15,0.12904528164444481,incorrect
29,45.9,13.91,0.0,0.014883816782136267,incorrect
30,21.23,9.67,0.42,0.19388387543022176,incorrect
31,26.88,7.29,0.58,0.23717440010851978,acceptable
32,17.22,9.02,0.08,0.10094254744276783,incorrect
33,21.43,10.88,0.0,0.05153009233682406,incorrect
34,30.85,7.95,0.46,0.18831153658662192,incorrect
35,17.02,8.99,0.15,0.12556985798978107,incorrect
36,47.18,13.05,0.0,0.014825707912778152,incorrect
37,31.82,8.1,0.54,0.21325364862601037,incorrect
38,37.03,14.26,0.08,0.04699889119914787,incorrect
39,20.02,9.71,0.46,0.21201332203621573,incorrect
40,17.72,9.81,0.12,0.10996721818937323,incorrect
41,46.28,13.21,0.0,0.015120496403467845,incorrect
42,50.38,13.5,0.0,0.013290977287925082,incorrect
43,19.17,10.06,0.0,0.062016974812862946,incorrect
44,29.33,13.17,0.04,0.0434286611710907,incorrect
45,47.29,13.18,0.0,0.014694308728563968,incorrect
