model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,23.55,11.56,0.17,0.1006055545912839,incorrect
2,37.65,18.16,0.03,0.028424573163471547,incorrect
3,39.46,19.24,0.05,0.03346150246454267,incorrect
4,43.4,15.9,0.03,0.02525422331562907,incorrect
5,45.36,16.28,0.27,0.10411385724920429,incorrect
6,9.7,3.8,0.55,0.37305419761138064,acceptable
7,9.48,3.91,0.47,0.3479828521190396,acceptable
8,38.43,18.28,0.03,0.02777594500280783,incorrect
9,23.12,11.65,0.11,0.0817926322110281,incorrect
10,10.35,3.88,0.5,0.34427260129348736,acceptable
11,45.23,16.6,0.31,0.11740379465412082,incorrect
12,10.45,3.79,0.57,0.3678676561103602,acceptable
13,41.25,17.13,0.17,0.0727802918771915,incorrect
14,42.19,16.02,0.0,0.01589921070159164,incorrect
15,43.5,18.51,0.05,0.031100667229813847,incorrect
16,45.83,16.37,0.34,0.12719360892788636,incorrect
17,39.72,18.64,0.01,0.020074624239396602,incorrect
18,22.39,11.24,0.15,0.0978216595522728,incorrect
19,24.64,11.99,0.07,0.0639189729664167,incorrect
20,24.08,11.72,0.11,0.07897100353855306,incorrect
21,36.66,14.52,0.15,0.0705253327619791,incorrect
22,39.93,18.35,0.1,0.04999600421725953,incorrect
23,36.98,11.76,0.12,0.06206347451337197,incorrect
24,31.95,14.54,0.35,0.14220998875071722,incorrect
25,23.6,11.89,0.11,0.08016421372350056,incorrect
26,23.7,11.7,0.07,0.0667135131931838,incorrect
27,39.14,12.79,0.15,0.06953536454569355,incorrect
28,42.21,16.57,0.21,0.08569978514688047,incorrect
29,43.06,16.85,0.0,0.01512243898117549,incorrect
30,42.62,16.16,0.0,0.015598605884069569,incorrect
31,41.88,16.34,0.05,0.03264001584575909,incorrect
32,10.41,4.41,0.47,0.32457033205120006,acceptable
33,9.83,3.76,0.55,0.37170676311764606,acceptable
34,45.37,17.26,0.05,0.030468438175410725,incorrect
35,24.26,10.85,0.33,0.15269728734664714,incorrect
36,39.64,19.42,0.04,0.029963186226782425,incorrect
37,39.34,19.28,0.05,0.0335394887430867,incorrect
38,45.79,17.4,0.04,0.02689582877191928,incorrect
39,37.34,11.86,0.07,0.04500344028750903,incorrect
40,23.69,12.04,0.08,0.06977971982082432,incorrect
41,31.91,14.87,0.49,0.18877574674962308,incorrect
42,22.43,12.47,0.03,0.05661255338530918,incorrect
43,45.65,16.58,0.33,0.12387563455242184,incorrect
