model,LRMS,IRMS,Fnat,DcokQ,CAPRI
1,42.59,12.58,0.0,0.017441170382230007,incorrect
2,46.11,14.77,0.0,0.014357885159562787,incorrect
3,26.73,7.76,0.68,0.2692843310167605,acceptable
4,18.09,8.14,0.01,0.07456467886326902,incorrect
5,27.51,11.79,0.0,0.03435889036179538,incorrect
6,18.82,8.22,0.01,0.07055048443448998,incorrect
7,23.24,6.75,0.08,0.08168245489275418,incorrect
8,16.93,7.53,0.05,0.09649699765201164,incorrect
9,52.59,16.91,0.0,0.011088524938837803,incorrect
10,50.89,19.13,0.0,0.011083837591732556,incorrect
11,41.71,12.34,0.01,0.021478110840264148,incorrect
12,24.61,10.73,0.0,0.04191561675416827,incorrect
13,18.65,7.92,0.03,0.07887402576338516,incorrect
14,23.35,6.73,0.05,0.07144497933805215,incorrect
15,44.18,13.03,0.0,0.016257842466728536,incorrect
16,43.36,12.62,0.04,0.03031250927210036,incorrect
17,23.11,6.62,0.09,0.0859983819522379,incorrect
18,18.21,8.03,0.03,0.08087291832863548,incorrect
19,46.76,13.29,0.08,0.041521810648613225,incorrect
20,51.12,12.29,0.0,0.013860455617413942,incorrect
21,34.03,10.6,0.0,0.026119247751713995,incorrect
22,17.52,7.62,0.07,0.09927900791033263,incorrect
23,34.94,10.72,0.0,0.02502620571674759,incorrect
24,48.48,14.35,0.0,0.013544053950076455,incorrect
25,24.27,10.47,0.0,0.04312326427801722,incorrect
26,23.52,6.73,0.05,0.07094809315516255,incorrect
27,50.73,19.17,0.0,0.01113099417277826,incorrect
28,52.4,12.7,0.0,0.01313225396626345,incorrect
29,55.02,18.84,0.0,0.009869884702433896,incorrect
30,43.85,12.97,0.0,0.016470985472302243,incorrect
31,50.48,15.86,0.0,0.012145630651991833,incorrect
32,61.11,21.65,0.0,0.007919043980441284,incorrect
33,42.76,12.51,0.07,0.04072872621815062,incorrect
34,18.64,8.07,0.04,0.08184738712954158,incorrect
35,23.46,6.85,0.04,0.06726629077994113,incorrect
36,23.15,6.86,0.07,0.07814286384440995,incorrect
37,23.38,9.94,0.0,0.046336538969793624,incorrect
38,23.77,11.22,0.0,0.04364487976931513,incorrect
39,47.95,13.03,0.01,0.017848535244782884,incorrect
40,18.12,7.92,0.03,0.08166314969597972,incorrect
41,44.96,13.3,0.0,0.015689697814029624,incorrect
42,23.29,6.76,0.08,0.08148939675976193,incorrect
43,43.48,12.62,0.01,0.020247016253605515,incorrect
44,41.22,16.29,0.0,0.01639866510934468,incorrect
45,61.11,20.17,0.0,0.008159981468552893,incorrect
46,25.64,7.85,0.59,0.2414150676597121,acceptable
47,50.93,18.59,0.0,0.011189294596336182,incorrect
48,23.1,6.92,0.12,0.09470984879368427,incorrect
49,37.86,10.61,0.0,0.02252736689878286,incorrect
50,18.75,8.2,0.03,0.0776183634861294,incorrect
51,22.94,10.55,0.0,0.046844792306758753,incorrect
52,17.1,7.72,0.05,0.0948363468299604,incorrect
53,24.61,10.83,0.0,0.041800378696404315,incorrect
54,43.24,12.18,0.05,0.034048306109600614,incorrect
55,23.49,10.07,0.0,0.04582877179951426,incorrect
56,25.88,7.64,0.55,0.22816182463281634,incorrect
57,30.49,8.89,0.09,0.06326502310695332,incorrect
58,60.32,21.4,0.0,0.008119839080600861,incorrect
59,51.93,15.21,0.0,0.011908260420370277,incorrect
60,48.98,15.47,0.0,0.012849924766284103,incorrect
61,53.08,13.96,0.0,0.012138658567207139,incorrect
62,60.68,18.22,0.0,0.00865888694185417,incorrect
63,34.54,10.48,0.0,0.025725896851972994,incorrect
64,48.59,15.64,0.0,0.012935811841530788,incorrect
65,52.71,12.42,0.0,0.013240667545468604,incorrect
66,22.93,10.54,0.0,0.04688794680815648,incorrect
67,47.52,14.03,0.0,0.01410154210007644,incorrect
68,21.9,6.67,0.07,0.08302021931862728,incorrect
69,17.64,8.49,0.0,0.07290207653294008,incorrect
70,45.87,15.36,0.0,0.014215031866658118,incorrect
71,45.71,14.85,0.0,0.014507822902426958,incorrect
72,51.98,19.82,0.0,0.010579612158008163,incorrect
73,22.86,6.88,0.09,0.08561351066004197,incorrect
74,48.87,11.57,0.01,0.018631260497058905,incorrect
75,36.16,10.69,0.0,0.023890602360066116,incorrect
76,51.19,19.31,0.0,0.010943375130829902,incorrect
77,24.26,10.85,0.0,0.04269728734664713,incorrect
78,43.62,13.53,0.0,0.016241626860309052,incorrect
79,47.07,13.55,0.0,0.01456215022373881,incorrect
80,45.59,16.77,0.0,0.013843576675945301,incorrect
81,46.25,14.7,0.0,0.014325977463292281,incorrect
82,17.52,8.37,0.04,0.08721662056057637,incorrect
83,47.06,13.9,0.0,0.014368127071464579,incorrect
84,49.7,16.9,0.0,0.01207833349064775,incorrect
85,16.98,7.91,0.04,0.09169649485706322,incorrect
86,50.57,19.27,0.0,0.011166227855739492,incorrect
87,17.17,6.84,0.01,0.08423997511927546,incorrect
88,52.34,16.75,0.0,0.011217255059237064,incorrect
89,34.65,10.59,0.0,0.025476513029415584,incorrect
90,52.94,12.63,0.0,0.01301342237181357,incorrect
91,29.18,11.03,0.0,0.032124782745419384,incorrect
92,58.18,14.78,0.0,0.010364516906516378,incorrect
93,33.1,10.39,0.0,0.027427441955953896,incorrect
94,50.85,19.49,0.0,0.011023576081822908,incorrect
95,22.99,6.74,0.12,0.09581675975677904,incorrect
96,22.72,6.63,0.12,0.09715818176347124,incorrect
97,18.32,7.94,0.05,0.08719948841912145,incorrect
98,55.86,21.04,0.0,0.00922916290767776,incorrect
99,51.8,12.16,0.0,0.013736276919301607,incorrect
100,50.29,19.1,0.0,0.011301332736494007,incorrect
1441,4.66,1.19,0.68,0.6875432061265093,medium
2328,3.89,1.15,0.76,0.7388798115257744,medium
4964,4.91,1.18,0.59,0.6525106022308904,medium
5179,4.57,1.31,0.65,0.6643547970806023,medium
5626,4.72,1.16,0.61,0.666695129217345,medium
6676,4.92,1.25,0.72,0.6864023417993005,medium
7043,3.54,1.24,0.78,0.7420777825562822,medium
7222,4.89,1.44,0.66,0.6439117241014777,medium
9095,4.7,1.3,0.58,0.6389709754866564,medium
12115,4.05,1.2,0.64,0.6882453115216695,medium
